source_id	path	sha256	size	role
S01	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	2886	CSN
S02	udt_relative_angular_area_shape_selector_audit_2026-07-23/AUDIT_REPORT.md	ad142150e340fe43b300f9ea1ec6547232007a9bebff9e6e7bf9aa77f6a0b004	8717	IMMEDIATE_PARENT
S03	udt_relative_angular_area_shape_selector_audit_2026-07-23/NONBLOCK_INVARIANT_FORMULA.json	8d0ab13de845844ad8b7e76509fff8ec1252416b6eb8b5aafd12dad53303c5f8	490	PARENT_NONBLOCK_FORMULA
S04	udt_relative_angular_area_shape_selector_audit_2026-07-23/DIAGNOSTIC_FORMULA.json	f24456188d6ed5dc6165f866077c246c03fd06fa2c6cb864a4912f2dedd557d4	477	PARENT_DIAGNOSTICS
S05	udt_relative_angular_area_shape_selector_audit_2026-07-23/ENDPOINT_FLAT_COUNTERFAMILY.tsv	174b0f54be449a80ad228a30e16f141a37f29ee6551b97d0abb68f640640f839	1430	PARENT_COUNTERFAMILY
S06	udt_angular_generator_branch_census_2026-07-23/AUDIT_REPORT.md	cb7c23006f3cc64b0496f05933ef746b5bf381c8a65c8ea20e87f1a8967a60cb	11081	ANGULAR_GENERATOR_TARGET
S07	udt_reciprocal_plane_projector_audit_2026-07-21/AUDIT_REPORT.md	8833d53428a9e23b4e6f50df81d20ff1b99a35c28612b780a6c1da649d361295	7771	CONDITIONAL_SPLIT_CONNECTION
S08	udt_reciprocal_subbundle_ownership_audit_2026-07-22/AUDIT_REPORT.md	f8c2b7fb5b1073d685dc5032b0a6c29bfc2b755b6cb7008e4b46eb5da655442a	9671	SPLIT_OWNERSHIP_LIMIT
S09	udt_complete_metric_solution_space_map_2026-07-21/AUDIT_REPORT.md	890d074276533d6ffb035584406fe249ca68d50cd838f2aa9f6fa85d1b78cde4	8203	COMPLETE_METRIC_SCOPE
S10	udt_complete_metric_solution_space_map_2026-07-21/GEOMETRIC_COUPLING_MAP.tsv	25a7c5d63cc7630a4b0fbf427025c4e9266cc31c1fd9ab4079a5419f14100fe9	2816	COMPLETE_METRIC_SECTORS
S11	complete_coframe_seal_involution_2026-07-20/AUDIT_REPORT.md	30a63dbbc5f566a0ce763d5091fd0ab3c80aee48516c4b0f216d186e046c50ea	4043	SEAL_LIFTS
S12	udt_free_global_seal_transversality_audit_2026-07-21/AUDIT_REPORT.md	51c756fff55876b65d342dd075b6f215c20ad9af4b1767ccb20efdae1a9cc5a1	10302	SEAL_AND_BULK_FREEDOM
S13	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	73d9f21e31d74c174dc173e03ddd27f8689c376170959d8419004f225bed73e6	2608	TWELVE_COMPLETIONS
S14	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	7a596530a78a75aec03bac6f35db31ebe534e0115ca51dda64acffd0c781844a	14055	GLOBAL_COMPLETION_SCOPE
S15	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	5b9fd3563e02ecd8907e0ac632412e3bb1784893c1a66ff2812724f23c71d25d	9439	BOOTSTRAP_STATUS
S16	udt_clock_anchor_scale_threading_audit_2026-07-22/AUDIT_REPORT.md	26c3034d4a029ebcb53501abb5e4cb78fad7173c26557572aea3346bdf8a1545	8235	C_ANCHOR
S17	udt_reciprocal_angular_intertwiner_audit_2026-07-23/AUDIT_REPORT.md	3d368c4e8c16db18aec43280f8edb3205765d4ebc5349b2795dfb1847e87355d	11732	RECIPROCAL_ANGULAR_JOIN_STATUS
S18	udt_angular_bulk_jacobi_selector_audit_2026-07-23/PREREGISTRATION.md	1e3815dd8109d9e1befb3b901f78781fd2a6cbf66d8017f46d5e6c1d1a9cddff	7436	FROZEN_SCOPE
S19	udt_angular_bulk_jacobi_selector_audit_2026-07-23/PREMISE_LEDGER.tsv	c9f27e941fb41b7cbf47bf740fec25895ce9b21c42d66dcade5ebedba6f60992	1901	FROZEN_PREMISES
S20	udt_angular_bulk_jacobi_selector_audit_2026-07-23/ROUTE_UNIVERSE.tsv	f9ce5ce03f5dac1d82a1c659980e8303735db699e374d877055fec78747686ff	1101	FROZEN_ROUTE_UNIVERSE
