output_id	object	mathematical_type	pretest_scope
O01	reciprocal_clock_ruler_factors	local_scalar_pair	FOUNDED
O02	four_volume_density	local_density_and_integral	TO_DERIVE
O03	observer_rest_spatial_volume	local_density_and_integral	TO_DERIVE
O04	normalized_angular_metric_H	local_symmetric_det_one_tensor	TO_DERIVE
O05	angular_common_metric_scale	local_positive_scalar	TO_DERIVE
O06	torus_connection_S	local_connection	CONDITIONAL_TORIC
O07	torus_connection_curvature_F	local_two_form_pair	CONDITIONAL_TORIC
O08	dual_systole_W_min	local_or_global_set_valued_lattice_invariant	CONDITIONAL_TORIC
O09	dphi_metric_norm_and_3plus3_domain	local_scalar_and_bundle_stratum	TO_DERIVE
O10	local_depth_norm_B	local_positive_or_causal_scalar	TO_DERIVE
O11	spacetime_curvature_data	local_tensor_scalar_spectral	TO_DERIVE_BOUNDED_JETS
O12	integrated_curvature_candidate	global_functional_with_boundary_flux	MATHEMATICALLY_AVAILABLE_NOT_SELECTED
O13	boundary_induced_metric_and_volume	boundary_tensor_and_density	TO_DERIVE
O14	boundary_extrinsic_corner_charge_data	boundary_jet_and_functional_dependent	OPEN
O15	observer_pair_distance_diameter	global_metric_set_or_supremum	CONDITIONAL_COMPLETE_METRIC
O16	topology_monodromy_cap_labels	discrete_and_group_valued	CONDITIONAL_COMPLETION_DATA
