item	status	scope
complete_metric_state	DERIVED_CONDITIONAL_CONFIGURATION_ARENA	G179_G296
first_local_curvature_home	DERIVED_BOUNDED_ORDER_CLASSIFICATION	G296
smooth_weight_one_implies_linear	DERIVED_CONDITIONAL_ON_G301_FREE_PREMISES	star_shaped_quiet_curvature_domain
rank_two_linear_contraction_basis	STANDARD_NATURAL_GEOMETRY_CLASSIFICATION	unoriented_four_dimensional_metric_only_lane
rank_two_linear_contraction_basis_certificate	INDEPENDENT_FULL_SPACE_AND_EXTERNAL_REPAIR_VERIFIED	20_to_10_Lorentz_intertwiner_nullity_two
generic_coefficient_continuum	DERIVED_ONE_RESIDUAL_EQUIVALENCE_CLASS	a_nonzero_a_plus_4b_nonzero
tracefree_exception	INDEPENDENTLY_AND_EXTERNALLY_VERIFIED_INEQUIVALENT_SURVIVING_CLASS	a_nonzero_a_plus_4b_zero
scalar_only_class	REJECTED_BY_PREREGISTERED_COMPLETE_PRINCIPAL_GATE	a_zero_b_nonzero
identity_zero	REJECTED_BY_NONIDENTITY_GATE	a_zero_b_zero
identity_divergence_free	UNOWNED_CANDIDATE_PREMISE	would_select_generic_class
constant_scalar_curvature	CONDITIONAL_LAWFUL_DATA_IN_TRACEFREE_CLASS	not_selected_or_observationally_fixed
nonlinear_wellposedness	OPEN	not_proved_by_principal_check
global_or_nonlocal_history_law	OPEN	outside_G301
physical_history_source_observation_scale_Xmax	OPEN_EXCLUDED	no_G301_input
metric_change	NO	unchanged
reciprocal_kernel_change	NO	unchanged
canon_change	NO	Charles_not_asked
