id	layer	exact_object	condition	result	status_or_limit
C01	LOCAL_GROUP	F_b_squared	b_nonzero	identity	DERIVED_EXACT
C02	LOCAL_GROUP	F_b_D_F_b	D_equals_diag_z_inverse_z	D_inverse	DERIVED_EXACT_RECIPROCAL_INVERSION
C03	LOCAL_GROUP	F_b_F_c	b_c_nonzero	G_b_over_c	DERIVED_EXACT_EVEN_PARITY
C04	TRIPLE_OVERLAP	F_b_F_c_F_d	all_three_transitions_inverting	F_bd_over_c_not_identity	THREE_ODD_TRANSITIONS_CANNOT_FORM_COCYCLE
C05	TRIPLE_OVERLAP	F_b_F_c_G_c_over_b	two_inverting_one_preserving	identity	EXACT_COCYCLE_WITNESS
C06	LOOP_PARITY	product_of_transition_gradings	closed_loop	Z2_sum_even	DERIVED_EXACT
C07	CONJUGACY	G_a_F_b_G_a_inverse	a_nonzero	F_a_squared_b	MAGNITUDE_CONJUGATE_SIGN_INVARIANT
C08	READOUT	diagonal_eta	positive_CSN_factor	no_constant_inverting_isometry	PHYSICAL_LIFT_NOT_AVAILABLE_IN_CHOSEN_DIAGONAL_READOUT
C09	READOUT	dual_K	K_chosen_as_physical_null_metric	all_F_b_and_G_a_preserve_K	CONDITIONAL_O11_REALIZATION
C10	CORNER_BASE	F_b_F_c_commutation	declared_order_independent_corner	c_equals_plus_or_minus_b	REDUCES_AFTER_CORNER_INCIDENCE_SUPPLIED
C11	CORNER_ANGULAR	A_theta_A_psi_commutation	axis_reflection_lifts	theta_minus_psi_equals_integer_pi_over_2	REDUCES_AFTER_ANGULAR_AXES_SUPPLIED
C12	FINITE_CORNER	F_b_F_c_to_power_m	declared_finite_order_m	b_over_c_equals_1_or_minus_1_with_even_m	ORDER_NOT_SUPPLIED
C13	FINITE_CORNER	A_theta_A_psi_to_power_m	declared_finite_order_m	theta_minus_psi_equals_pi_k_over_m	ORDER_NOT_SUPPLIED
C14	GLOBAL_CAPS	primitive_mirror_cycle_pairs	cap_lattice_supplied	p_equals_0_1_3_5_and_general_families	REGULARITY_AND_MIRROR_DO_NOT_SELECT_TOPOLOGY
C15	OVERALL	global_reciprocal_transition_cocycle	current_foundation	parity_and_conditional_constraints_only	COVER_INCIDENCE_CAPS_AND_PHYSICAL_READOUT_OPEN
C16	READOUT_TRADEOFF	physical_reciprocal_dilation_and_seal_closure	K_versus_eta_readouts	K_closes_reciprocity_but_erases_phi_from_isolated_metric_block_while_eta_retains_phi_but_makes_swap_anti_isometric	FULL_METRIC_SOLDERING_READOUT_JOIN_REQUIRED
