claim_id	unit_id	package	unit_kind	source_clause	semantic_premise_id	required_premise_tokens	premise_stack	quantifier_guard	regrade	replacement_sentence	evidence	completeness_limit	falsifier_disposition	source_path	source_start_line	source_end_line	source_anchor_token	source_excerpt_sha256	shared_source_premise_id	source_provenance_class	source_stamp_id	fields_covered_or_dropped	action_terms_covered_or_dropped	equations_covered_or_dropped	domain_covered_or_dropped	boundary_covered_or_dropped	topology_covered_or_dropped	dynamical_character_covered_or_dropped	branches_covered_or_dropped	stability_covered_or_dropped	regime_and_limits
MC-001	P4-00	udt_p4_variation_domain_map_2026-07-28	PACKAGE_HEADLINE_CLAUSE	the P4 artifact is a MAP	SEM:9104e0b89717c370	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=MAP_ONLY; L1-L8 explicitly OPEN/CHOSE/THEORY	SCOPE=MAP_ONLY; L1-L8 retain their OPEN/CHOSE/THEORY labels; owner clearance is operational, not a response/action/physics derivation; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a derived response, selected domain, action, or physics; QUANTIFIER=MAP_ONLY; L1-L8 explicitly OPEN/CHOSE/THEORY	MAP_ONLY; L1-L8 explicitly OPEN/CHOSE/THEORY	NARROWED	The evidence supports 'the P4 artifact is a MAP' only within MAP-only variation-domain framing; owner clearances are operational facts; it does not establish a derived response, selected domain, action, or physics.	udt_p4_variation_domain_map_2026-07-28/MAP.md	a derived response, selected domain, action, or physics	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_variation_domain_map_2026-07-28/MAP.md	1	6	states the frame whole	cf16dd688966db615b6a144a366ce9aefbb679cc1aeba22db0a4f98d17f82698	P4-00:map_scope	PREREGISTERED_SOURCE_INVENTORY	P4-00:map_scope:cf16dd688966	maps phi/coframe/moduli/boundary/completion choices; selects none	no action selected; no action term is used in this clause set	none solved; inverse problem framed	MAP-only variation-domain framing; owner clearances are operational facts	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a derived response, selected domain, action, or physics
MC-002	P4-00	udt_p4_variation_domain_map_2026-07-28	PACKAGE_HEADLINE_CLAUSE	the variation-domain frame is stated whole	SEM:9104e0b89717c370	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=MAP_ONLY; L1-L8 explicitly OPEN/CHOSE/THEORY	SCOPE=MAP_ONLY; L1-L8 retain their OPEN/CHOSE/THEORY labels; owner clearance is operational, not a response/action/physics derivation; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a derived response, selected domain, action, or physics; QUANTIFIER=MAP_ONLY; L1-L8 explicitly OPEN/CHOSE/THEORY	MAP_ONLY; L1-L8 explicitly OPEN/CHOSE/THEORY	NARROWED	The evidence supports 'the variation-domain frame is stated whole' only within MAP-only variation-domain framing; owner clearances are operational facts; it does not establish a derived response, selected domain, action, or physics.	udt_p4_variation_domain_map_2026-07-28/MAP.md	a derived response, selected domain, action, or physics	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_variation_domain_map_2026-07-28/MAP.md	1	6	states the frame whole	cf16dd688966db615b6a144a366ce9aefbb679cc1aeba22db0a4f98d17f82698	P4-00:map_scope	PREREGISTERED_SOURCE_INVENTORY	P4-00:map_scope:cf16dd688966	maps phi/coframe/moduli/boundary/completion choices; selects none	no action selected; no action term is used in this clause set	none solved; inverse problem framed	MAP-only variation-domain framing; owner clearances are operational facts	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a derived response, selected domain, action, or physics
MC-003	P4-00	udt_p4_variation_domain_map_2026-07-28	PACKAGE_HEADLINE_CLAUSE	premise rows L1-L8 are explicit	SEM:9104e0b89717c370	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=MAP_ONLY; L1-L8 explicitly OPEN/CHOSE/THEORY	SCOPE=MAP_ONLY; L1-L8 retain their OPEN/CHOSE/THEORY labels; owner clearance is operational, not a response/action/physics derivation; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a derived response, selected domain, action, or physics; QUANTIFIER=MAP_ONLY; L1-L8 explicitly OPEN/CHOSE/THEORY	MAP_ONLY; L1-L8 explicitly OPEN/CHOSE/THEORY	NARROWED	The evidence supports 'premise rows L1-L8 are explicit' only within MAP-only variation-domain framing; owner clearances are operational facts; it does not establish a derived response, selected domain, action, or physics.	udt_p4_variation_domain_map_2026-07-28/MAP.md	a derived response, selected domain, action, or physics	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_variation_domain_map_2026-07-28/MAP.md	54	65	L1 | Which extension stratum	c2538157759ca4d275556afcf9e067a430ab43840009e3fecee346a663329b11	P4-00:premise_ledger	PREREGISTERED_SOURCE_INVENTORY	P4-00:premise_ledger:c2538157759c	maps phi/coframe/moduli/boundary/completion choices; selects none	no action selected; no action term is used in this clause set	none solved; inverse problem framed	MAP-only variation-domain framing; owner clearances are operational facts	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a derived response, selected domain, action, or physics
MC-004	P4-00	udt_p4_variation_domain_map_2026-07-28	PACKAGE_HEADLINE_CLAUSE	Charles cleared staged B-to-A with C parallel	SEM:9104e0b89717c370	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=MAP_ONLY; L1-L8 explicitly OPEN/CHOSE/THEORY	SCOPE=MAP_ONLY; L1-L8 retain their OPEN/CHOSE/THEORY labels; owner clearance is operational, not a response/action/physics derivation; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a derived response, selected domain, action, or physics; QUANTIFIER=MAP_ONLY; L1-L8 explicitly OPEN/CHOSE/THEORY	MAP_ONLY; L1-L8 explicitly OPEN/CHOSE/THEORY	NARROWED	The evidence supports 'Charles cleared staged B-to-A with C parallel' only within MAP-only variation-domain framing; owner clearances are operational facts; it does not establish a derived response, selected domain, action, or physics.	udt_p4_variation_domain_map_2026-07-28/MAP.md	a derived response, selected domain, action, or physics	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_variation_domain_map_2026-07-28/MAP.md	100	109	B (extension classification)	7f841ecb0fcba38b6ea1e3296c8defc28441ad138e696fe90a978a17ed88b0e9	P4-00:owner_sequence	PREREGISTERED_SOURCE_INVENTORY	P4-00:owner_sequence:7f841ecb0fcb	maps phi/coframe/moduli/boundary/completion choices; selects none	no action selected; no action term is used in this clause set	none solved; inverse problem framed	MAP-only variation-domain framing; owner clearances are operational facts	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a derived response, selected domain, action, or physics
MC-005	P4-01	udt_p4_routeB_extension_selection_2026-07-28	PACKAGE_HEADLINE_CLAUSE	the seven-parameter extension family survives all four tested constraint layers	SEM:9a32e230b9141775	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=FOR_ALL_MEMBERS_OF_REGISTERED_CHART_CLASS; supplied reduction gates remain conditional	SCOPE=positive triangular registered chart; pointwise one-parameter off-shell E02 family; seven-parameter extension only inside the supplied reduction gates; signed-diagonal residual group K4; global assignment, dynamics, action and physical selection open; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=global assignment, dynamics, or a selected extension; QUANTIFIER=FOR_ALL_MEMBERS_OF_REGISTERED_CHART_CLASS; supplied reduction gates remain conditional	FOR_ALL_MEMBERS_OF_REGISTERED_CHART_CLASS; supplied reduction gates remain conditional	NARROWED	The evidence supports 'the seven-parameter extension family survives all four tested constraint layers' only within registered positive-triangular chart, pointwise one-parameter off-shell E02 family; it does not establish global assignment, dynamics, or a selected extension.	udt_p4_routeB_extension_selection_2026-07-28/AUDIT_REPORT.md	global assignment, dynamics, or a selected extension	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_routeB_extension_selection_2026-07-28/AUDIT_REPORT.md	17	39	L1 (extension stratum): MODULUS-CARRIED	61e3547e30205492195a6924b87a5bbfb8ba02bd43954c17b3ea94a7524fb798	P4-01:survival_and_k4	PREREGISTERED_SOURCE_INVENTORY	P4-01:survival_and_k4:61e3547e3020	E02 generator H,C,K and moduli lambda,k_mod,k10,C	no action selected; no action term is used in this clause set	pointwise equivariance, commutators, cocycles	registered positive-triangular chart, pointwise one-parameter off-shell E02 family	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	global assignment, dynamics, or a selected extension
MC-006	P4-01	udt_p4_routeB_extension_selection_2026-07-28	PACKAGE_HEADLINE_CLAUSE	the residual signed-diagonal chart symmetry is exactly K4	SEM:b75b811114b4eaaf	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=FOR_ALL_MEMBERS_OF_REGISTERED_CHART_CLASS; supplied reduction gates remain conditional	SCOPE=positive triangular registered chart; pointwise one-parameter off-shell E02 family; seven-parameter extension only inside the supplied reduction gates; signed-diagonal residual group K4; global assignment, dynamics, action and physical selection open; SIGN=signed-diagonal residual group has exactly the four K4 elements listed in the anchored source excerpt; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=K4 is the residual signed-diagonal chart group only; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=global assignment, dynamics, or a selected extension; QUANTIFIER=FOR_ALL_MEMBERS_OF_REGISTERED_CHART_CLASS; supplied reduction gates remain conditional	FOR_ALL_MEMBERS_OF_REGISTERED_CHART_CLASS; supplied reduction gates remain conditional	NARROWED	The evidence supports 'the residual signed-diagonal chart symmetry is exactly K4' only within registered positive-triangular chart, pointwise one-parameter off-shell E02 family; it does not establish global assignment, dynamics, or a selected extension.	udt_p4_routeB_extension_selection_2026-07-28/AUDIT_REPORT.md	global assignment, dynamics, or a selected extension	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_routeB_extension_selection_2026-07-28/AUDIT_REPORT.md	17	39	L1 (extension stratum): MODULUS-CARRIED	61e3547e30205492195a6924b87a5bbfb8ba02bd43954c17b3ea94a7524fb798	P4-01:survival_and_k4	PREREGISTERED_SOURCE_INVENTORY	P4-01:survival_and_k4:61e3547e3020	E02 generator H,C,K and moduli lambda,k_mod,k10,C	no action selected; no action term is used in this clause set	pointwise equivariance, commutators, cocycles	registered positive-triangular chart, pointwise one-parameter off-shell E02 family	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	global assignment, dynamics, or a selected extension
MC-007	P4-02	udt_p4_routeC_shared_static_sector_2026-07-28	PACKAGE_HEADLINE_CLAUSE	the comparison is C2/Bach versus EH+Lambda	SEM:11e4e57750eb6e89	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=EQUATION_SET_INEQUIVALENCE; NOT_EMPTY_COMMON_SOLUTION_SET	SCOPE=CHOSE stationary local-toric R x T2 domain; conditional C2/Bach and EH+Lambda actions; strong-CSN inactive; vacuum equations; all real Lambda compared; equation-set inequivalence does not imply an empty common-solution set; other actions/domains open; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=absence of all common solutions or a verdict on other actions/domains; QUANTIFIER=EQUATION_SET_INEQUIVALENCE; NOT_EMPTY_COMMON_SOLUTION_SET	EQUATION_SET_INEQUIVALENCE; NOT_EMPTY_COMMON_SOLUTION_SET	NARROWED	The evidence supports 'the comparison is C2/Bach versus EH+Lambda' only within CHOSE stationary R x T2 local-toric comparison domain and the conditional C2/Bach versus EH+Lambda pair; it does not establish absence of all common solutions or a verdict on other actions/domains.	udt_p4_routeC_shared_static_sector_2026-07-28/AUDIT_REPORT.md	absence of all common solutions or a verdict on other actions/domains	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_routeC_shared_static_sector_2026-07-28/AUDIT_REPORT.md	18	42	INEQUIVALENT on every one of the seven independent components	206204321c215fa9622ed3e11e4c4ad9d350bdaf0c3638ac756640c1f4fed7b4	P4-02:pair_scoped_inequivalence	PREREGISTERED_SOURCE_INVENTORY	P4-02:pair_scoped_inequivalence:206204321c21	u,alpha,A,q_B on CHOSE stationary metric family	conditional C2/Bach and EH+Lambda action pair explicitly compared; neither action selected	restricted vacuum Bach and EH+Lambda component equation sets	CHOSE stationary R x T2 local-toric comparison domain and the conditional C2/Bach versus EH+Lambda pair	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	absence of all common solutions or a verdict on other actions/domains
MC-008	P4-02	udt_p4_routeC_shared_static_sector_2026-07-28	PACKAGE_HEADLINE_CLAUSE	the pair shares no exact static equation sector	SEM:f304365ca6fae14b	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=EQUATION_SET_INEQUIVALENCE; NOT_EMPTY_COMMON_SOLUTION_SET	SCOPE=CHOSE stationary local-toric R x T2 domain; conditional C2/Bach and EH+Lambda actions; strong-CSN inactive; vacuum equations; all real Lambda compared; equation-set inequivalence does not imply an empty common-solution set; other actions/domains open; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=CHOSE stationary local-toric R x T2 comparison family only; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=absence of all common solutions or a verdict on other actions/domains; QUANTIFIER=EQUATION_SET_INEQUIVALENCE; NOT_EMPTY_COMMON_SOLUTION_SET	EQUATION_SET_INEQUIVALENCE; NOT_EMPTY_COMMON_SOLUTION_SET	NARROWED	The evidence supports 'the pair shares no exact static equation sector' only within CHOSE stationary R x T2 local-toric comparison domain and the conditional C2/Bach versus EH+Lambda pair; it does not establish absence of all common solutions or a verdict on other actions/domains.	udt_p4_routeC_shared_static_sector_2026-07-28/AUDIT_REPORT.md	absence of all common solutions or a verdict on other actions/domains	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_routeC_shared_static_sector_2026-07-28/AUDIT_REPORT.md	18	42	INEQUIVALENT on every one of the seven independent components	206204321c215fa9622ed3e11e4c4ad9d350bdaf0c3638ac756640c1f4fed7b4	P4-02:pair_scoped_inequivalence	PREREGISTERED_SOURCE_INVENTORY	P4-02:pair_scoped_inequivalence:206204321c21	u,alpha,A,q_B on CHOSE stationary metric family	conditional C2/Bach and EH+Lambda action pair explicitly compared; neither action selected	restricted vacuum Bach and EH+Lambda component equation sets	CHOSE stationary R x T2 local-toric comparison domain and the conditional C2/Bach versus EH+Lambda pair	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	absence of all common solutions or a verdict on other actions/domains
MC-009	P4-02	udt_p4_routeC_shared_static_sector_2026-07-28	PACKAGE_HEADLINE_CLAUSE	the negative is confined to the registered comparison domain	SEM:11e4e57750eb6e89	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=EQUATION_SET_INEQUIVALENCE; NOT_EMPTY_COMMON_SOLUTION_SET	SCOPE=CHOSE stationary local-toric R x T2 domain; conditional C2/Bach and EH+Lambda actions; strong-CSN inactive; vacuum equations; all real Lambda compared; equation-set inequivalence does not imply an empty common-solution set; other actions/domains open; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=absence of all common solutions or a verdict on other actions/domains; QUANTIFIER=EQUATION_SET_INEQUIVALENCE; NOT_EMPTY_COMMON_SOLUTION_SET	EQUATION_SET_INEQUIVALENCE; NOT_EMPTY_COMMON_SOLUTION_SET	NARROWED	The evidence supports 'the negative is confined to the registered comparison domain' only within CHOSE stationary R x T2 local-toric comparison domain and the conditional C2/Bach versus EH+Lambda pair; it does not establish absence of all common solutions or a verdict on other actions/domains.	udt_p4_routeC_shared_static_sector_2026-07-28/AUDIT_REPORT.md	absence of all common solutions or a verdict on other actions/domains	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_routeC_shared_static_sector_2026-07-28/AUDIT_REPORT.md	18	42	INEQUIVALENT on every one of the seven independent components	206204321c215fa9622ed3e11e4c4ad9d350bdaf0c3638ac756640c1f4fed7b4	P4-02:pair_scoped_inequivalence	PREREGISTERED_SOURCE_INVENTORY	P4-02:pair_scoped_inequivalence:206204321c21	u,alpha,A,q_B on CHOSE stationary metric family	conditional C2/Bach and EH+Lambda action pair explicitly compared; neither action selected	restricted vacuum Bach and EH+Lambda component equation sets	CHOSE stationary R x T2 local-toric comparison domain and the conditional C2/Bach versus EH+Lambda pair	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	absence of all common solutions or a verdict on other actions/domains
MC-010	P4-03	udt_p4_routeA_response_inverse_problem_2026-07-29	PACKAGE_HEADLINE_CLAUSE	the inverse problem is posed	SEM:66bb2e612b1b8a18	SCOPE=||SIGN=||POSITIVITY=||NORMALIZATION=||BRANCH=||BOUNDARY_GERM=||PAIRING=||POSTURE=||TOPOLOGY=||ACTION_FIELD_ADOPTION_STATUS=||QUANTIFIER=POSED_PROBLEM; POINTWISE_REGISTERED_CLASS; R11_PER_ROW_AND_STATUS_ROW_SEPARATE	SCOPE=registered pointwise Stage-1 class; 16 objects include nonfields/anchors/forks/gauge/chart data; equivariance modulo K4; R1-R15 posed with R11 per-row plus status row; global/whole-solution layers and action selection open; SIGN=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSITIVITY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; NORMALIZATION=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BRANCH=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; BOUNDARY_GERM=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; PAIRING=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; POSTURE=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; TOPOLOGY=NOT_LOAD_BEARING_FOR_THIS_CLAUSE; ACTION_FIELD_ADOPTION_STATUS=all DERIVED/CHOSE/OPEN/CONDITIONAL/POSIT labels retained; no action, field, carrier, mass, coupling, dynamics or physics adopted; excluded=a metric-derived exhaustive physical field census or selected response law; QUANTIFIER=POSED_PROBLEM; POINTWISE_REGISTERED_CLASS; R11_PER_ROW_AND_STATUS_ROW_SEPARATE	POSED_PROBLEM; POINTWISE_REGISTERED_CLASS; R11_PER_ROW_AND_STATUS_ROW_SEPARATE	NARROWED	The evidence supports 'the inverse problem is posed' only within typed Stage-1 registered domain; 16 census objects include fields, anchors, forks, gauge, and chart structure; it does not establish a metric-derived exhaustive physical field census or selected response law.	udt_p4_routeA_response_inverse_problem_2026-07-29/AUDIT_REPORT.md	a metric-derived exhaustive physical field census or selected response law	NO_F1_F2_F10; scope controlled under F3-F9	udt_p4_routeA_response_inverse_problem_2026-07-29/AUDIT_REPORT.md	21	41	The typed variation domain 𝒟	be6859486b5d472f1db41503ce365b5c0c4e887bef048e09d998ff6e017b8a28	P4-03:posed_domain	PREREGISTERED_SOURCE_INVENTORY	P4-03:posed_domain:be6859486b5d	16 objects including fields plus anchors/forks/gauge/chart labels	no action selected; no action term is used in this clause set	R1-R15 conditions posed; no response equations solved	typed Stage-1 registered domain; 16 census objects include fields, anchors, forks, gauge, and chart structure	boundary/corner realization not adjudicated	global topology/completion not adjudicated	off-shell/pointwise or kinematic; no physical time evolution or on-shell dynamics	declared census/pairing/posture/reading branches carried; no branch adopted	stability not tested in this unit	a metric-derived exhaustive physical field census or selected response law
