item	status	role	guard
G324 compact Taub quotient	DERIVED_CONDITIONAL_BACKGROUND	background metric and fixed quotient	no occupancy or unique universe
Universal Reciprocity / DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	bounded trace-free Ricci equation	not derived or canon
G312 quiet-GR response and Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATES	bounded response constitution	no imported GR equation called native
G323 marked quotient periods	DERIVED_CONDITIONAL	primitive oblique Fourier covector	no observed wavelength or scale
primitive (1,1,0) oblique eigenspace	CHOSE	first tile with axial and transverse wave components	other integer pairs and simultaneous modes remain separate
positive component signs	CHOSE	representative of one real Fourier conjugate pair	no chirality or propagation direction selected
complex exponential notation	CHOSE	encodes cosine and sine phases	physical metric is real
all ten perturbation components	FREE_AND_EXPLORED	complete field content in declared eigenspace	no tensor-only or scalar-only truncation
four periodic same-mode gauge functions	FREE_AND_EXPLORED	complete quotient-legal infinitesimal gauge	no affine cover map called gauge
polarization decoupling	NOT_ASSUMED	derive coupled or decoupled physical system	no imported TT plane-wave template
closed-form special functions	NOT_ASSUMED	classify exact ODE system even if non-elementary	no fitted or guessed basis
endpoint data	ABSENT	classify branches but filter none	no admissibility or history selection
source action matter observation fit scale Xmax	ABSENT	forbidden physical imports	remain open
