gate_id	requirement	pass_condition
G01	unrestricted_Killing_field	all_time_and_space_components_allowed_with_arbitrary coordinate dependence
G02	full_algebra_certificate	direct_full_PDE_solution_or_intrinsic_open_set_rank certificate
G03	intrinsic_not_coordinate	certificate_uses_metric_invariants_or_complete_Killing equations
G04	open_set_support	rank_or_constraint_valid_on_nonempty_open set
G05	global_extension	connected_complete_smooth_extension_or_valid_unique_continuation proved
G06	global_descent	fields_profile_coframe_and_certificate_resolve_on_complete S3
G07	strict_slice	R2_exp_2phi_minus_a2_exp_minus2phi_positive globally
G08	one_dimensional_full_algebra	every_Killing_field_is_constant_multiple_of stationary K
G09	timelike_nonconstant_norm	K_is_everywhere_timelike_and_norm_not constant
G10	nonzero_twist_ruler	a_kappa_nonzero_and_metric_twist_line_nonzero
G11	degeneracy_census	constant_symmetric_twist_free_lambda_special_and_causal strata classified
G12	same_branch_no_splicing	uniqueness_depth_and_twist_hold_in_one metric configuration
G13	no_orientation_overclaim	twist_supplies_unoriented_line_only_unless orientation selected
G14	configuration_only	no_on_shell_action_selection_or_physics promotion
G15	independent_verification	fresh_adversarial_implementation_recomputes_load_bearing claim
G16	repository_integrity	frozen_packages_tests_links_frontier_and_dirty_metadata gates pass
