binding_id	current_id	source_path	key_column	key_value	field	expected_value	relation
B01	C01	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	id	S06	status	DERIVED	reciprocal_determinant_component
B02	C01	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	id	S07	status	DERIVED / CONDITIONAL	reciprocal_exponential_component_with_explicit_premises
B03	C02	udt_frame_bivector_equivariance_audit_2026-07-23/STATUS_LEDGER.tsv	id	Q11	status	DERIVED_CONDITIONAL	timelike_nonzero_dphi_scope_carried_by_current_row
B04	C03	udt_finite_cell_cartan_transport_atlas_2026-07-23/STATUS_LEDGER.tsv	id	S07	status	DERIVED	spacelike_real_3plus3
B05	C04	udt_finite_cell_cartan_transport_atlas_2026-07-23/STATUS_LEDGER.tsv	id	S14	status	DERIVED	null_nilpotent_Lambda2_map
B06	C05	udt_finite_cell_cartan_transport_atlas_2026-07-23/STATUS_LEDGER.tsv	id	S16	status	OPEN	replacement_zero_dphi_split_remains_open
B07	C06	udt_finite_cell_cartan_transport_atlas_2026-07-23/STATUS_LEDGER.tsv	id	S33	status	OBSERVED	zero_complete_onshell_branch_count
B08	C07	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	id	S12	status	UNIQUE-CONDITIONAL	C2_bulk_equation
B09	C08	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	id	S14	status	CONDITIONAL	EH_post_scale_route
B10	C09	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	claim_id	T05	status	WORKING_POSIT_REOPENED	round_S2_carrier
B11	C10	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	claim_id	T10	status	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	exact_scoped_stability_grade
B12	C11	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	id	S23	status	OPEN	complete_native_action
B13	C12	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	id	S22	status	OPEN	native_source
B14	C13	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	id	S25	status	OPEN	normalized_boundary_charge_mass
B15	C14	udt_finite_cell_cartan_transport_atlas_2026-07-23/STATUS_LEDGER.tsv	id	S20	status	REJECTED	CSN_does_not_fix_LC_mixing_profile
B16	C15	matter_bootstrap_dimensional_inventory_2026-07-20/STATUS_LEDGER.tsv	id	S05	status	REFUTED_AS_SUFFICIENT	c_E_and_G_obs_do_not_supply_both_coefficient_dimensions
B17	C15	matter_bootstrap_dimensional_inventory_2026-07-20/STATUS_LEDGER.tsv	id	S13	status	OPEN_NOT_FOUND	no_native_dimensional_matter_source_object
B18	C16	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	claim_id	C19	status	REJECTED_AS_INFERENCE	unique_two_stage_bridge_not_derived
B19	C17	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	claim_id	T04	status	OPEN	null_direction_section_and_carrier_emergence
B20	C18	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	id	S28	status	CONDITIONAL / OPEN	unconditional_mass_limit_not_closed
B21	C19	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	claim_id	C01	status	WORKING	whole_solution_event_domain
B22	C20	udt_finite_cell_cartan_transport_atlas_2026-07-23/STATUS_LEDGER.tsv	id	S10	status	DERIVED	timelike_Kato_intertwiner
B23	C20	udt_finite_cell_cartan_transport_atlas_2026-07-23/STATUS_LEDGER.tsv	id	S11	status	DERIVED	spacelike_Kato_intertwiner
B24	C21	udt_metric_pure_frame_rederivation_2026-07-23/STATUS_LEDGER.tsv	claim_id	Q01	status	REFUTED_BY_SOURCE_CENSUS	WRL_not_complete_parent
B25	C21	udt_metric_pure_frame_rederivation_2026-07-23/STATUS_LEDGER.tsv	claim_id	Q22	status	DERIVED_CONDITIONAL_WRL	WRL_profile_scoped
B26	C22	udt_frame_bivector_equivariance_audit_2026-07-23/STATUS_LEDGER.tsv	id	Q20	status	OPEN_NOT_JOINED	phi_and_observer_rapidity_distinct_inputs
B27	C23	udt_finite_cell_cartan_transport_atlas_2026-07-23/STATUS_LEDGER.tsv	id	S33	status	OBSERVED	zero_complete_onshell_branches
B28	C23	udt_finite_cell_cartan_transport_atlas_2026-07-23/STATUS_LEDGER.tsv	id	S34	status	OPEN	no_finite_cell_branch_selection
B29	C24	udt_finite_cell_cartan_transport_atlas_2026-07-23/STATUS_LEDGER.tsv	id	S35	status	OPEN	connection_physicality_and_representative_seam
