catch	result
broken_reciprocal_pairing_rejected	PASS
broken_passive_covariance_rejected	PASS
missing_status_row_rejected	PASS
duplicate_status_row_rejected	PASS
overstated_realization_status_rejected	PASS
source_hash_corruption_rejected	PASS
production_false_check_rejected	PASS
unconditional_complete_metric_ruling_rejected	PASS
wrong_prereg_base_rejected	PASS
unchanged_diagonal_nonzero_frame_claim_rejected	PASS
direction_independence_without_selector_rejected	PASS
naive_isotropic_det_one_claim_rejected	PASS
unique_spatial_weight_claim_rejected	PASS
reciprocal_c_alone_uv_claim_rejected	PASS
preferred_frame_inferred_from_solution_field_rejected	PASS
gr_dynamics_import_rejected	PASS
micro_frame_inheritance_rejected	PASS
prior_exact_stabilizer_deletion_rejected	PASS
