id	layer	claim	status	basis	limit
S01	ACTION	metric-only four-dimensional C2 bulk	UNIQUE_CONDITIONAL	unchanged frozen action class	not complete UDT action
S02	DOMAIN	reciprocal-toric smooth-cap metric family	CONDITIONAL_CANDIDATE_PREMISE	same prior tile	physical caps and wall open
S03	METHOD	H(q,lambda)=F(q)-lambda F(q0)	NUMERICAL_CONTROL	artificial Newton homotopy	lambda is not depth or time
S04	INPUT	former direct-Newton failures	OBSERVED_51_FROZEN	exact identity and coefficient census	failure was never no-solution evidence
S05	COVERAGE	official complete-ledger paths	OBSERVED_51_OF_51	all registered identities attempted	finite time and arclength per path
S06	ENDPOINTS	paths reaching original F(q)=0 equation	OBSERVED_29	raw endpoint residual gate passed	path and tile scoped
S07	VALIDATION	higher-order doubled-grid endpoint projection	OBSERVED_29_PASS	maximum below 1e-7	not unrestricted functional proof
S08	ROUNDNESS	certified endpoint classes	OBSERVED_29_ROUND	maximum coefficient norm below 1e-6	no nonround endpoint observed
S09	UNRESOLVED	time-limited continuation paths	OBSERVED_22_UNRESOLVED	positive lambda at registered stop	not absent branches
S10	ORDER2	former order-two failed basins	OBSERVED_14_OF_14_ROUND	all reach certified round endpoint	finite polynomial order only
S11	ORDER4	former order-four failed basins	OBSERVED_15_ROUND_22_UNRESOLVED	complete registered order-four path census	disconnected and longer paths open
S12	SINGLE	single-sector failed starts	OBSERVED_19_ROUND_4_UNRESOLVED	all four unresolved are lapse directions	solver-homotopy statement only
S13	MIXED	mixed failed starts	OBSERVED_10_ROUND_18_UNRESOLVED	exact deterministic direction census	not a probability measure
S14	FOLDS	lambda-tangent sign reversals	OBSERVED_7_PATHS	complete vector ledger	artificial homotopy geometry not physics
S15	NONROUND	distinct reduced endpoints	NOT_OBSERVED	zero endpoint classifications	not excluded outside reached endpoints
S16	BACH	nonround full-equation promotion gate	NOT_TRIGGERED	no nonround endpoint	boundary remains open
S17	REGRESSION	preserved first versus complete-ledger return	IDENTITY_EXACT_51_OF_51	same status and endpoint class per path	time-limited final point may vary with wall clock
S18	COFRAME	metric-identical seal lifts	METRICALLY_INDISTINGUISHABLE	metric-only action unchanged	no lift selector
S19	OUTCOME	prior 51 unresolved basins	PARTIALLY_CLOSED_29_ROUND_22_OPEN	homotopy reaches 29 original-equation endpoints	no uniqueness theorem
S20	OUTER_SPACE	physical boundary nontoric topology time-live unrestricted metric	OPEN_NOT_TESTED	outside registered frame	cannot inherit round ruling
S21	MATTER_SCALE	carrier source c G Xmax mass	OPEN_NOT_ENTERED	dimensionless metric-only solve	no matter or scale conclusion
S22	EVIDENCE	package grade	VERIFIED_WITH_CAVEATS	preregistered exact census duplicate identity return and replayable states	no fresh different-model review
