claim	status	scope
oriented normal-screen area Hodge duality	DERIVED_GIVEN_TYPED_2PLUS2_SPLIT	universal Lorentzian area relation not UDT-specific phase transport
Hodge area duality is clock-Jacobi solder	FALSE_TYPE	spacetime two-forms differ from Jacobi phase states and boost area loses delta
screen-gauge-equivariant linear clock-to-phase map	OBSTRUCTED_WITHOUT_SCREEN_REDUCTION	independent endpoint SO2 gauge has no fixed vector
parallel tidal-invariant screen line criterion	DERIVED_IFF	DP=0 and tidal operator commutes with P
scalar Jacobi-reciprocal generator criterion	UNIQUE_CONDITION_CHARACTERIZED	for nonzero rate real similarity iff K=-a^2
WRL clock-transverse scalar profile relation	DERIVED_LOCAL	R=X(1-Q^-2) centered residual
WRL pointwise natural-frame clock-transverse generator solder	NO_POINTWISE_SIMILARITY_IN_EXACT_LOCAL_RADIAL_CONTROL	positive screen K versus hyperbolic nonzero clock generator; arbitrary path-dependent H not excluded or selected
dphi 3plus3 clock-to-Jacobi solder	OPEN_NOT_DERIVED	two-form sectors do not select rank2 screen phase subbundle
prior matched reciprocal-angular intertwiner	CONDITIONAL_RETAINED	matched angular representation mirror and relative normalization remain inputs
intrinsic irreducible clock-transverse solder	OPEN_NO_REGISTERED_WITNESS	complete registered linear and connection-level candidate set
direct-sum common-path cocycle	DERIVED_REMAINS_STRONGEST_CURRENT_ASSEMBLY	reducible typed path data
complete nontrivial all-observer realization	OPEN	no complete branch satisfies all gates
action source carrier density bootstrap physical Xmax	OPEN_EXCLUDED	not used or derived
