item	status	role	omitted_or_open
reciprocal_c_identity	pinned-by-THEORY	founded dimension-matched clock/ruler conversion	operational protocol ownership
dual_reciprocity_G176	WORKING_FOUNDATIONAL_CLARIFICATION	completed-pair scalar readout after pullback	canonization and full carry
quiet_limit_flat_metric	pinned-by-THEORY	phi=0 exact primary-metric control	curved and time-live histories
observer_A	free-and-explored_symbolic	inertial proper-clock axis A(a)=(a,0)	acceleration
observer_B	free-and-explored_symbolic	inertial proper-clock axis B(b)=(gamma*b,L+v*gamma*b)	acceleration
velocity_v	free-and-explored_symbolic	entire open interval -1<v<1	endpoint null limits
separation_L	free-and-explored_symbolic	positive symbolic intercept	coincidence L=0 as algebraic check only
unit_cE	CHOSE_UNIT	c_E=1 only in dimensionless flat-control coordinates	dimensionful restoration is trivial
null_query	CHOSE_CONTROL	future A-emission to B-reception branch	multi-branch and caustics
A_Fermi_query	CHOSE_CONTROL	orthogonal hyperplane of A	global Fermi charts
B_Fermi_query	CHOSE_CONTROL	orthogonal hyperplane of B	global Fermi charts
A_radar_query	CHOSE_CONTROL	two-way null midpoint assigned to B event	material signalling interpretation
angular_screen_mixing	omitted_bounded_slice	cannot affect flat 1+1 protocol nonuniqueness	full dynamic orchestra
acceptance_rule	characterize_not_filter	retain every regular positive correspondence	physical selection
