object	status	claim	scope_or_owner
pair_immersion	SUPPLIED	smooth_regular_F_tau_sigma	one_local_timelike_pair_surface
coordinate_variations	DERIVED	J0_and_J1_commute	pushforwards_of_coordinate_fields
pair_metric_decomposition	DERIVED	T_L_beta_from_pullback_metric	regular_calibrated_stratum
normalized_clock	DERIVED	u_equals_J0_over_T	pair_metric
orthogonal_ruler	DERIVED	r_equals_J1_minus_beta_J0_equals_Ln	pair_metric
working_chord	CHOSE_WORKING	xi_equals_Xmax_tanh_phi_pair_n	relation_first_representation
terminal_magnitude	DERIVED_CONDITIONALLY	rho_equals_Xmax_times_L_minus_T_over_L_plus_T	working_chord_on_supplied_pair
orientation_label	CHOSE	epsilon_plus_or_minus_one	both_ruler_orientations_classified
ruler_equality	DERIVED_CONDITION	rho_equals_epsilon_L	not_automatic_physics
coordinate_equality	DERIVED_CONDITION	rho_equals_epsilon_L_and_beta_zero	field_equality_on_neighborhood
candidate_Xmax	CONDITIONAL_READOUT	epsilon_L_times_L_plus_T_over_L_minus_T	only_if_ruler_identification_is_supplied
normalized_flow_bracket	DERIVED	bracket_formula_with_lapse_shift_and_scale_derivatives	full_nonlinear_first_jet
connecting_carry	DERIVED_CONDITIONALLY	u_of_rho_over_L_zero_and_kappa_zero	nonzero_working_chord
equality_implies_carry	REFUTED_BY_EXACT_COUNTEREXAMPLE	magnitude_match_does_not_force_kappa_zero	regular_local_pair
carry_implies_equality	REFUTED_BY_EXACT_COUNTEREXAMPLE	commuting_scaled_ruler_need_not_have_unit_scale	regular_local_pair
universal_Xmax	OPEN	candidate_must_be_constant_across_coherent_family	global_or_network_test_not_run
physical_identification_query_history_dynamics_completion	OPEN	not_selected	future_program
