class_id	outcome
E01	FOUNDED_BASE_ONLY_NOT_COMPLETE_PHYSICAL_FUNCTOR
E02	SEVEN_PARAMETER_POINTWISE_CLASS_PATHWISE_AVAILABLE_NOT_SELECTED
E03	SIX_PARAMETER_DETERMINANT_ONE_CLASS_PATHWISE_AVAILABLE_NOT_SELECTED
E04	FOUR_PARAMETER_MIXING_CLASS_PATHWISE_AVAILABLE_NOT_SELECTED
E05	THREE_PARAMETER_ANGULAR_CLASS_PATHWISE_AVAILABLE_NOT_SELECTED
E06	EXACT_SPECTATOR_WITNESS_PATHWISE_AVAILABLE_UNDER_EXTRA_PREMISES_NOT_SELECTED
E07	EXACT_ANGULAR_NONUNIQUENESS_COUNTERFAMILY_NOT_SELECTED
E08	EXACT_SHIFT_NONUNIQUENESS_COUNTERFAMILY_NOT_SELECTED
E09	PHYSICAL_METRIC_READING_RETAINS_SEVEN_PARAMETER_OPEN_SELECTION
E10	CONFORMAL_READING_INACTIVE_AND_RETAINS_SIX_PARAMETER_AMBIGUITY
E11	LOCAL_LORENTZ_PHYSICAL_OPERATION_DESCENT_OPEN
E12	GLOBAL_PHYSICAL_COMPARISON_FUNCTOR_OPEN
