premise_id	object	status	use_in_audit	open_or_forbidden_scope	controlling_source
P01	founded_phi_identity_and_pair_action	DERIVED	active_metric_kinematics	physical_assignment_profile_globalization_dynamics_open	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G02
P02	complete_coframe	DEFINED_CONFIGURATION_ARCHITECTURE	full_local_configuration_map	variation_ownership_and_native_law_open	udt_full_coframe_response_selection_audit_2026-08-04/AUDIT_REPORT.md
P03	observer_frame_reciprocity	DERIVED_NATURALITY_GATE	future_rule_must_be_equivariant	does_not_select_rule_or_fixed_state	udt_whole_configuration_reciprocity_audit_2026-08-01/AUDIT_REPORT.md
P04	restriction_descent_reconstruction	METRIC_GEOMETRY_STANDARD_OPERATION	tested_as_possible_join	must_not_be_promoted_if_identity_for_every_configuration	PREREGISTRATION.md
P05	completion_parameterized_local_fibers	DERIVED_SCOPED	positive_global_to_local_partial_join	completion_member_and_interior_law_unselected	udt_completion_parameterized_local_fiber_audit_2026-08-01/AUDIT_REPORT.md
P06	typed_geometric_readout_family	DERIVED_PARTIAL	candidate_local_to_global_input	complete_physical_state_map_mass_energy_density_open	udt_bootstrap_closure_ownership_audit_2026-08-01/AUDIT_REPORT.md
P07	global_local_mutual_admissibility	WORKING_POSIT_OWNER_AUTHORIZED	requires_same_solution_two_way_compatibility	formula_objective_weighting_and_unique_solution_not_supplied	Charles_2026-08-04_current_dispatch
P08	finite_cell_and_completion	WORKING_SPLIT_READING	all_registered_schemas_remain_conditional/free	physical_boundary_seam_cap_monodromy_selector_open	CURRENT_SCIENTIFIC_PREMISES.tsv:G17-G18
P09	strong_local_CSN	CHALLENGED_INACTIVE	not_used	cannot_select_scale_action_or_gauge	CURRENT_SCIENTIFIC_PREMISES.tsv:G04
P10	observed_c_and_G	OBSERVED_ANCHORS	calibration_status_preserved	do_not_select_reconstruction_rule	CURRENT_SCIENTIFIC_PREMISES.tsv:G06
P11	S2_carrier	POSIT	not_used	carrier_emergence_open	CURRENT_SCIENTIFIC_PREMISES.tsv:G09
P12	conditional_actions_and_P4_families	CONDITIONAL_CONTROLS_ONLY	adjudicated_as_possible_response_shaped_relations	cannot_be_promoted_to_parent_law	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G15-G16
P13	Xmax	WORKING_GLOBAL_OBSERVER_PAIR_SCHEMA	not_used_as_selector	pairing_value_and_completion_open	CURRENT_SCIENTIFIC_PREMISES.tsv:G14
P14	action_source_boundary_mass_dynamics	OPEN	forbidden_silent_inputs	complete_physics_remains_open	CURRENT_SCIENTIFIC_PREMISES.tsv:G16
