item	status	use	consequence
Universal_Reciprocity_DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	active_bounded_tracefree_response	not_derived_or_canon
quiet_GR_and_Local_Metric_Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATES	bounded_metric_only_response_constitution	matter_and_full_extension_open
Ric_equals_Lambda_g	DERIVED_CONDITIONAL_IN_BOUNDED_ARENA	active_local_evolution_equation	Lambda_connected_constant_not_selected
G331_weighted_contact_Ricci_form	DERIVED_CONDITIONAL	Ricci_projector_input	positive_weights_supplied_not_selected
G332_gamma_K_family	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	lawful_initial_data	C_Lambda_branch_and_datum_supplied
G333_G334_G335_pair_chain	EXTERNALLY_ACCEPTED_MIXED_BOUNDED	response_and_carry_inputs	physical_germ_population_open
Gaussian_normal_unit_lapse_zero_shift	CHOSE_PRESENTATION_CONTROL	second_normal_jet	no_global_chart_or_physical_clock_duration
inherited_Lie_carried_direction	CHOSE_GERM_PRESENTATION_CONTROL	primary_exact_second_jet	not_universal_physical_carry
general_unit_direction_carry	FREE_AND_EXPLORED	carry_dependence_test	must_not_be_tuned_into_selection
topology_Hopf_orbit_period	OMITTED_NOT_LOAD_BEARING	none	no_topology_selection
source_action_matter_mass	OMITTED_OPEN	none	no_matter_or_mass_claim
observations_scale_Xmax	OMITTED_OPEN	none	no_fit_calibration_or_scale_claim
third_and_higher_jet	OMITTED_OPEN	double_silent_boundary	no_complete_history_claim
