id	claim	status	premise_or_limit
Q01	complete_metric_has_local_SO_plus_1_3_frame_group	DERIVED_LOCAL	regular_oriented_time_oriented_Lorentzian_event
Q02	collinear_boost_has_reciprocal_null_weights	DERIVED_EXACT	chosen_boost_plane
Q03	collinear_rapidities_add	DERIVED_EXACT	SO_plus_1_1_subgroup
Q04	full_SO_plus_1_3_has_nontrivial_continuous_scalar_character	OBSTRUCTED	Lorentz_algebra_perfect
Q05	Lambda2_extends_full_group_action	DERIVED_EXACT	real_bivector_representation
Q06	Lambda2_collinear_weights_are_3plus3	FALSE_EXACT	actual_multiplicities_2plus2plus2
Q07	noncollinear_changes_preserve_fixed_collinear_weight_spaces	FALSE_EXACT	By_mixes_Bx_eigenspaces
Q08	nonnull_dphi_split_is_Lorentz_equivariant	DERIVED_CONDITIONAL	dphi_transformed_with_geometry
Q09	nonnull_dphi_split_is_fixed_under_full_Lorentz_group	FALSE_EXACT	only_dphi_stabilizer_preserves
Q10	timelike_dphi_selects_local_observer_line	DERIVED_CONDITIONAL	time_orientation_selects_sign
Q11	timelike_dphi_3plus3_equals_boost_rotation_Cartan_split	DERIVED_CONDITIONAL	timelike_nonzero_dphi
Q12	boost_boost_commutators_generate_rotation_sector	DERIVED_EXACT	frame_algebra
Q13	noncollinear_screen_rotation_lies_in_timelike_dphi_stabilizer	DERIVED_CONDITIONAL	reference_observer_aligned_with_dphi
Q14	screen_rotation_preserves_both_rank3_sectors	DERIVED_CONDITIONAL	same_alignment
Q15	Hodge_intertwines_two_screen_actions	DERIVED_CONDITIONAL	orientation_and_timelike_dphi
Q16	dphi_reciprocal_weights_form_one_parameter_flow	DERIVED_ALGEBRAIC	fixed_nonnull_split
Q17	nontrivial_dphi_reciprocal_weight_is_Lorentz_algebra_automorphism	OBSTRUCTED	positive_weight_q_requires_q_inverse_equals_q_squared_so_q_equals_one
Q18	screen_rotation_and_dphi_weight_operator_are_identical	FALSE_EXACT	phi_zero_countermodel
Q19	sector_level_frame_dphi_join	DERIVED_CONDITIONAL	exact_Cartan_identification_timelike_stratum
Q20	observer_rapidity_equals_metric_phi	OPEN_NOT_JOINED	different_input_spaces
Q21	spacelike_dphi_selects_observer	FALSE_EXACT	orthogonal_complement_Lorentzian
Q22	spacelike_dphi_has_real_3plus3_split	DERIVED_CONDITIONAL	stabilizer_SO_plus_1_2
Q23	null_dphi_has_semisimple_3plus3_split	FALSE_EXACT	nilpotent_rank2_induced_map
Q24	zero_dphi_has_dphi_split	FALSE_EXACT	no_line
Q25	typechanging_dphi_carries_smooth_universal_split	OBSTRUCTED	projector_singular_at_interface
Q26	CSN_preserves_line_split_Hodge_and_screen_angle	DERIVED_POINTWISE	positive_common_scale
Q27	timelike_dphi_congruence_is_hypersurface_orthogonal	DERIVED_CONDITIONAL	dphi_exact
Q28	screen_rotation_is_dphi_congruence_vorticity	FALSE_EXACT	frame_composition_vs_Frobenius
Q29	local_screen_rotation_is_spacetime_curvature	FALSE_SCOPE	no_spacetime_derivatives
Q30	projected_SO3_connection_available	CONDITIONAL_DEFINITION	smooth_timelike_dphi_and_representative_connection
Q31	projected_connection_holonomy_selected	OPEN	branch_derivatives_loops_missing
Q32	global_timelike_dphi_persistence	OPEN	current_foundation_admits_all_strata
Q33	S2_carrier_or_Hopf_section_derived	OPEN_NOT_DERIVED	no_section_or_completion
Q34	action_source_boundary_or_scale_derived	OPEN_NOT_DERIVED	outside_scope
Q35	physical_angular_force_or_dynamics_derived	OPEN_NOT_DERIVED	kinematic_algebra_only
Q36	maximum_grade	VERIFIED_WITH_CAVEATS	local_exact_algebra_not_global_physics
