item	status	role	omitted_or_open
c_E	OBSERVED__SET_TO_ONE_IN_CONTROL_UNITS	clock_ruler_calibration_only	placement_and_closure
completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	after_full_pair_pullback	global_extension_and_canon
G196_metric_family	CHOSE_MATHEMATICAL_FUNCTION_FAMILY	same_metric_for_both_germs	general_complete_metric
a_positive_C3_eta_only	FREE_AND_EXPLORED	common_scale_function	spatial_common_scale_dependence
M_real_C2_eta_z	FREE_AND_EXPLORED	full_real_screen_mixing_field_in_G196_family	physical_profile_and_transverse_dependence
central_pair_X_zero	CHOSE_QUERY	shared_observer_plane	offcentral_pair_population
outgoing_plus_z_germ	CHOSE_QUERY	G196_control_direction	physical_query_population
incoming_minus_z_germ	CHOSE_QUERY	new_opposite_direction	physical_query_population
shared_vertex_screen_basis	CHOSE_CALIBRATION	compare_two_metric_outputs	global_screen_carry
connection_curvature_frequency_jacobi	STANDARD_GEOMETRIC_EVALUATOR	metric_outputs	global_network_and_transfer
response_equality_or_oddness	NOT_IMPOSED	outcome_to_observe	physical_reciprocity_between_distinct_germs
independent_Ceta_Cz_family	MAPPED_NOT_ACTIVE	least_frozen_adjacent_configuration_family	derivation_after_G198_ponder
P1_G116_G189	OMITTED	forbidden_construction_inputs	none
Xmax_transfer_source_observations	OMITTED	downstream_or_global_only	all
