catch_id	failure_class	result
C01	missing_interpretation	REJECTED
C02	duplicate_interpretation	REJECTED
C03	promotion_I01	REJECTED
C04	promotion_I02	REJECTED
C05	promotion_I03	REJECTED
C06	promotion_I04	REJECTED
C07	promotion_I05	REJECTED
C08	promotion_I06	REJECTED
C09	promotion_I07	REJECTED
C10	promotion_I08	REJECTED
C11	promotion_I09	REJECTED
C12	promotion_I10	REJECTED
C13	promotion_I11	REJECTED
C14	promotion_I12	REJECTED
C15	minimum_type_promoted_to_derived	REJECTED
C16	fixed_point_called_minimal	REJECTED
C17	response_one_form_conflated_with_premise_minimum	REJECTED
C18	X_predicate_conflated_with_mutual_determination	REJECTED
C19	false_type_derivation	REJECTED
C20	false_independence_theorem	REJECTED
C21	future_theorem_excluded	REJECTED
C22	false_frozen_derivation	REJECTED
C23	unauthorized_adoption	REJECTED
C24	formula_smuggle	REJECTED
C25	unauthorized_solve	REJECTED
C26	false_derived_pass	REJECTED
C27	algebra_readout_graph_configuration_survivors	REJECTED
C28	algebra_right_inverse_section_count	REJECTED
C29	algebra_finite_admissibility_predicate_count	REJECTED
C30	algebra_nonempty_proper_observer_saturated_relation_count	REJECTED
C31	algebra_proper_saturated_relations_disjoint	REJECTED
C32	algebra_readout_is_injective	REJECTED
C33	algebra_graph_subrelation_equivalent_to_X_predicate	REJECTED
C34	algebra_operational_relations_depend_on_O	REJECTED
C35	algebra_transitive_control_nonempty_proper_saturated_relation_count	REJECTED
