path	role
CURRENT_SCIENTIFIC_PREMISES.md	current_premise_prose
CURRENT_SCIENTIFIC_PREMISES.tsv	current_premise_ledger
udt_bootstrap_projector_admissibility_interface_2026-08-01/AUDIT_REPORT.md	parent_interface_result
udt_bootstrap_projector_admissibility_interface_2026-08-01/ADMISSIBILITY_HIERARCHY.tsv	parent_fiber_types
udt_bootstrap_projector_admissibility_interface_2026-08-01/MISSING_INPUT_LEDGER.tsv	parent_missing_slots
udt_bootstrap_closure_ownership_audit_2026-08-01/AUDIT_REPORT.md	global_output_ownership
udt_bootstrap_closure_ownership_audit_2026-08-01/OUTPUT_OWNERSHIP_LEDGER.tsv	output_classes
udt_bootstrap_closure_ownership_audit_2026-08-01/RETURN_OWNERSHIP_LEDGER.tsv	return_routes
udt_bootstrap_to_local_response_map_audit_2026-07-25/PARAMETER_RESPONSE_LEDGER.tsv	curvature_holonomy_candidates
udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	global_assembly_rulings
udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	completion_classes
udt_global_metric_assembly_atlas_2026-07-22/TORUS_MONODROMY_REGISTRY.tsv	registered_monodromies
udt_global_metric_assembly_atlas_2026-07-22/CAP_PAIR_WITNESSES.tsv	cap_data
udt_global_metric_assembly_atlas_2026-07-22/MOTIF_COMPLETION_ATLAS.tsv	motif_completion_relations
udt_global_metric_assembly_atlas_2026-07-22/SELECTOR_MATRIX.tsv	selection_status
udt_finite_cell_completion_atlas_2026-07-21/AUDIT_REPORT.md	completion_axis_rulings
udt_finite_cell_completion_atlas_2026-07-21/COMPATIBILITY_RELATIONS.tsv	completion_compatibility
udt_finite_cell_completion_atlas_2026-07-21/JET_MATCHING_ATLAS.tsv	local_jet_matching
udt_finite_cell_completion_atlas_2026-07-21/GLOBAL_OUTPUT_ATLAS.tsv	global_outputs
udt_cap_gluing_selector_2026-07-28/AUDIT_REPORT.md	cap_selector_ruling
udt_cap_gluing_selector_2026-07-28/EXACT_DERIVATION.md	cap_gluing_algebra
udt_completion_scoped_realized_observable_map_2026-07-26/AUDIT_REPORT.md	completion_scoped_map
udt_completion_scoped_realized_observable_map_2026-07-26/COMPLETION_READOUT_MATRIX.tsv	completion_readouts
udt_completion_scoped_realized_observable_map_2026-07-26/RELATION_MATRIX.tsv	readout_relations
udt_completion_scoped_realized_observable_map_2026-07-26/STATUS_LEDGER.tsv	map_status
udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETION_DESCENT_ATLAS.tsv	general_screen_descent
udt_general_screen_complete_cell_atlas_2026-07-28/GLOBAL_EXISTENCE_ATLAS.tsv	general_screen_global_existence
udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/AUDIT_REPORT.md	intrinsic_holonomy_scope
udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/CURVATURE_HOLONOMY.tsv	curvature_holonomy_data
udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/STATUS_LEDGER.tsv	holonomy_status
udt_reduced_holonomy_condition_audit_2026-07-27/AUDIT_REPORT.md	reduced_holonomy_scope
udt_reduced_holonomy_condition_audit_2026-07-27/CASE_CLASSIFICATION.tsv	reduced_holonomy_cases
udt_reduced_holonomy_condition_audit_2026-07-27/STATUS_LEDGER.tsv	reduced_holonomy_status
udt_whole_configuration_reciprocity_audit_2026-08-01/AUDIT_REPORT.md	observer_naturality_gate
udt_projector_deformation_neighborhood_audit_2026-08-01/AUDIT_REPORT.md	projector_neighborhood_scope
udt_projector_deformation_neighborhood_audit_2026-08-01/STATUS_LEDGER.tsv	projector_status
