candidate_id	outcome	home	metric_residual	foundation_status	reason
C01	IDENTITY_AFTER_ADDITIVE_DEPTH	CHARACTER_OPERATOR	NO	DERIVED_KINEMATIC_IDENTITY	D_b_D_a_equals_D_a_plus_b_for_every_real_additive_depth
C02	NONTRIVIAL_ON_FREE_EDGE_DATA	QUERY_DEPTH_DATA	NO_WITHOUT_DEPTH_MAP	DERIVED_ABSTRACT_CONSISTENCY	rank_three_triangle_system_restricts_six_free_edges_but_C_B_is_identically_zero
C03	IDENTITY_FOR_EVERY_ENDPOINT_POTENTIAL	OBJECT_POTENTIAL	NO	NONSELECTING	every_f_gives_delta_f_and_composition_has_zero_profile_Jacobian
C04	ADDITIVE_COCYCLE_IS_SUPPLIED_DATA_CLASS	PATH_GROUPOID	NO_WITHOUT_ASSIGNMENT	CONDITIONAL_KINEMATIC_INPUT	composition_defines_cocycle_and_allows_nonzero_loop_periods
C05	PATH_ADDITIVITY_BY_INTEGRAL_CONCATENATION	PATH_GROUPOID	NO_WITHOUT_ALPHA_OF_G	MATHEMATICAL_CONTROL	closed_and_nonclosed_one_forms_both_add_on_concatenated_paths
C06	LOCAL_ENDPOINT_INDEPENDENCE_RESTRICTION	SPACETIME_TWO_FORM	POSSIBLE_IF_ALPHA_OF_G	CONDITIONAL_EXTRA_PREMISE	d_alpha_zero_is_not_implied_by_path_additivity
C07	GLOBAL_ENDPOINT_INDEPENDENCE_RESTRICTION	LOOP_PERIOD_FAMILY	POSSIBLE_IF_ALPHA_OF_G	CONDITIONAL_EXTRA_PREMISE	zero_periods_are_stronger_than_local_closedness_and_not_founded
C08	FUNCTORIAL_TRANSPORT_IDENTITY	FRAME_PATH_GROUPOID	NO	DEFINED_FROM_SUPPLIED_METRIC	Levi_Civita_transport_composes_for_every_supplied_metric
C09	SEMIDIRECT_COMPOSITION_IDENTITY_GIVEN_INPUTS	PAIR_FRAME_PATH_GROUPOID	NO	CONDITIONAL_EXACT_KINEMATICS	transported_generator_and_additive_depth_make_composition_exact
C10	NONTRIVIAL_FULL_LOOP_RESTRICTION_IF_IMPOSED	GLOBAL_LOOP_SPACE	YES_CONDITIONAL	NOT_FOUNDED_EXTRA	T_loop_identity_would_restrict_period_and_holonomy_but_no_source_demands_it
C11	NATURALITY_GATE_ON_FUTURE_LAW	LAW_BUNDLE	NO_LAW_SUPPLIED	DERIVED_SCOPED_GATE	equivariance_rejects_bad_laws_but_does_not_generate_one
C12	ARCHITECTURE_ADMISSIBLE_WITHOUT_RESIDUAL	METRIC_CONFIGURATION_SPACE	OPEN_NOT_SUPPLIED	ADMISSIBLE_NOT_SELECTED	universal_query_quantifier_is_possible_but_not_founded_as_dynamics
