# STAMP: Stage T1 time-live ledger. Contract = PREREGISTRATION.md (frozen first). EVERYTHING-ON (T-L2 RESOLVED: shift row LIVE); registered chart's time extension (T-L1 CHOSE, travels); time-jet layer <=2 (higher TYPED); topology fork carried three ways, NONE adopted; theta ABSENT (T-L6); no response law selected, nothing solved, no cycle census (F-T1 honored).
# STAMP: static restriction column = the C-1 calibration identity: restricting every row to the static stratum (t-independence, N=0, t-direction factored) must recover the banked Stage-1 posing EXACTLY (VARIATION_DOMAIN_CENSUS.tsv 16 rows; R1-R15 classes PW8/WS2/GC4; J-rows as banked). Checked mechanically in derive_timelive_T1.py C1a/C1b/C1c.
# STAMP: verdict vocabulary (objects): EXTENDS-TIME-DEP = banked object, gains time-dependence; NEW = new census row with provenance chain. (requirements/J-rows): transfers-unchanged / extends-with-derived-modification / gains-time-component / breaks(how). Tags: DERIVED / CHOSE / THEORY(cite) / FREE-AND-EXPLORED / OPEN-FORK.
# STAMP (AMENDMENT 2026-07-31, verifier round 1): (AM-1) the residual chart symmetry carries a stratum-conditional Z2 psi-branch (psi'=-2N/g_tt, lawful where 2N e^{2phi}/c^2 is t-independent; flips N->-N, preserves clock row/spatial row/both lock readings -- T1p2/T1p3); orbit of N stays {N,-N}, irreducibility-as-non-removability survives. (AM-2) O17's irreducibility is CONDITIONAL on the COORDINATE-reading (i) spatial pin: under a PROJECTED-reading (ii) spatial registration psi'=-N/g_tt lawfully REMOVES the shift (T1p4) -- the LOCK-READING fork is upgraded to LOAD-BEARING, carried both ways, decided by NOTHING in this package (F-T4). (AM-3) C1b/T4a re-graded GUARD; G1 wired into tally/exit; honest count 46 = 34 SUBSTANTIVE + 12 GUARD.
row_id	kind	name	timelive_verdict	tag	static_restriction	basis_checks	citation
O01	OBJECT	phi_depth_field	EXTENDS-TIME-DEP: phi(x,t) VARIED-FIELD; time-dependence explicitly FREE in canon (non-stationary allowed); time-jets <=2 carried	DERIVED (canon leaves phi time-dependence free)	banked row phi_depth_field (VARIED-FIELD)	T1j_static_observer_rate_is_exp_minus_phi	CANON C-2026-06-18-1; census row 1
O02	OBJECT	phi_anchor_zero_point	EXTENDS-TIME-DEP: shift phi->phi+s absorbed by c_E PLUS derived unit rescale (t,r)->(e^s t, e^{-s} r); on registered chart the shift = OVERLAP map between presentations, not a chart automorphism; shift-EQUIVARIANCE (F-RA4) extends with the t-leg surfaced	THEORY (banked D3, time-extended by derivation)	banked row phi_anchor_zero_point (D3 absorption)	T1q_anchor_shift_absorption_time_extended	joint EXACT_DERIVATION sec.3; D3_anchor_absorption
O03	OBJECT	c_E_anchor	EXTENDS-TIME-DEP: fork (constant-as-registered vs promoted-to-field) transfers; promotion sub-fork now includes t-dependence c_E(t) TYPED-ONLY (unregistered, flagged, not chosen)	OBSERVED (G06); fork OPEN	banked row c_E_anchor (both forks)	-	G06; Route C TC1
O04	OBJECT	alpha_twist	EXTENDS-TIME-DEP: fork (active vs frozen) transfers; under active fork alpha(x,t) typed; both forks carried, neither chosen	OPEN (L8)	banked row alpha_twist (both forks)	-	MAP sec.3 L8; Route C TC1
O05	OBJECT	f_connection_moment	EXTENDS-TIME-DEP: f(x,t) VARIED-FIELD (stationary-family presentation of coframe data, time-extended); response slot R_f persists	THEORY	banked row f_connection_moment	-	Route C TC1
O06	OBJECT	b_qB_transverse_block	EXTENDS-TIME-DEP: bh(x,t) VARIED-FIELD; seat factor e^{2 lam phi} still carried by the lambda row (no double count; freezing tripwire travels)	THEORY	banked row b_qB_transverse_block	-	Route C TC1
O07	OBJECT	lambda_modulus	EXTENDS-TIME-DEP: const-vs-field fork gains TIME-READING sub-fork typed three ways (constant / m(t) / m(x,t)); K4-invariance holds with t spectator; value NEVER chosen	DERIVED-as-modulus (Route B); time-reading OPEN-FORK	banked row lambda_modulus (const/field fork)	T1s_K4_moduli_characters_t_spectator	Route B T4/T6
O08	OBJECT	k_mod_modulus	EXTENDS-TIME-DEP: same triple time-reading fork; trace/volume-channel blindness holds pointwise with t spectator (TT-2 T2c/T2d)	DERIVED-as-modulus (Route B); time-reading OPEN-FORK	banked row k_mod_modulus	T1s; T2c_R4_trace_channel_blind_kmod_t_spectator	Route B T4
O09	OBJECT	k10_modulus	EXTENDS-TIME-DEP: same triple time-reading fork; chi_a character t-spectator; character-matched relative invariance transfers pointwise	DERIVED-as-modulus (Route B); time-reading OPEN-FORK	banked row k10_modulus	T1s_K4_moduli_characters_t_spectator	Route B T1 (A1-amended)
O10	OBJECT	C_mixing_moduli	EXTENDS-TIME-DEP: same triple time-reading fork; signed-flip characters t-spectator; E08 cocycle law remains the J07/J11 transition-data TYPE (now with the time-slack datum added -- see J07 row)	DERIVED-as-modulus (Route B); time-reading OPEN-FORK	banked row C_mixing_moduli	T1s_K4_moduli_characters_t_spectator	Route B T1/T3
