id	path	locator	source_status	audit_use
S01	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	Founding pair and honest conclusion	FOUNDATIONAL_CANDIDATE_PLUS_DERIVED_KINEMATICS	Supplies the internal reciprocal clock/ruler character but no theorem realizing a global spacetime two-plane.
S02	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	Postulate and undecided list	FOUNDATIONAL_POSTULATE_LOCKED	Supplies the conformal class and leaves transport derivative order and time-live degrees of freedom open.
S03	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	Interpretation ledger	OWNER_STATED_WORKING_PRINCIPLE	Bootstrap is whole-solution admissibility and supplies no local projector equation or nonlocal insertion.
S04	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	Current checkpoint and open selector seam	CURRENT_FRONTIER	Keeps physical transport angular section carrier action source and boundary completion open.
S05	reciprocal_line_realization_selector_2026-07-18/DERIVATION_REPORT.md	Internal-to-spacetime type gap	VERIFIED_WITH_CAVEATS	The founding internal pair is not yet a spacetime line field or rank-two tangent distribution.
S06	transverse_reciprocal_realization_selector_2026-07-19/AUDIT_REPORT.md	Direct vector extension and conditional correspondence	VERIFIED_WITH_CAVEATS	Direct faithful extension leaves transverse identity; a physical transverse realization remains underdetermined.
S07	udt_clock_ruler_soldering_selector_audit_2026-07-20/AUDIT_REPORT.md	Seal-local construction	VERIFIED_WITH_CAVEATS	Supplies a conditional clock/radial plane and metric-orthogonal positive screen, including nonzero-cross metrics.
S08	udt_gr_subtraction_reciprocal_connection_audit_2026-07-21/AUDIT_REPORT.md	Connection subtraction and P versus L result	IMMEDIATE_PARENT	Shows projector preservation is weaker than full reciprocal-axis preservation and motivates this direct test.
S09	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	Complete coframe and holonomy scope	VERIFIED_WITH_CAVEATS	The metric may contain shift twist and shear; current UDT does not set those sectors to zero or select a holonomy reduction.
S10	projective_transport_section_selector_2026-07-19/AUDIT_REPORT.md	Propagation versus selection	VERIFIED_WITH_CAVEATS	Transport can propagate supplied data but cannot select the initial plane section or physical connection.
S11	udt_complete_lift_mu_closure_audit_2026-07-20/AUDIT_REPORT.md	Registered nonzero-cross lifts	VERIFIED_WITH_CAVEATS	Supplies the eight constant nonzero-cross witness metrics at mu four and nine.
S12	udt_complete_seal_fixed_set_selector_audit_2026-07-21/AUDIT_REPORT.md	Complete seal fixed-set ruling	IMMEDIATE_PARENT	The current scalar fold selects no complete angular lift; a plane projector was identified only as a simpler candidate.
S13	finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	Finite-cell seal authority	VERIFIED_WITH_CAVEATS	The seal supplies limited static boundary data but no bulk projector transport or proof of integrability.
S14	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	Global continuation status	VERIFIED_WITH_CAVEATS	Global coframe continuation cover and cap remain open beyond this local distribution audit.
S15	c2_intrinsic_angular_product_selector_2026-07-20/AUDIT_REPORT.md	Intrinsic angular geometry	VERIFIED_WITH_CAVEATS	Angular scalar curvature does not select directional screen data or a reciprocal angular axis.
S16	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	Carrier and topology boundary	VERIFIED_WITH_CAVEATS	The carrier is reopened and conditional; Hopf structure cannot be used as selector input here.
S17	udt_premise_reset_audit_2026-07-19/AUDIT_REPORT.md	Corrected physical meanings	CURRENT_CORRECTION_OVERLAY	Prevents withdrawn observer-frame or Xmax interpretations from being reused as projector authority.
S18	udt_reciprocal_plane_projector_audit_2026-07-21/PREREGISTRATION.md	Whole file	FROZEN_PREREGISTRATION	Freezes the connection class witnesses falsifiers premise boundary and maximum conclusion.
