premise_id	premise	status	use	not_supplied
P01	founded_phi_reciprocal_clock_ruler_weights	pinned_by_THEORY	define_coframe_weights	profile_or_global_solution
P02	copresence	WORKING_INTERPRETIVE_FRAME	whole_candidate_solution_reading	solution_law_or_accessibility
P03	metric_causal_structure	DERIVED_CONDITIONAL	causal_classification_given_Lorentzian_metric	matter_signal_response
P04	instantaneous_operational_access	NOT_DERIVED	explicitly_excluded	signalling_theorem
P05	complete_whole_solution_law	OPEN	explicitly_excluded	action_or_global_admissibility_law
P06	observer_frame_reciprocity	OWNER_FOUNDING_MACRO	covariance_of_comparison	individual_solution_isometries
P07	endpoint_vs_path_semantics	OPEN	no_global_choice	path_independence_or_path_ontology
P08	stationary_R_times_S3_family	free-and-explored_bounded_ansatz	test_intrinsic_pair	time_live_or_other_topologies
P09	global_Maurer_Cartan_coframe	conditional_complete_configuration_input	global_regular_witness	physical_topology_selection
P10	profile_f	free-and-explored_deterministic_candidate	break_accidental_symmetry	field_equation_or_preference
P11	epsilon_one_over_50	free-and-explored_candidate	nonconstant_bounded_depth	physical_amplitude
P12	a_one_over_64	free-and-explored_candidate	nonzero_twist_with_slice_margin	physical_twist
P13	lambda	free-and-explored_six_values	screen_weight census	selector
P14	c_E_equals_one	pinned_by_units	coordinate calibration	change_in_physical_anchor
P15	R_equals_one	pinned_by_units	coordinate calibration	physical_cell_scale
P16	north_stereographic_event	free-and-tested_certificate_point	local_invariant_rank	global_preferred_point
P17	I1_I2_I3_curvature_scalars	pinned_by_metric_geometry	intrinsic_symmetry_certificate	action_or_physics
P18	analyticity	pinned_by_candidate_profile_and_coframe	Killing_one_jet_continuation	generic_smooth_nonanalytic_family
P19	time_orientation	pinned_by_metric_readout	future_clock_sign	K_normalization
P20	action_variation_source_boundary_carrier_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL	excluded	complete_physics
