evidence_family_or_path	observed_role	adjudication	selection_consequence
CURRENT_SCIENTIFIC_PREMISES.tsv_G46_G49	current_authoritative_registry	explicitly_lists_R17_branch_lambda_profile_and_on_shell_selection_open	NO_OWNER
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/	W01_configuration_parameterization	explicitly_not_equation_of_motion_and_lambda_profile_open	NO_OWNER
udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/	C01_C06_complete_metric_witnesses	explicitly_off_shell_profile_selected_false_lambda_selected_false	NO_OWNER
udt_twisted_s3_all_gate_reciprocal_reduction_audit_2026-08-02/	configuration_level_intrinsic_pair_certificate	explicitly_does_not_select_profile_lambda_topology_or_on_shell_equation	NO_OWNER
udt_twisted_s3_intrinsic_contact_descent_audit_2026-08-02/	metric_projector_and_contact_readouts	explicitly_off_shell_and_nonselecting	NO_OWNER
udt_r17_magnitude_to_grading_selection_audit_2026-08-10/	conditional_vertical_metric_class	explicitly_supplied_off_shell_coframes_and_no_branch_lambda_on_shell_selection	NO_OWNER
udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/	global_pair_foliation_and_endpoint_depth	explicitly_selects_neither_R17_nor_lambda_and_supplies_no_equation	NO_OWNER
udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/	pair_leaf_connection_and_holonomy	explicitly_classification_not_lambda_selector	NO_OWNER
udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/	complete_projected_connection_and_curvature	G49_parent_leaves_sublocus_ownership_as_open_next_gate	NO_OWNER
udt_global_relation_family_branch_classification_2026-08-10/	current_24_branch_relation_family_map	R17_is_concrete_global_offshell_family_and_path_groupoid_not_physical_selection	NO_OWNER
udt_complete_screen_response_branch_atlas_2026-07-28/	kinematic_complete_screen_response	W01_response_and_mixing_classified_without_selection	NO_OWNER
udt_projector_deformation_neighborhood_audit_2026-08-01/	local_offshell_neighborhood	verifier_explicitly_rejects_promotion_on_shell	NO_OWNER
reciprocal_metric_null_line_selector_2026-07-19/verify_reciprocal_null_line_selector.py	unrelated_claim_id_R17	R17_is_a_row_identifier_not_current_branch_W01	NOT_RELEVANT
rung2_weld_postjuly_regrade_2026-07-19/STATUS_LEDGER.tsv	unrelated_claim_id_R17	bootstrap_local_weld_marked_not_derived	NO_OWNER
udt_complete_connector_assembly_audit_2026-07-22/CANDIDATE_ROW_LEDGER.tsv	W01_is_local_candidate_row_id	all_rows_state_no_complete_global_connector	NO_OWNER
udt_completion_scoped_realized_observable_map_2026-07-26/	unrelated_requirement_R17	conditional_topological_data_and_not_on_shell_solutions	NO_OWNER
udt_founded_pair_first_jet_one_form_atlas_2026-07-26/EXACT_DERIVATION.md	W01_is_one_form_basis_label	states_special_field_equation_may_change_bounded_identity_but_supplies_none	NO_OWNER
udt_gr_subtraction_reciprocal_connection_audit_2026-07-21/STATUS_LEDGER.tsv	unrelated_claim_id_R17	new_gauge_field_or_action_required_marked_not_derived	NO_OWNER
udt_pre_p06_boundary_selector_audit_2026-07-21/verify_boundary_selector.py	W01_is_boundary_witness_label	mutation_checks_reject_boundary_or_functional_selection	NO_OWNER
udt_r09_certificate_adjudication_2026-07-28/	W01_is_local_witness_check_identifier	different_branch_selector_problem_not_current_R17_W01	NOT_RELEVANT
udt_reciprocal_plane_projector_audit_2026-07-21/STATUS_LEDGER.tsv	unrelated_claim_id_R17	complete_integrable_umbilical_force_marked_open	NO_OWNER
udt_two_frame_regime_metric_limit_audit_2026-07-22/TWO_FRAME_ROLE_LEDGER.tsv	unrelated_claim_id_R17	observer_choice_with_shift_is_conditional_metric_algebra_not_selected_mechanics	NO_OWNER
archive_reorganization_and_external_review_records	historical_or_forensic_repetitions	noncurrent_and_cannot_overrule_current_registry	NO_OWNER
