id	premise	status	authority_or_role	exclusion
P01	reciprocal_c_dual_pair	FOUNDING	UDT_NATIVE_ACTION_COLD_PACKET.md sec 1.2	not a connection law
P02	additive_relative_composition	POSIT_DERIVATION_INPUT	UDT_NATIVE_ACTION_COLD_PACKET.md secs 1.1 and 2	not a local phi-shift gauge
P03	reciprocal_reversal	POSIT_DERIVATION_INPUT	S(-phi)=S(phi)^-1	relation on comparison group; connection action to be audited
P04	phi_sign_and_unit	CHOSE	UDT_NATIVE_ACTION_COLD_PACKET.md sec 2	not physical selector by itself
P05	common_scale_neutrality	FOUNDING	[g]={Omega^2 g}	no representative or connection selected
P06	phi_CSN_weight_zero	DERIVED_EXACT	reciprocal positive-pair ratio	no additive-shift gauge
P07	static_seal_phi_zero	CANONIZED_STATIC_SCOPE	UDT_NATIVE_ACTION_COLD_PACKET.md sec 3	normal derivative free; no bulk connection selected
P08	bootstrap	WORKING_GLOBAL_SELECTION_REQUIREMENT	UDT_NATIVE_ACTION_COLD_PACKET.md sec 6	not a ready-made local equation or connection
P09	nonnull_dphi_region	pinned-by-bounded-question	parent transport audit	null and zero loci excluded
P10	h0_A0_Gamma0	PARENT_DERIVED_EXACT	udt_csn_dphi_transport_selector_audit_2026-07-23	local geometric candidate only
P11	full_phi_counterfamily	free-and-explored	hf=exp(2f(phi))h0	must obey all registered transformations
P12	derivative_only_family	free-and-explored	Af=A0+lambda*dphi	no physical lambda supplied
P13	local_phi_shift_gauge	OPEN_NOT_AUTHORIZED	phi ontology and semantic-conflict ledgers	may appear only in conditional theorem
P14	strict_connection_invariance_under_reversal	OPEN_TO_AUDIT	reversal is registered but its complete coframe/connection action is not	must distinguish covariance
P15	dependence_only_on_unoriented_projector	free-and-explored	bounded naturality subclass	cannot be assumed physical
P16	torsion_free_transport	OPEN_NOT_AUTHORIZED	parent transport audit and cold packet	no GR/metric habit as UDT law
P17	zero_stabilizer_addition	OPEN_NOT_AUTHORIZED	parent transport audit	no minimality by taste
P18	independent_connection_field	OPEN_FIELD_CENSUS	complete native action and variation domain open	no invented field
P19	Hopfion_or_carrier	OUT_OF_SCOPE	current frontier	no carrier inference
P20	action_source_boundary_charge	OPEN_NOT_USED	current frontier	no dynamical promotion
P21	physical_time_evolution	OPEN_NOT_USED	connection transport is geometric	no transport-as-signal or force claim
