id	object_or_result	source_ids	load_bearing_argument	supplied_inputs	unproved_join	audit_disposition
C01	Completed metric-to-pair kernel	G179	WORKING completed-pair reciprocity + full pullback	metric/coframe and regular tangent germ	none for evaluation in stated domain	retain native conditional evaluation
C02	Complete records to metric information	G213	rank-complete marked tuples with positive densities	valued network; smooth field data for derivatives	values/population/global realization not supplied	retain closed conditional information bridge
C03	Reciprocal response restriction	G310/G311/currentG312	owner-provisional DDR + specified symmetric response	response constitution and its hypotheses	particular response formula remains open	retain metric trace-line consequence; do not apply to antisymmetric F
C04	Killing-generated field family	September13 NR1 sectionA	Levi-Civita/Killing identity; Ric(K)=0 for source-free divergence	g and choice ofK/member/normalization	native/physical field identity	retain conditional geometric construction; not Maxwell adopted as UDT law
C05	Pulse and BE1 field witnesses	September13 NR1 sectionsB/C + C1	supplied complete metrics and generators	profile/inverse metric parameterization; BE1 conditional	native dynamics, physical radiation, scale	retain zero/constant/non-null/non-Einstein limits
C06	Field-record inversion	September13 NR2 sections1/2	specified finite ODE family + linear/quadratic algebra	fixed marked geometry and diagnostic projections	detector/physical interpretation	retain finite-family sign/zero/sampling limits
C07	Field phase distinctions	September13 NR2 section3; G352	profile parameter vs compensated factorization	chosen phase/count product separately supplied	equality with physical or G352 readout	retain distinct objects; no phase identification
C08	Larger aligned field survivor	September13 NR2 section4	special Brinkmann geometry and aligned coefficient dependence	arbitrary smooth profiles and metricfamily	complete native field class/selection	retain sufficient conditional family; pause automatic expansion
C09	Central geometric blind spot	September13 NR2 section5; G348	full metric2-jet and Jacobi dependency	prescribed central paths/observers and initialdata	finite/global or physical observation	retain metric-native conditional behavior; neighboring tides distinguish
C10	Existing transport/readout gains	G95/G351/G352	geometric response + separately owner-provisional measure/readout	connection home; labels/phase/product and interpretation	KillingF equality, fieldenergy/source/detector	preserve prior closure with physical join open
C11	Native response foundations	G401/RF1 under currentG312	realizable-jet representation removes ambient extension	remaining response hypotheses and controlled regime	nonzero leading coefficient/class membership	do not repeat removed gap or old nonselection as new work
C12	Direct connection witness	NFCA1 INITIAL_AUDIT sectionC	G179 applied to existing September13 NR2metric	same auxiliary tangent pair/calibration; epsilon0/1/8	physical clock/readout or native admission	chi changes at fixedF; F can change at fixedg; scoped dependency separation
