sample_id	axis_or_probe	exact_values_or_definition	purpose
SG01	phi	-1;-1/2;0;1/2;1	nonaligned_shape_cartesian_grid
SG02	shear	-1;-1/2;0;1/2;1	nonaligned_shape_cartesian_grid
SG03	angular_rotation_theta	0;pi/6;pi/4;pi/2	spin_two_transformation_anchor
SG04	GL2Z_monodromy	M01=[[1,0],[0,1]];M02=[[0,1],[1,0]];M03=[[1,1],[0,1]];M04=[[0,-1],[1,0]];M05=[[-1,0],[0,-1]];M06=[[1,0],[1,1]]	relative_covector_preserved_reversed_or_mixed
SG05	connection_exact	base=(x,y);chi=x^2*y+3*y^2;b=dchi	exact_flat_witness
SG06	connection_curved	base=(x,y);b=(0,x)	curvature_nonzero_witness
SG07	connection_periodic	base=S1_theta;b=k*dtheta;k=-1;0;1/2;1	holonomy_integral_and_nonintegral_witness
SG08	conformal_profile	base_coordinate=x;q=exp(a*x);a=-1/2;0;1/2	nonconstant_scale_response
SG09	manufactured_scalar	u=x^2+x*y+2*y^2;x=-1;-1/2;0;1/2;1;y=-1;-1/2;0;1/2;1	conditional_operator_numeric_anchor
SG10	tracefree_anisotropy	K1=diag(1,-1,0);K2=[[0,1,0],[1,0,0],[0,0,0]]	L2_and_L4_first_variation_anchors
SG11	cap_lattice	V00=((1,0),(1,0));V01=((1,0),(0,1));V02=((1,0),(1,2));V03=((2,0),(0,1))	P0_P1_Pgt1_nonprimitive_controls
SG12	torus_relative_covector	w=(1,-1)	fixed_relative_character_control
