claim_id	layer	object	status	load_bearing_basis	dependency_or_limit	maximum_claim
G331-01	SPATIAL_GEOMETRY	Berger simple Ricci cluster	RETAINED_CONDITIONAL	G330 exact gap Delta_0>0 for a!=c	supplied nonround Berger base	starting datum only
G331-02	PERTURBATION	common-bundle Ricci comparison	DERIVED	positive metric identification B and gamma0-self-adjoint conjugate Ahat	C2 metric topology required	coordinate-independent operator comparison
G331-03	PERTURBATION	global rank-one Ricci line	DERIVED_BOUNDED	uniform operator perturbation below half the base gap on compact S3	gap must remain open	all sufficiently C2-close smooth spatial metrics have a smooth continued line
G331-04	TOPOLOGY	global signed representative	DERIVED_USING_IMPORTED_TOPOLOGY	H1(S3;Z2)=0 trivializes every real line bundle	selects neither V nor -V	global unit representative exists up to sign
G331-05	NONSYMMETRIC_CONTROL	compactly supported conformal bump	DERIVED_GEOMETRIC_WITNESS	exact 3D conformal Ricci formula gives Ric_13=-epsilon and scalar change -8epsilon	constraint embedding not proved	old Berger vertical line is not perturbatively fixed
G331-06	METRIC_COUNTERFAMILY	weighted contact metrics	DERIVED_GEOMETRIC_COUNTERFAMILY	direct exact coordinate Ricci gives xi as eigenline; unequal weights are nonhomogeneous	mathematical metric family not selected physical history	arbitrarily close irregular Ricci eigenflows exist in spatial metric space
G331-07	FLOW	generic weighted eigenline orbits	DERIVED	flow has torus frequencies w1,w2 and closes iff their ratio is rational	irrational ratios retain two exceptional closed axes	generic leaves can be nonclosed and dense
G331-08	FIBRATION	Hopf circle fibration	NOT_PERTURBATION_OPEN	explicit irrational weighted metrics retain the line but lose generic closed leaves	active-constraint embedding of counterfamily remains open	Ricci gap alone does not preserve G330 fibration in metric space
G331-09	TOPOLOGICAL_READOUT	G330 period-normalized absolute helicity	UNAVAILABLE_WITHOUT_CLOSED_FIBRES	generic leaves have no period or smooth S2 orbit quotient	other invariants would be new objects	G330 integer is not carried by the line alone
G331-10	DYNAMICS	short-time line carry	DERIVED_CONDITIONAL	smooth local development plus initial uniform gap	applies only to independently constraint-compatible data	line persists on a nonzero interval while gap remains open
G331-11	DYNAMICS	short-time fibration carry	OPEN	no symmetry inheritance or periodic-flow theorem remains after general perturbation	weighted counterfamily not constraint-embedded	no dynamic loss or persistence theorem for lawful nonsymmetric histories yet
G331-12	STABILITY	energetic nonlinear or long-time stability	OPEN	no action energy spectrum or maximal evolution used	outside bounded tile	no stability theorem
G331-13	PHYSICS	occupancy matter mass scale Xmax	OPEN	no selector source observation or calibration entered	owner/canon gate unchanged	no physical history selected
G331-14	OVERALL	G330 nonsymmetric robustness boundary	EXTERNALLY_ACCEPTED_BOUNDED	59 production checks 44 independent rational-function checks 10 hostile mutations plus fresh external independent rederivation	explicit metric families remain unembedded in active constraint manifold	bounded perturbation boundary only
