object	status	maximum_claim	open_scope
G226_full_phase_object	DERIVED_CONDITIONAL	S_plus_Hom_V_S_is_the_caustic_safe_transverse_first_jet	physical_query_population_and_global_branching
G226_affine_edge_transfer	DERIVED_CONDITIONAL	full_G188_phase_is_symplectic	metric_history_and_edge_population
G226_clock_normalized_edge	DERIVED_CONDITIONAL	CSp4_multiplier_equals_G216_clock_ratio	universal_null_protocol
G226_vertical_scalar_join	DERIVED_CONDITIONAL	G224_q_is_inverse_CSp_multiplier	global_scalar_ownership
G226_vertex_phase_lift	DERIVED_CONDITIONAL	G225_C_lifts_as_diag_C_C_in_frequency_one_generators	physical_selection_of_G225_as_vertex_transport
G226_chain_functor	DERIVED_CONDITIONAL	ordered_supplied_chain_composes_in_positive_CSp4	independent_direct_relation_and_history
G226_middle_gauge	DERIVED	independent_middle_O2_frames_cancel	global_screen_trivialization
G226_caustic_stratum	DERIVED_CONDITIONAL	position_block_may_singular_while_full_phase_invertible	multiple_image_weights_and_branch_aggregation
G226_residual_holonomy	DERIVED_CONDITIONAL	normalized_phase_is_Sp4_and_retains_G225_matrix_holonomy	global_holonomy_population_and_observation
G226_external_review	ACCEPTED_WITH_REPAIRS	main_interlock_survives_and_no_scientific_defect_found	repair_only_followup
G226_evidence_repairs	EXTERNALLY_VERIFIED	strict_read_only_replay_and_bounded_verifier_wording_only	none_inside_registered_repair_scope
