item	status	role
G340_endpoint_clock_ratio	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	metric-owned normal-observer endpoint frequency input
G343_affine_and_endpoint_typing	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	common affine and separately normalized endpoint conversion
G344_mixed_hessian_bidensity	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	affine-weighted two-endpoint screen input
provisional_vacuum_equation	OWNER_ADOPTED_PROVISIONAL_POSTULATES_NOT_CANON	conditional spacetime arena inherited through G340--G344 only
positive_time_domain	PINNED_BY_THEORY_FOR_THIS_SPACETIME	T greater than zero regular component
distinct_endpoint_times	FREE_AND_EXPLORED_QUERY_DATA	all positive ordered noncoincident pairs
nonidentity_endpoint_triples	FREE_AND_EXPLORED_QUERY_DATA	all six orderings with outer endpoints distinct
coincident_endpoint_limit	DERIVED_BOUNDARY_CLASSIFICATION	type-I chart excluded at identity but limit tested
fixed_labelled_null_ray	SUPPLIED	no ray or compact lift selected
normal_endpoint_observers	SUPPLIED_CONDITIONAL_BOUNDED	G340 congruence; no observer population selected
projective_direction	FREE_AND_EXPLORED_QUERY_DATA	all mixed directions and both principal limits
common_affine_scale	FREE_AND_EXPLORED_GAUGE	all positive rescalings classified
separate_endpoint_unit_frequency	CHOSE_QUERY_CALIBRATION	tested only through G343 metric-owned conversion
metric_screen_metrics_and_areas	PINNED_BY_THEORY_FOR_THIS_SPACETIME	induced from the supplied metric and screen quotient
endpoint_GL2_coordinates	FREE_AND_EXPLORED_GAUGE	arbitrary well-conditioned invertible passive changes
first_power_determinant_monomial_class	CHOSE_CLASSIFICATION_NORMALIZATION	minimal weight classification; not a physical selection
symmetric_endpoint_treatment	PINNED_BY_REVERSAL_QUERY	required only for reversal-symmetric scalar classification
stationary_composition	DERIVED_CONDITIONAL_BOUNDED	G344 typed endpoint gluing with joined Hessian retained
compact_translation_lattice	SUPPLIED_CONDITIONAL	all lift labels retained separately
numeric_quadrature_and_matrix_controls	CATEGORY_A_METHOD	certification only
Van_Vleck_Etherington_or_geometric_optics	OMITTED_NOT_USED	may not supply the scalar or its interpretation
electromagnetic_or_light_model	OMITTED	no emission absorption spectrum polarization or detection
luminosity_flux_probability_amplitude_or_distance	OMITTED	no physical attachment to determinant scalar
physical_route_or_observer_population	OPEN	no path or observer selected summed or weighted
generic_spacetime_or_stability	OPEN	one exact conditional spacetime and ray family only
matter_mass_scale_Xmax	OPEN	no attachment or selection
canon	OPEN	Charles alone canonizes
