id	topic	arm_A_stage_I	arm_B_stage_I	arm_A_stage_II	arm_B_stage_II	arm_C_audit	mechanical_relation	required_correction	final_ruling	final_status
M01	Founding hierarchy	Positional dilation; Reciprocal-c; dual Reciprocity; CSN kept founding under H2	Same	No change	No change	Confirmed hierarchy and non-demotion	AGREE	None	Retain exact C0/C1 hierarchy	FOUNDING
M02	Dual reciprocal determinant-one relation	P^T K P=K implies uv=1	Same	Confirmed	Confirmed	Confirmed inside supplied faithful pairing formalization	AGREE	Carry that the forcing is dual Reciprocity; not Reciprocal-c alone	uv=1 follows from the frozen dual-pair premise	DERIVED
M03	Reciprocal exponential comparison	Composition plus positivity and regularity gives opposite exponentials up to sign/unit	Same	Confirmed	Confirmed	Confirmed with all named premises	AGREE	Carry additive-depth; positivity; regularity; sign/unit qualifications	P(phi)=diag(exp(-phi),exp(phi)) in the declared comparison representation	DERIVED / CONDITIONAL
M04	Representative metric block	Lorentzian readout; Omega=1 representative; parallel-slot assignment are chosen/conditional	Same	Confirmed	Confirmed	Confirmed; product gains Omega^4 under common rescaling	AGREE	Do not promote representative identity to a CSN invariant or full metric	Reciprocal metric readout is conditional beyond the derived comparison law	CONDITIONAL
M05	Realized nontriviality	Observed nonzero dilation; phi=0 remains mathematically admitted	Same	No change	No change	Confirmed	AGREE	None	Observation does not delete the trivial configuration	OBSERVED
M06	Finite-cell seal parity	Static phi=0 at seal; normal derivative free	Same	Confirmed	Confirmed	Confirmed; parity does not select primitive or charge	AGREE	None	Static parity is fixed only in its stated sector	CANONIZED / BINDING
M07	Full fields and variation domain	Metric-only; metric-plus-phi; coframe; multiplier; readout branches remain	P-only; phi; slot-selector branches remain	Confirmed	Confirmed	Confirmed inequivalence of hard constraint; multiplier; unrestricted-then-restrict; restrict-then-vary	AGREE	None	No unique off-shell domain is selected	OPEN
M08	Action existence and uniqueness	Called underdetermined using CM0; C2; X2 and other branches	Called underdetermined using local; higher-derivative; nonlocal branches	Confirmed broad underdetermination	Confirmed broad underdetermination	Conclusion survives as non-entailment; examples are not complete-foundation models	AGREE_WITH_C_QUALIFICATION	Remove claim that displayed sketches alone are complete admissible countermodels	No unique complete action is established; no complete countermodel theorem is established	OPEN
M09	Countermodel completeness	CM0 treated as admissible; C2/X2 treated as uniqueness defeaters	Illustrative action and completion pairs treated as admissible alternatives	No completeness correction	No completeness correction	0 complete-admissible; 8 incomplete; 5 conditional-completable; 3 inadmissible	OVERSTATEMENT_CORRECTED	Downgrade every displayed candidate to Arm-C census status	Countermodels identify non-entailment and live families but do not construct two complete universes	CORRECTED
M10	C2/Bach bulk class	C2 shown as one chosen CSN-respecting metric action	Not singled out in cold derivation	Named conditional branch; distinct charge/source	Named conditional branch	Strongest selector yields C2/Bach only after metric-only; local covariance; parity-even; lowest curvature-square; unrestricted variation premises	CONDITIONAL_CONVERGENCE	State uniqueness only inside the named class; modulo Euler/boundary and normalization	C2/Bach is the unique conditional bulk direction inside that class; not a complete UDT action	UNIQUE-CONDITIONAL
