source_id	path	sha256	role	disposition
S01	CURRENT_SCIENTIFIC_PREMISES.md	04cb1621c0bb2616fb1260ae0775b46f1da02e081e30baa5b29f24606109a5d3	premise_precedence	CONTROLLING
S02	CURRENT_SCIENTIFIC_PREMISES.tsv	9f76d987c69fcb4fce056a8097218484832281bfd92a20bf76c22c278c0ec1fa	machine_premise_status	CONTROLLING
S03	udt_global_local_reconstruction_audit_2026-08-04/AUDIT_REPORT.md	e867bf678ec421ab60d33548b3ad34e6f3224b7b41f718ccf401dc66f372cfee	parent_partial_correspondence	LOAD_BEARING
S04	udt_global_local_reconstruction_audit_2026-08-04/RECONSTRUCTION_ARCHITECTURE.md	c3d9d84c38c2137715a1113678c925e48b2c504fe3e6d8ea100f4eac735facb6	parent_relation_types	LOAD_BEARING
S05	udt_global_local_reconstruction_audit_2026-08-04/ADMISSIBILITY_REQUIREMENTS.tsv	50ffd11d3786b942971ea4f176518a47b7b6d329d787d665bfbf51050b151838	complete_return_gates	LOAD_BEARING
S06	udt_extension_bundle_globalization_variation_audit_2026-08-04/AUDIT_REPORT.md	ea904def7f41c4d2ca7bd8087549d81bf0740146c6da7152eb743c033dd09395	global_extension_result	LOAD_BEARING
S07	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md	2e61fed67a410af8e7782156bef30485dfe545fece47878fc03d8f7a691c5d0b	two_sided_descent_and_variation	LOAD_BEARING
S08	udt_extension_bundle_globalization_variation_audit_2026-08-04/BUNDLE_OBSTRUCTION_LEDGER.tsv	99bdb72707aea334d9ea4c7836ed7640bcd4e8c56a0794470f0a4bbea3c0de60	obstruction_classification	LOAD_BEARING
S09	udt_extension_bundle_globalization_variation_audit_2026-08-04/VARIATION_DOMAIN_LEDGER.tsv	ab1416b3fea567301f1a2a34742983e4fcb9a3f4e28ea4d8ef995fffa58ac230	variation_ownership	LOAD_BEARING
S10	udt_extension_bundle_globalization_variation_audit_2026-08-04/TRANSITION_FAMILY_LEDGER.tsv	67f829aa7a32edb9d3cf4d62c06bc1c1d60b5ba332a6f90f0be06707b3db5305	transition_family_universe	LOAD_BEARING
S11	udt_full_coframe_response_selection_audit_2026-08-04/AUDIT_REPORT.md	aefdacb0527e965298d7f0404fef32b1854145686ad139da8d127ae0ba5dbe0d	full_coframe_response_nonselection	LOAD_BEARING
S12	udt_full_coframe_response_selection_audit_2026-08-04/EXACT_DERIVATION.md	33653be7774232ca7b3bf79cec4d1f6fc8fd3a398598b288768e63d2b5292454	coframe_tangent_and_response_map	LOAD_BEARING
S13	udt_completion_parameterized_local_fiber_audit_2026-08-01/AUDIT_REPORT.md	ef0544dd733fda802f119ceaac2e79e6a13bd0c5b6a1f3b7d9782412d9ffa74a	completion_to_local_join	LOAD_BEARING
S14	udt_completion_parameterized_local_fiber_audit_2026-08-01/EXACT_DERIVATION.md	61daf998093be9682f43c1d55ffb9ca5b998fb3b4998e2a1cb8db6da96ae6ec3	completion_fiber_algebra	LOAD_BEARING
S15	udt_completion_parameterized_local_fiber_audit_2026-08-01/MONODROMY_LOCAL_FIBERS.tsv	c0e0ef961522e47f73526ce597d150df24fb5c2dfb4f8a9bba6724e57431fbec	frozen_monodromy_universe	LOAD_BEARING
S16	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	d97ea230affe133e40dcac6374f126b51f5741b5af79749de634a1a41d8aee88	pathwise_vs_parallel_globalization	LOAD_BEARING
S17	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/EXACT_DERIVATION.md	44859e5a05c723071b7e0a5aa5f3074ffe54a1726011cd6ce4e4b7e2fe99aa56	parallelism_and_holonomy_control	LOAD_BEARING
S18	udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md	260979d6e5449844c5ed4676f3cebc331934dfa17d9df3e92f6fabeb86ada507	pointwise_extension_selector_rank	LOAD_BEARING
S19	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md	21fc7594ff288bb8297f3a8be36e8cfac336e340b376802a649ae95b3c10f932	complete_S3_witness_and_parallel_split_nogo	SUPPORTING
S20	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	ce76d6236b78a2c70fb47c17740ea07949d5845b2065683905dc3218a3a0fbbc	Cartan_holonomy_scope	LOAD_BEARING
S21	metric_cartan_holonomy_audit_2026-07-19/STATUS_LEDGER.tsv	973595bb038b568425f04fa15806bb712816e82842f6de3647f049e99dd1363e	Cartan_identity_status	LOAD_BEARING
S22	udt_factorized_whole_spacetime_skeleton_2026-08-04/OPEN_EQUATION_SLOTS.tsv	f803ba518d48063e658445ddd86956541088eba62dd27337c9efddf64662cbb0	current_dependency_order	CONTROLLING_ARCHITECTURE
S23	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	73d9f21e31d74c174dc173e03ddd27f8689c376170959d8419004f225bed73e6	completion_class_universe	SUPPORTING
S24	udt_time_live_characteristic_flux_audit_2026-07-21/AUDIT_REPORT.md	6949cfd631e13efe472713c887a586278f312d3798c0f60ea7218ff667761550	operator_and_boundary_solvability_dependencies	LOAD_BEARING_CONDITIONAL
S25	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd	action_source_boundary_open_status	CONTROLLING_NEGATIVE_BOUNDARY
S26	udt_whole_configuration_reciprocity_audit_2026-08-01/AUDIT_REPORT.md	e6022ae04eb9e12a7a87b5ddcd28c89d138c997511872b7b4b554f987baa4d87	observer_naturality_not_formula	LOAD_BEARING
S27	udt_scientific_arc_recovery_checkpoint_2026-08-04/SCIENTIFIC_ARC_CHECKPOINT.md	70b7dcb1d43fc7425b6687dff74ee6d5f11205253021ae0bc19cd47f6a3c7b89	mass_stability_and_spacetime_routing	CONTROLLING_SYNTHESIS
