sha256	path	role
3b7bef3e8027eb95dd9070cf8844bfbbba602d4a7ce30c1772bbc540f9e97bd7	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/AUDIT_REPORT.md	kernel type order and remaining pair typing
9e985bbd73a2ffe099a57257ea51778fff9ec75eb48721565faafaafd14edc62	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/EXACT_DERIVATION.md	primary reciprocal pair algebra
c1a1f722e393e431b1b0805a7e2d5ad8e27813c48db989f824b76898bc499593	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/AUDIT_REPORT.md	full primary-metric pair pullback result
e51704c01a72c546401e31f59ecf0b1881ee2c273324ccba2e4572fc7d01941d	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/EXACT_DERIVATION.md	general pair tangent formula
2c73239e4b91799d3572da5725073e7a94914eaadf34820eadcd8dbcbe7c88e5	udt_pair_first_relational_plane_reconstruction_2026-08-12/AUDIT_REPORT.md	pair-first conditional ownership and flat counterfamily
2d1c26522981ae5cecfa4b12030f34fa633cc13ced3cf438fa57f6ca47bfec45	udt_pair_first_relational_plane_reconstruction_2026-08-12/EXACT_DERIVATION.md	pair-plane and screen algebra
879e20e4b28e46aa03d32bebbdab768417c8556bd7545ff25e617fca63d7600a	udt_g137_copresent_relational_position_join_2026-08-17/AUDIT_REPORT.md	working co-present ordered-position constitution
19e72eb22393648846ffef8231e4c741ee5b5564eb6311c33901ec5f73b12519	udt_g147_pair_directional_metric_screen_solder_2026-08-17/AUDIT_REPORT.md	query-relative direction and screen identity
d8ea9eb9b16257cd61f9cd694b9c202657636c74baf1c2f1274a88f1f7502383	udt_g152_pair_immersion_variational_chord_ownership_2026-08-17/AUDIT_REPORT.md	orthogonal ruler and immersion boundary
3af471bd7b6a4d912885c31dee4a05edbcf5a1dbc292596c9343af9bb748fb5d	CURRENT_SCIENTIFIC_PREMISES.md	current premise orientation
