object	status	exact_scope	remaining_open
complete_arrow_metric_strain	DERIVED_FRAME_COVARIANT	C_A=A^dagger A conjugates at the source under independent endpoint Lorentz coframe changes	global physical comparison arrow
strain_characteristic_data	DERIVED_ENDPOINT_FRAME_INVARIANT	characteristic polynomial and causally typed regular eigendata of C_A	behavior at nonreal defective and causal-degenerate strata
pure_reciprocal_timelike_extractor	DERIVED	delta_t=-one-half log lambda_timelike equals founded delta on D(delta)	complete-arrow extension
regular_complete_timelike_extractor	DERIVED_ON_POSITIVE_REAL_UNIQUE_TIMELIKE_EIGENLINE_STRATUM	frame invariant and reversal odd	composition and degeneracy crossing
mixing_modulation_single_pair	DERIVED_EXACT_WITNESS	lower clock-screen mixing changes delta_t from log 2 to the exact timelike-strain value	physical selection of strain interpretation
quotient_depth_same_arrow	DERIVED_CONDITIONAL_ON_SPLIT	founded quotient character remains log 2 on mixing witness	metric-native global split
strain_vs_quotient_identification	OPEN_NONUNIQUE	two exact signed readouts differ on same complete triangular arrow	native identification rule
complete_spectral_magnitude	AVAILABLE_NOT_UNIQUE	rho2 and rho4 are invariant reversal-even and share pure reciprocal reduction	physical norm and global domain
spectral_norm_as_reciprocal_depth	REFUTED_FOR_GENERIC_COMPOSITION	two diagonal legs give exact nonadditivity	coherent one-parameter or cocycle restriction
signed_depth_mathematical_home	DERIVED_STRUCTURAL_TYPE	exact reversal and composition define a real groupoid 1-cocycle	metric-native cocycle construction
one_form_representation	CONDITIONAL_LOCAL_FIRST_ORDER_LINEAR	path integral automatically composes and reverses	whether native depth has this locality class
endpoint_descent	DERIVED_IFF_ZERO_ADMISSIBLE_LOOP_PERIODS	locally closed and globally period-free for one-form realization	path ontology and global topology
stationary_screen_modulated_family	DERIVED_CONDITIONAL_EXACT	delta_a=log(Np/Nq)+a log(Rq/Rp) on a stationary integrable 2+2 branch conditional on supplied Killing line, supplied screen split, fixed endpoint screen identification, and R-to-screen-area convention	coefficient a and general nonstationary extension
angular_orchestra_framing	CONSTRUCTIVELY_VIABLE_NOT_SELECTED	angular and mixing geometry can enter one A-B depth before any scalar-distance readout	universal metric-native Alpha rule
prior_equal_phi_angular_counterexample	NARROWED_SCOPE	refutes pointwise scalar subtraction with external angular sector only	does not test relational full-arrow phi_AB
c_E_and_Xmax	CONSTRAINTS_NOT_SELECTORS	ordinary slope and asymptotic gate remain active	complete cocycle profile value and global realization
complete_pair_phi_rule	OPEN_SHARPENED_TARGET	metric-natural real groupoid cocycle or equally compositional full comparison readout	selection variation ownership and complete solutions
downstream_physics	OPEN_UNCHANGED	no action source carrier boundary bootstrap matter mass dynamics signal or observation derived	all downstream closure
overall	DERIVED_ORCHESTRA_COMPATIBILITY_AND_COCYCLE_HOME__UNIQUE_COMPLETE_PAIR_PHI_OPEN	full-arrow modulation is possible and previous counterexample narrowed	metric-native selection of the physical cocycle
