source_id	path	role
S01	startup_surface_g310_universal_reciprocity_refresh_2026-08-31/ADOPTION_RECORD.md	owner-provisional Universal Reciprocity adoption
S02	startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md	owner-provisional quiet-GR and locality adoption
S03	udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/AUDIT_REPORT.md	conditional response provenance
S04	udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/AUDIT_REPORT.md	bounded response constitution provenance
S05	udt_g315_conditional_cauchy_characteristic_data_interface_2026-09-01/EXACT_DERIVATION.md	active spacelike constraints and signs
S06	udt_g316_lawful_constraint_data_construction_2026-09-01/EXACT_DERIVATION.md	constraint-method boundary and comparison controls
S07	udt_g319_ratio_free_noncmc_constraint_descent_2026-09-01/EXACT_DERIVATION.md	prior exact constraint-flexibility control
S08	udt_g330_berger_hopf_eigenline_local_persistence_2026-09-02/AUDIT_REPORT.md	Berger Ricci-line predecessor
S09	udt_g331_nonsymmetric_ricci_eigenline_fibration_perturbation_2026-09-03/AUDIT_REPORT.md	immediate weighted-family boundary
S10	udt_g331_nonsymmetric_ricci_eigenline_fibration_perturbation_2026-09-03/EXACT_DERIVATION.md	weighted metric unit Reeb Ricci line and orbit classification
S11	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	carrier-versus-metric topology authority
S12	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	historical carrier ownership boundary
