profile	twist	K	r	theta	direct_quadratic	formula_quadratic	absolute_error	scaled_error	constant_finite_amplitude_invariance
P1	U1	1	-0.3333333333333333	0.7	3.0108311696863677	3.0108311700760004	3.896327704921987e-10	1.2941036826132083e-10	
P1	U0	1	-0.3333333333333333	0.7	-3.191891195797325e-10	0.0	3.191891195797325e-10	1.0	3.885780586188048e-16
P1	U1	1	0.2	0.7	0.87473115731318	0.8747311567461629	5.670170999394486e-10	6.482187071981015e-10	
P1	U0	1	0.2	0.7	-4.810966440042345e-10	0.0	4.810966440042345e-10	1.0	4.440892098500626e-16
P1	U1	0	-0.3333333333333333	0.4	1.4027353481456857	1.4027353481684441	2.2758461781791084e-11	1.6224344678778414e-11	
P1	U0	0	-0.3333333333333333	0.4	1.457167719820518e-10	0.0	1.457167719820518e-10	1.0	1.1102230246251565e-16
P1	U1	0	0.2	0.4	0.22852288693222392	0.2285228869244198	7.804118462573228e-12	3.415027075554056e-11	
P1	U0	0	0.2	0.4	-9.25185853854297e-12	0.0	9.25185853854297e-12	0.0925185853854297	0.0
P1	U1	-1	-0.3333333333333333	0.6	3.8159381832159056	3.81593818729756	4.081654569887405e-09	1.0696333036720452e-09	
P1	U0	-1	-0.3333333333333333	0.6	-3.626728547108845e-09	0.0	3.626728547108845e-09	1.0	1.7763568394002505e-15
P1	U1	-1	0.2	0.6	0.837266699138528	0.8372667004353164	1.2967883433745442e-09	1.5488354459819203e-09	
P1	U0	-1	0.2	0.6	-6.846375318521799e-10	0.0	6.846375318521799e-10	1.0	4.440892098500626e-16
P2	U1	1	-0.4	0.7	6.086342806484642	6.086342806599924	1.1528200616339745e-10	1.8941096455886065e-11	
P2	U0	1	-0.4	0.7	-7.401486830834377e-11	0.0	7.401486830834377e-11	0.7401486830834376	2.7755575615628914e-16
P2	U1	1	0.6	0.7	2.292067508115799	2.2920675078218125	2.939866128315316e-10	1.282626326626846e-10	
P2	U0	1	0.6	0.7	-2.312964634635743e-11	0.0	2.312964634635743e-11	0.23129646346357427	1.6653345369377348e-16
P2	U1	0	-0.4	0.4	4.031064306367349	4.03106430641919	5.184119800105691e-11	1.2860424458747382e-11	
P2	U0	0	-0.4	0.4	1.3646491344350883e-10	0.0	1.3646491344350883e-10	1.0	1.1102230246251565e-16
P2	U1	0	0.6	0.4	2.700666745898232	2.700666746091077	1.9284485119897e-10	7.140638565572448e-11	
P2	U0	0	0.6	0.4	0.0	0.0	0.0	0.0	0.0
P2	U1	-1	-0.4	0.6	9.526100177089289	9.526100176095774	9.935146039197207e-10	1.0429394877760883e-10	
P2	U0	-1	-0.4	0.6	2.3314683517128287e-09	0.0	2.3314683517128287e-09	1.0	2.6645352591003757e-15
P2	U1	-1	0.6	0.6	5.380206821836708	5.380206819279142	2.5575666029453714e-09	4.753658525848757e-10	
P2	U0	-1	0.6	0.6	-1.4802973661668753e-10	0.0	1.4802973661668753e-10	1.0	1.3322676295501878e-15
