path	sha256	size
LIVE.md	5212f12687732ccbf28eb3079e6aa5e6d980764eaf068e17167440ddde3e73c2	74544
HANDOFF.md	4cee1a9e4df8273a0df065e2288b9948aae354089edc26919b830380d5d04969	30955
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	af6bcc49535fd9cf4c8a60e997935d10619f2d52d146482ee40ad9d968f76810	30848
UDT_NATIVE_ACTION_COLD_PACKET.md	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	13221
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	c3d7cf1d0b24d83958b23ae55624259dba0a46c8bebd3308caadda873b67b5ac	5113
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	11418
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	2886
UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	ce14075bad1ff4b6ea9b41e35dc6b63dfc5a9ae13478bd57c80b1502f33fb540	2693
bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md	9192fca92619508d9b14601a0e96d1ffdc0064893ea2c9e4f64609b3777b2fe0	11250
bootstrap_csn_phi_angular_selector_2026-07-19/STATUS_LEDGER.tsv	487fc2b4fed1e47b11fbe1c61325787a8bdb743227a8133f06dadfb66fc0c2ee	7141
udt_complete_metric_realization_zoomout_2026-07-23/AUDIT_REPORT.md	920201892b7902f8a84de8096b3c0c05ba9457404e3f7445915ac4ab016f1b6f	10724
udt_complete_metric_realization_zoomout_2026-07-23/BOOTSTRAP_REALIZATION_MATRIX.tsv	226e8a89346a4bcd9dc72610c18ec22ba05f0addc85b7e3bacb6be3449297d8c	1042
udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	923e6e4e7d9b6478f8b281f7d48f4fd46cd194c292a01540c46509ee6fc89776	11332
udt_complete_metric_intrinsic_object_audit_2026-07-23/STATUS_LEDGER.tsv	d6a594e269af0a0516558ceea800847d17aa9378f3d6bf2a0fcf9837bf835717	2778
udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/AUDIT_REPORT.md	25e6b85882d27e746826d124baf61235a22360ccc28ae4f545bd24d6da48c433	9994
udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/DERIVATION_RESULT.json	b9615ac07c8548f9f57f87794d369726d850d8bc8a2cdad834cf9a5456c7eb18	3163
