theorem_id	domain	condition	ruling	scope_guard
G01_LOCAL_DOMAIN	ANY_REGULAR_LORENTZIAN_POINT	dphi_nonzero_and_g_inverse_dphi_dphi_nonzero	REAL_RANK3_PLUS_RANK3_PROJECTORS_EXIST	POINTWISE_NOT_GLOBAL_SELECTION
G02_CAUSAL_SIGN_CHANGE	CONNECTED_CONTINUOUS_FIELD_PATH	g_inverse_dphi_dphi_changes_sign	NULL_OR_ZERO_DEGENERATION_IS_CROSSED	NO_SEMISIMPLE_SPLIT_AT_CROSSING
G03_COMPACT_STATIC_REAL_SCALAR	COMPACT_BOUNDARYLESS_SPATIAL_COMPLETION_WITH_STATIC_REAL_PHI	phi_nonconstant_or_constant	DPHI_ZERO_AT_AN_EXTREMUM_OR_EVERYWHERE	DOES_NOT_APPLY_TO_UNCONSTRAINED_TIME_LIVE_PHI
G04_RETAINED_BOUNDARY	FINITE_CELL_WITH_BOUNDARY	global_real_phi_submersion_with_nonnull_gradient	GLOBAL_SPLIT_IS_MATHEMATICALLY_POSSIBLE	BOUNDARY_DOES_NOT_FORCE_OR_SELECT_PROFILE
G05_TIME_LIVE_ESCAPE	R_TIME_CROSS_COMPACT_SPATIAL_COMPLETION	time_live_phi_has_everywhere_nonnull_gradient	STATIC_EXTREME_VALUE_OBSTRUCTION_DOES_NOT_APPLY	NO_CURRENT_FIELD_EQUATION_FORCES_THIS_BRANCH
G06_COHOMOGENEITY_ONE_CAP	SMOOTH_ROTATIONAL_CAP_WITH_PHI_ONLY_ORBIT_DEPTH	ordinary_smooth_invariant_real_scalar	NORMAL_DPHI_VANISHES_AT_CAP	GENERAL_MULTI_COORDINATE_OR_TIME_LIVE_FIELD_REMAINS_OPEN
G07_EVEN_MIRROR	SMOOTH_REFLECTION_FIXED_SEAM	phi_is_mirror_invariant_ordinary_scalar	NORMAL_DPHI_VANISHES_AT_FIXED_SEAM	TANGENTIAL_OR_TIME_COMPONENT_COULD_REMAIN
G08_ODD_DOUBLE	SMOOTH_DOUBLE_WITH_REFLECTION	phi_is_odd_and_has_nonzero_normal_derivative	CAN_SURVIVE_ON_DOUBLE_BUT_NOT_DESCEND_AS_ORDINARY_QUOTIENT_SCALAR	SIGN_TWISTED_FIELD_WOULD_BE_AN_EXTRA_BUNDLE_PREMISE
G09_NONORIENTABLE	NONORIENTABLE_REGULAR_COMPLETION	dphi_line_descends_and_is_nonnull	REAL_PROJECTORS_MAY_DESCEND_BUT_ORDINARY_GLOBAL_HODGE_EXCHANGE_DOES_NOT	ORIENTATION_TWISTED_HODGE_MUST_BE_DISTINGUISHED
G10_SINGULAR_STRATUM	TRUE_METRIC_OR_MANIFOLD_SINGULARITY	inverse_metric_or_smooth_bundle_undefined	RECIPROCAL_PROJECTOR_CONSTRUCTION_UNDEFINED_AT_STRATUM	REGULAR_COMPLEMENT_CAN_STILL_BE_CLASSIFIED
G11_SEAL_VALUE	PHI_EQUALS_ZERO_SEAL	phi_zero_only	RECIPROCAL_WEIGHTS_COINCIDE_BUT_DPHI_DOMAIN_IS_UNDECIDED	PHI_ZERO_DOES_NOT_IMPLY_DPHI_ZERO
G12_OTHER_DISTRIBUTIONS	REGISTERED_MOTIF_OR_ANHOLONOMIC_DISTRIBUTION_TRANSITION	transition_not_proven_to_be_dphi_projector_transition	NEITHER_SELECTS_NOR_OBSTRUCTS_NONNULL_DPHI_SPLIT	DISTRIBUTIONS_MUST_NOT_BE_CONFLATED
