route_id	route	required_test
R01	RECIPROCAL_C_REFERENCE_SOURCE	derive_L_and_K_rec_without_promoting_to_angular_equation
R02	OBSERVER_COVARIANCE_OF_DELTA_K	derive_conjugation_law_and distinguish_invariance_from_necessity
R03	OBSERVER_NATURALITY_COMMUTANT	classify_surviving_central_and_noncentral_source_families
R04	XMAX_GROUP_AND_REVERSAL	verify_additive_phi_fractional_composition_and_parity
R05	XMAX_ENDPOINT_STATUS	verify_open_limits_noncomposition_and_regular_seal distinction
R06	POSITION_FIELD_JOIN	audit whether_Xmax_action_reaches_absolute_metric_phi
R07	THREE_WAY_CURRENT_COMPOSITION	test_full_current_premises_without_added joins
R08	STRONGEST_CENTRAL_HOMOGENEOUS_COMPOSITION	reduce_K_eff_to_minus_lambda_squared_I_as_conditional control
R09	CONSTANT_LAMBDA_RICCATI_FLOW	derive_exact_matrix_solution_area_shape_and_regular denominators
R10	TWO_SEAL_CONSEQUENCE	test_what_second_A_rel_zero_condition actually fixes
R11	ANISOTROPIC_COMPLETE_METRIC_COUNTERFAMILY	retain_noncentral_Delta_K_without angular isotropy
R12	CSN_C_G_SCALE_TEST	test whether anchors fix relative dimensionless lambda
R13	FINITE_CELL_BOOTSTRAP_TEST	audit executable selector or boundary functional
R14	PRIOR_CONDITIONAL_THEOREM_HANDOFF	regrade_Delta_K_zero_and_two_seal premises after composition
