claim_id	layer	object	status	basis	dependency_or_limit	maximum_claim
T01	FOUNDATION	reciprocal exponential comparison pair	DERIVED_CONDITIONAL	composition regularity and dual Reciprocity give the determinant-one pair	founding realization is temporal/parallel; sign unit representative and slot remain premise-stamped	reciprocal structure survives without an angular assignment
T02	METRIC_SLOTS	two periodic transverse spatial directions	OPEN	C1 explicitly leaves transverse block off-diagonal terms and slot identification unspecified	no torus action or angular periodicity follows from the comparison pair	spatial torus is a working candidate only
T03	LOCAL_ORBIT	determinant-normalized positive diagonal two-block	GENERIC_RECIPROCAL_NORMAL_FORM	diag(F^2,G^2)/(FG)=diag(F/G,G/F)	generic algebra cannot identify physical slots or topology	exact exponential matching is compatibility rather than selection
T04	TORIC_TOPOLOGY	primitive collapse-cycle determinant	DERIVED_WITHIN_TORIC_CLASS	Z2 lattice quotient is controlled by p=abs(det(v_minus,v_plus))	requires a supplied effective T2 action and two endpoint collapses	p distinguishes same-cycle det-zero determinant-one and lens-space classes
T05	MIRROR	exchange-related primitive cycles	TOPOLOGY_UNDERDETERMINED	primitive mirror pairs explicitly realize p=0 p=1 p=3 and p=5	C1 phi parity does not itself require angular exchange; even supplied exchange does not force p=1	mirror symmetry alone does not select S3
T06	GLOBAL_DIAGONAL_CLASS	opposing eigen-circle caps in one global integral basis	S3_UNIQUE_CONDITIONAL_WITHIN_SUPPLIED_TORIC_CAP_PREMISES	exact diagonal reciprocal orbit block can collapse only its two coordinate eigen-circles and their determinant is one	spatial torus full range primitive smooth caps and fixed integral basis are separately unselected	S3 follows conditionally after the missing premises are supplied
T07	GENERAL_TORIC_CLASS	off-diagonal cap or gluing completions	ALLOWED_FAMILY	primitive determinant-p pairs give the general smooth lens p,q family while det-zero gives a same-cycle class	central reciprocal orbit witness need not remain globally diagonal through unselected cap/gluing regions	registered foundation does not exclude general toric countermodels
T08	FINITE_CELL	periodic no-cap reciprocal torus geometry	EXACT_DOUBLE_COVER_LOCAL_PARITY_WITNESS	periodic odd nonmonotone phi on S1 times T2 has positive determinant reciprocal orbit block and exchange mirror but no collapse	boundaryless global circle does not directly satisfy the full physical finite-cell reading; interval-times-T2 is the foundation-compatible open-boundary family	phi parity and exchange alone do not algebraically force caps or S3
T09	ROUNDNESS	round S3 completion	NOT_UNIQUE	an explicit smooth mirror-symmetric nonround radial family has the identical normalized reciprocal orbit block	both witnesses assume toric S3 cap premises; no action or curvature equation ranks them	round metric is one witness not a selector result
T10	CAP_REGULARITY	smooth primitive two-cap conditions	DERIVED_WITHIN_WITNESS	collapsing proper-radius slopes are unit and spectator slopes vanish for round and nonround witnesses	regularity constrains endpoint jets but leaves functional interior freedom	smoothness does not restore round uniqueness
T11	COMMON_SCALE	positive CSN on orbit interior	CONDITIONAL_CSN_INVARIANT	common angular scale cancels from normalized block and free-action metric-dual connection	CSN requires positive scale and cannot supply or cross collapse-cap completion data	interior orbit/connection statements survive CSN; caps remain boundary data
T12	CIRCLE_ACTION	free effective weighted U1 action on S3	WEIGHTS_UNIQUE_CONDITIONAL	for nonzero weight w the endpoint stabilizer is finite mu_abs(w), while w=0 gives full U1; freeness therefore requires abs(m)=abs(n)=1	requires the already supplied S3 toric completion and a UDT demand for a free smooth quotient	diagonal and anti-diagonal weights are the only free choices conditionally
T13	ORIENTATION	diagonal versus anti-diagonal action	DISCRETE_CHIRALITY_OPEN	four sign choices give registered charges mn=plus-or-minus-one	orientation conventions and UDT principles do not choose the sign	absolute unit class may be conditional while chirality remains open
T14	QUOTIENT	canonical Hopf S2 quotient	CONDITIONAL_UNIT_COMPATIBILITY_WITNESS	free abs-one actions give common-scale-independent connections and unit classes	UDT does not require a quotient or identify it with the carrier configuration space	canonical quotient seed is not carrier emergence
T15	FINITE_CELL_CANON	physical finite mirrored monotone domain plus static phi seal datum	BOUNDARY_SCOPE_TOO_WEAK	canon fixes a finite physical mirrored boundary/fold monotonic domain and no spatial infinity; its only toric-relevant field datum is static phi odd and zero at the seal with normal derivative free	it states no transverse slot torus lattice collapse cycle common scale circle action or boundary functional	finite-cell canon does not close the toric selector seam
T16	BOOTSTRAP	global on-shell closure/admissibility	NO_TOPOLOGY_RANKING_LAW	registered wording constrains complete realized matter-bearing solutions but supplies no off-shell map or topology comparison	no full equations volume boundary stability gates or action exist with which to rank closures	bootstrap cannot presently choose S3 or a quotient
T17	DYNAMICS	carrier action source and time-live topology law	OPEN	conditional toric geometry supplies connection and curvature data only	no reduction variation or boundary theorem derives Map(S3,S2) or L2+L4	no particle stability or mass conclusion follows
T18	OVERALL	angular-toric selection gates	TWO_STAGE_OPEN_GATE_CHAIN	S3 and free Hopf weights become unique only after spatial torus and cap premises are supplied	first missing gate is transverse spatial reciprocal realization and periodicity; conditional on passing it a separate finite-cell cap-completion gate remains	identify the two missing gates without inventing either as a new principle
