completion_id	topology_family	required_global_data	value_character_status	jet_status	connection_status	dphi_degeneracy_effect	angular_coupling	orientation_singularity	selection_ruling	data_level	scope_guard
FC01_BOUNDARY_BOUNDARY	I_X_ORBIT	FINITE_PHI_TO_EACH_BOUNDARY_AND_BOUNDARY_FIELD_DATA	LOCAL_TO_BOUNDARY_IF_PHI_FINITE__NO_GLUE_REQUIRED	BOUNDARY_JETS_FREE_NOT_SELECTED	FULL_METRIC_BOUNDARY_CONNECTION_DATA_OPEN	NONE_ON_VALUE_CHARACTER	NONE_DERIVED	ORIENTATION_OPTIONAL__REGULAR_BOUNDARY	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_DESCENT	PARAMETRIC_TYPE_NO_COMPLETE_G_PHI_WITNESS	NO_ON_SHELL_UNIVERSE_ACTION_CARRIER_OR_DENSITY_CLAIM
FC02_ONE_CAP_BOUNDARY	SOLID_TORUS_WITH_BOUNDARY	FINITE_SMOOTH_PHI_CAP_EXTENSION_AND_PRIMITIVE_ANGULAR_CAP_JETS	CONDITIONAL_CAP_EXTENSION	CAP_JETS_UNSUPPLIED	CAP_CONNECTION_EXTENSION_UNSUPPLIED	CRITICAL_DPHI_ALLOWED_FOR_VALUE_CHARACTER	CAP_DATA_INDEPENDENT_UNLESS_SOLDERING_SUPPLIED	REGULAR_ONLY_IF_PRIMITIVE_CAP_JETS_HOLD	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_DESCENT	PARAMETRIC_TYPE_NO_COMPLETE_G_PHI_WITNESS	NO_ON_SHELL_UNIVERSE_ACTION_CARRIER_OR_DENSITY_CLAIM
FC03_TWO_CAP_P0	S2_X_S1_STANDARD_OR_GENERAL_P0	TWO_CAP_PHI_EXTENSIONS_AND_DETERMINANT_ZERO_PRIMITIVE_CYCLES	CONDITIONAL_TWO_CAP_EXTENSION	BOTH_CAP_JETS_UNSUPPLIED	GLOBAL_CONNECTION_GLUE_UNSUPPLIED	STATIC_CRITICAL_POINT_DOES_NOT_BREAK_VALUE_CHARACTER	P0_CYCLE_DATA_NOT_FORCED_BY_RECIPROCAL_DESCENT	REGULAR_CAP_CLASS_IF_JETS_HOLD	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_DESCENT	PARAMETRIC_TYPE_NO_COMPLETE_G_PHI_WITNESS	NO_ON_SHELL_UNIVERSE_ACTION_CARRIER_OR_DENSITY_CLAIM
FC04_TWO_CAP_P1	S3	TWO_CAP_PHI_EXTENSIONS_AND_UNIMODULAR_PRIMITIVE_CYCLES	CONDITIONAL_TWO_CAP_EXTENSION	BOTH_CAP_JETS_UNSUPPLIED	GLOBAL_CONNECTION_GLUE_UNSUPPLIED	STATIC_CRITICAL_POINT_DOES_NOT_BREAK_VALUE_CHARACTER	HOPF_COMPATIBILITY_REMAINS_CONDITIONAL_NOT_SELECTED	REGULAR_S3_CLASS_IF_SUPPLIED_CAP_JETS_HOLD	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_DESCENT	PARAMETRIC_TYPE_NO_COMPLETE_G_PHI_WITNESS	NO_ON_SHELL_UNIVERSE_ACTION_CARRIER_OR_DENSITY_CLAIM
FC05_TWO_CAP_P_GT1	LENS_L_P_Q	TWO_CAP_PHI_EXTENSIONS_AND_GENERAL_PRIMITIVE_LENS_CYCLES	CONDITIONAL_TWO_CAP_EXTENSION	BOTH_CAP_JETS_UNSUPPLIED	GLOBAL_CONNECTION_GLUE_UNSUPPLIED	STATIC_CRITICAL_POINT_DOES_NOT_BREAK_VALUE_CHARACTER	LENS_CLASS_NOT_FORCED_BY_RECIPROCAL_DESCENT	REGULAR_LENS_CLASS_IF_SUPPLIED_CAP_JETS_HOLD	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_DESCENT	PARAMETRIC_TYPE_NO_COMPLETE_G_PHI_WITNESS	NO_ON_SHELL_UNIVERSE_ACTION_CARRIER_OR_DENSITY_CLAIM
FC06_NONPRIMITIVE_CAP	SINGULAR_TORIC_COMPLETION	SINGULAR_OR_ORBIFOLD_EXTENSION_DATA	DEFINED_ON_REGULAR_COMPLEMENT_IF_PHI_FINITE	NO_SMOOTH_THROUGH_SINGULARITY_CLAIM	UNDEFINED_AT_TRUE_METRIC_OR_MANIFOLD_SINGULARITY	SEPARATE_FROM_MANIFOLD_SINGULARITY	NONE_DERIVED	SINGULAR_OR_ORBIFOLD_ROW_RETAINED	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_DESCENT	PARAMETRIC_TYPE_NO_COMPLETE_G_PHI_WITNESS	NO_ON_SHELL_UNIVERSE_ACTION_CARRIER_OR_DENSITY_CLAIM
FC07_PERIODIC_TORUS_BUNDLE	TORUS_BUNDLE_OVER_S1	RECIPROCAL_NORMALIZER_MONODROMY_PHI_GRADING_EQUIVARIANCE_AND_GL2Z_ANGULAR_MONODROMY	CONDITIONAL_Z2_GRADED_PERIODIC_DESCENT	ENDPOINT_JETS_MUST_MATCH_MONODROMY	CONNECTION_MONODROMY_AND_DERIVATIVE_TERM_UNSUPPLIED	CRITICAL_DPHI_ALLOWED_FOR_VALUE_CHARACTER	RECIPROCAL_AND_GL2Z_COCYCLES_INDEPENDENT_WITHOUT_SOLDERING	ORIENTATION_DEPENDS_ON_MONODROMY	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_DESCENT	PARAMETRIC_TYPE_NO_COMPLETE_G_PHI_WITNESS	NO_ON_SHELL_UNIVERSE_ACTION_CARRIER_OR_DENSITY_CLAIM
FC08_MIRROR_DOUBLE	DOUBLE_OR_REFLECTION_QUOTIENT	STATIC_ODD_PHI_AND_CONSTANT_RECIPROCAL_INVERTING_TRANSITION_FOR_RECIPROCAL_BLOCK	EXACT_STATIC_Z2_GRADED_SEAM_DESCENT	VALUE_FIRST_AND_SECOND_PULLBACK_JETS_MATCH_FOR_PREREGISTERED_ODD_CONTROLS	CONSTANT_TRANSITION_ADDS_NO_DERIVATIVE_TERM__LOCAL_AND_FULL_METRIC_CONNECTIONS_STILL_UNSUPPLIED	NONE__CUBIC_CRITICAL_CONTROL_PASSES	ANGULAR_LIFT_REMAINS_ARBITRARY_AND_UNSELECTED	FULL_LIFT_ORIENTATION_CLASS_UNSELECTED	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_DESCENT	PARAMETRIC_TYPE_NO_COMPLETE_G_PHI_WITNESS	NO_ON_SHELL_UNIVERSE_ACTION_CARRIER_OR_DENSITY_CLAIM
FC09_NONORIENTABLE_GLUE	NONORIENTABLE_ORIENTATION_TWISTED	Z2_GRADED_RECIPROCAL_BUNDLE_PHI_EQUIVARIANCE_AND_ORIENTATION_REVERSING_GLUE	CONDITIONAL_TWISTED_DESCENT_WITHOUT_ORIENTATION	TRANSITION_JETS_UNSUPPLIED	TWISTED_CONNECTION_GLUE_UNSUPPLIED	NONE_ON_VALUE_CHARACTER	NO_ORDINARY_GLOBAL_HODGE_JOIN_WITHOUT_ORIENTATION_LINE	VALUE_CHARACTER_ORIENTATION_INDEPENDENT	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_DESCENT	PARAMETRIC_TYPE_NO_COMPLETE_G_PHI_WITNESS	NO_ON_SHELL_UNIVERSE_ACTION_CARRIER_OR_DENSITY_CLAIM
FC10_STRATIFIED_PROJECTOR	STRATIFIED_DISTRIBUTION	FINITE_PHI_AND_REGULAR_METRIC_ON_EACH_STRATUM_WITH_TRANSITION_DATA	SURVIVES_DPHI_PROJECTOR_RANK_DEGENERATION	STRATUM_TRANSITION_JETS_UNSUPPLIED	FULL_CONNECTION_ACROSS_RANK_TRANSITION_OPEN	DERIVATIVE_3PLUS3_FAILS_BUT_D_REMAINS_DEFINED	OTHER_PROJECTOR_TRANSITIONS_DO_NOT_SELECT_ANGULAR_LIFT	REGULAR_METRIC_STRATA_ONLY	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_DESCENT	PARAMETRIC_TYPE_NO_COMPLETE_G_PHI_WITNESS	NO_ON_SHELL_UNIVERSE_ACTION_CARRIER_OR_DENSITY_CLAIM
