source_id	family	year	authors	title	stable_url	source_type	result_paraphrase	indispensable_hypotheses	udt_join	match_grade	allowed_role	firewall_prohibition	new_udt_premise_needed	metric_native_returned_question
S001	F01_NATURAL_OPERATORS	1959	Jaak Peetre	Une caracterisation abstraite des operateurs differentiels	https://doi.org/10.7146/math.scand.a-10574	PRIMARY_JOURNAL_ARTICLE	A linear local sheaf operator is locally a finite-order differential operator.	Linearity; locality/support condition; smooth sections.	J03	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Cannot declare an unspecified UDT selector local, regular, or linear.	YES__VERIFY_LOCALITY_AND_REGULARITY	Can every regular local metric-only UDT selector be reduced to a finite-jet search?
S002	F01_NATURAL_OPERATORS	1988	Jan Slovak	Peetre theorem for nonlinear operators	https://www.math.muni.cz/~slovak/Papers/nonlinear_Peetre.pdf	AUTHOR_ARCHIVE_PRIMARY_ARTICLE	A broad class of nonlinear local operators has locally finite differential order.	Locality plus the paper's regularity hypotheses on nonlinear operators between section spaces.	J03	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Cannot infer that bootstrap, a global seal, or a quotient selector is local.	YES__VERIFY_SLOVAK_REGULARITY	Does a proposed local selector satisfy the exact regularity needed for finite-order closure?
S003	F01_NATURAL_OPERATORS	1992	Jan Slovak	On invariant operations on a manifold with connection or metric	https://doi.org/10.4310/jdg/1214453183	PRIMARY_JOURNAL_ARTICLE	Local natural operations can be reduced to invariant-theory data; for exterior forms with connection the generators are tightly constrained.	Naturality under the stated morphisms; locality; regularity; specified input and output bundles.	J03	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	The classification cannot supply a UDT-preferred output bundle, weight, or physical interpretation.	YES__TYPE_INPUT_OUTPUT_BUNDLES	Which scalar, one-form, two-form, projector, or density output is actually capable of closing a registered join?
S004	F01_NATURAL_OPERATORS	1971	David Lovelock	The Einstein Tensor and Its Generalizations	https://doi.org/10.1063/1.1665613	PRIMARY_JOURNAL_ARTICLE	In four dimensions the metric and Einstein tensor exhaust the stated class of symmetric divergence-free second-order metric concomitants.	Four dimensions; symmetric rank-two output; divergence freedom; metric concomitant; derivative-order and regularity assumptions.	J12	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Cannot import the Einstein tensor or its field equation as UDT; uniqueness is conditional on Lovelock's class.	YES__JUSTIFY_OUTPUT_CLASS	Does UDT independently require exactly this tensor type, divergence identity, and derivative ceiling?
S005	F02_HOLONOMY	1952	Georges de Rham	Sur la reductibilite d'un espace de Riemann	https://eudml.org/doc/139052	PRIMARY_JOURNAL_ARTICLE	A suitable holonomy-invariant nondegenerate tangent splitting yields a local or global Riemannian product under the theorem's hypotheses.	Riemannian signature in the original theorem; completeness and simple connectivity for global form; nondegenerate invariant subspaces.	J02	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Cannot apply the positive-definite theorem unchanged to a Lorentzian finite cell or infer a selected product.	YES__VERIFY_PSEUDORIEMANNIAN_VARIANT	Do any full-orchestra branches possess a nondegenerate parallel splitting rather than a sampled projector motif?
S006	F02_HOLONOMY	1953	Warren Ambrose; Isadore Singer	A Theorem on Holonomy	https://doi.org/10.1090/S0002-9947-1953-0063739-1	PRIMARY_JOURNAL_ARTICLE	Parallel-translated curvature elements generate the holonomy algebra of a connection.	A specified smooth connection and its reachable parallel transports.	J02	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Cannot call open-path projector transport holonomy or replace the UDT Levi-Civita connection with another connection.	NO	What algebra is generated by the full UDT curvature transported across each complete finite-cell branch?
S007	F02_HOLONOMY	1955	Marcel Berger	Sur les groupes d'holonomie homogenes de varietes a connexion affine et des varietes riemanniennes	https://doi.org/10.24033/bsmf.1464	PRIMARY_JOURNAL_ARTICLE	Irreducible nonsymmetric Riemannian holonomy is strongly restricted by curvature and representation conditions.	Torsion-free connection; irreducibility; non-local-symmetry; signature and other classification hypotheses.	J02	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Cannot use Berger's list to select a UDT branch before its signature, reducibility, and symmetry class are established.	YES__CLASSIFY_EACH_BRANCH	Which retained UDT branches are reducible, locally symmetric, or outside Berger's original class?
S008	F02_HOLONOMY	1956	Hideki Ozeki	Infinitesimal Holonomy Groups of Bundle Connections	https://doi.org/10.1017/S002776300000012X	PRIMARY_JOURNAL_ARTICLE	Infinitesimal holonomy can be described through curvature and its covariant derivatives under analytic or regularity conditions.	Specified bundle connection; differentiability or analyticity assumptions appropriate to the theorem used.	J02	DIRECT_MATHEMATICAL_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	A pointwise curvature eigenplane is not by itself an invariant holonomy subspace.	YES__VERIFY_JET_ORDER_AND_REGULARITY	Does the algebra generated by curvature and successive covariant derivatives preserve any proper UDT subspace?
S009	F02_HOLONOMY	1999	Sergei Merkulov; Lorenz Schwachhofer	Classification of irreducible holonomies of torsion-free affine connections	https://annals.math.princeton.edu/1999/150-1/p03	PRIMARY_JOURNAL_ARTICLE	Irreducible holonomies of torsion-free affine connections are classified, including exotic cases.	Torsion-free affine connection; irreducible action; classification up to the paper's equivalences.	J02	PARTIAL_HYPOTHESIS_MATCH	APPLICABLE_THEOREM_IF_HYPOTHESES_PASS	Cannot infer that any classified holonomy is physically selected or that UDT is irreducible.	YES__ESTABLISH_CONNECTION_CLASS	After computing UDT holonomy, does it fall into a known class or expose a branch-specific reduction?
S010	F03_CONFORMAL_PROJECTIVE_SCALE	1960	Hidehiko Yamabe	On a deformation of Riemannian structures on compact manifolds	https://doi.org/10.18910/8577	PRIMARY_JOURNAL_ARTICLE	The conformal constant-scalar-curvature problem was posed variationally; the original proof required later repair.	Compact Riemannian manifold; conformal class; elliptic variational setting.	J12	ANALOGY_ONLY	QUESTION_GENERATOR	Cannot use the Yamabe functional or constant scalar curvature as a UDT scale selector.	YES__DERIVE_FUNCTIONAL	Does UDT provide its own conformally covariant scalar and extremization rule?
