claim	status	scope	remaining_open
founded_phi_identity_and_pair_action	DERIVED	active_reciprocal_two_channel_foundation	physical_profile_and_complete_extension
registered_complete_extension_class	DERIVED_CLASSIFICATION	seven_parameter_positive_triangular_pointwise_class	nonlinear_global_bundle_and_dynamics
metric_natural_candidate_census	VERIFIED_WITH_CAVEATS	12_frozen_families_16_gates_192_cells	future_unregistered_constructions
local_directional_selectors	PARTIAL_OR_CONDITIONAL	Killing_dphi_Ricci_Weyl_Riemann_projector_families	complete_section_degeneracy_and_global_descent
angular_and_systole_selectors	SET_VALUED_OR_CONDITIONAL	supplied_split_and_toric_lattice	physical_split_sign_phase_and_tie_rule
holonomy_pointwise_extension_constraints	AVAILABLE_CONDITIONAL	plus_one_SO3_and_minus_one_SO12_unique_pointwise_full_chart_members;zero_unique_only_diagonal_subfamily	global_bundle_and_descent;active_reduction;twisted_swap_is_non_Lorentz_and_leaves_two_full_class_mixing_freedoms
finite_cell_completion_selector	OPEN_CONSTRAINS_ONLY	registered_completion_type_space	physical_completion_and_bulk_lift
active_native_complete_extension_section	OPEN_NONE_SELECTED	frozen_candidate_universe	possible_bundle_variation_domain_or_new_derived_authority
physical_observer_event_path_variation_domain	OPEN_SEPARATE_GATE	not_supplied	founding_relational_semantics_and_allowed_variations
global_equivariant_extension_bundle	OPEN_DERIVE_OR_FAIL_SEQUENCE	motivated_by_bounded_zero_selection_and_path_groupoid	bundle_existence_then_transition_law_then_sections_then_variation_domain
complete_native_action_source_boundary_mass	OPEN	excluded	complete_physics
CMB_polarization_discriminator_contract	CONDITIONAL_FUTURE_GUIDEPOST	unchanged_by_this_audit	native_carrier_source_and_statistical_chain
