path	role	status	allowed_use	forbidden_promotion
LIVE.md	current frontier	CONTROL	scope and next gate	mathematical premise
HANDOFF.md	current handoff	CONTROL	scope and next gate	mathematical premise
CURRENT_SCIENTIFIC_PREMISES.tsv	current premise registry	CONTROL	premise meanings and open gates	derive a missing rule
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	cold founding audit contract	CONTROLLED_EVIDENCE	required adversarial distinctions	adopt an outcome
udt_founding_reciprocity_object_audit_2026-07-27/AUDIT_REPORT.md	founding object verdict	VERIFIED_WITH_CAVEATS_BOUNDED	object hierarchy and open joins	universal ownership
udt_founding_reciprocity_object_audit_2026-07-27/EXACT_DERIVATION.md	founding object algebra	VERIFIED_WITH_CAVEATS_BOUNDED	load-bearing comparison and covariance statements	physical pair map
udt_founding_reciprocity_object_audit_2026-07-27/SOURCE_PROPOSITIONS.tsv	line-addressed propositions	VERIFIED_WITH_CAVEATS_BOUNDED	proposition lineage	new proposition
udt_founding_reciprocity_object_audit_2026-07-27/OBJECT_CLASSIFICATION.tsv	object status census	VERIFIED_WITH_CAVEATS_BOUNDED	conditionality controls	selected object
udt_founding_reciprocity_object_audit_2026-07-27/DOWNSTREAM_REGRADE.tsv	regression controls	VERIFIED_WITH_CAVEATS_BOUNDED	prevent reopened failures	new physics
udt_founding_observer_comparison_semantics_audit_2026-07-27/AUDIT_REPORT.md	semantic fork verdict	VERIFIED_WITH_CAVEATS_BOUNDED	endpoint/path authority split	physical semantics selection
udt_founding_observer_comparison_semantics_audit_2026-07-27/EXACT_ADJUDICATION.md	semantic implication proof	VERIFIED_WITH_CAVEATS_BOUNDED	load-bearing supplied-depth distinction	ownership rule
udt_founding_observer_comparison_semantics_audit_2026-07-27/SOURCE_CLAIM_OUTCOMES.tsv	claim census	VERIFIED_WITH_CAVEATS_BOUNDED	source-force audit	unregistered implication
udt_founding_observer_comparison_semantics_audit_2026-07-27/IMPLICATION_MATRIX.tsv	semantic implication matrix	VERIFIED_WITH_CAVEATS_BOUNDED	endpoint/path nonentailment	new necessity
udt_founding_observer_comparison_semantics_audit_2026-07-27/SEMANTIC_ROUTE_OUTCOMES.tsv	semantic route census	VERIFIED_WITH_CAVEATS_BOUNDED	retain all realization types	preferred route
udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	pair operator verdict	VERIFIED_WITH_CAVEATS	operator/readout distinction	mutual clock law
udt_observer_pair_clock_operator_audit_2026-07-24/EXACT_DERIVATION.md	pair operator algebra	VERIFIED_WITH_CAVEATS	load-bearing type controls	physical event pairing
udt_observer_pair_clock_operator_audit_2026-07-24/OPERATOR_STATUS_LEDGER.tsv	operator status census	VERIFIED_WITH_CAVEATS	conditionality stamps	global operator
udt_observer_pair_clock_operator_audit_2026-07-24/CLOCK_READOUT_LEDGER.tsv	clock readout types	VERIFIED_WITH_CAVEATS	separate magnitude signed and symmetric readouts	select a readout
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/AUDIT_REPORT.md	typed path groupoid verdict	VERIFIED_WITH_CAVEATS_BOUNDED	conditional path assembly	path ontology
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/EXACT_DERIVATION.md	path groupoid algebra	VERIFIED_WITH_CAVEATS_BOUNDED	composition and signed-depth type theorems	native depth assignment
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/OBJECT_TYPE_LEDGER.tsv	path object types	VERIFIED_WITH_CAVEATS_BOUNDED	domain/codomain controls	selected lambda or path
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/ROUTE_OUTCOMES.tsv	path route census	VERIFIED_WITH_CAVEATS_BOUNDED	retain open alternatives	preferred route
udt_observer_pair_triangle_consistency_audit_2026-07-26/AUDIT_REPORT.md	triangle verdict	VERIFIED_WITH_CAVEATS	endpoint section conditionality	lambda selection
udt_observer_pair_triangle_consistency_audit_2026-07-26/EXACT_DERIVATION.md	triangle algebra	VERIFIED_WITH_CAVEATS	section and transition controls	flat physical comparison
udt_native_law_home_codomain_ownership_audit_2026-08-04/FOUNDATIONAL_ENTAILMENT_MATRIX.tsv	current ownership typing	VERIFIED_BOUNDED	law-home and query typing	complete law
udt_factorized_whole_spacetime_skeleton_2026-08-04/WHOLE_SPACETIME_SKELETON.md	current configuration skeleton	VERIFIED_BOUNDED_ARCHITECTURE	factorization and stationary reduction	selected arena law
udt_global_phi_ownership_overlap_audit_2026-08-05/AUDIT_REPORT.md	parent global nonselection verdict	VERIFIED_WITH_CAVEATS_BOUNDED	global factorization status	impossibility theorem
udt_global_phi_ownership_overlap_audit_2026-08-05/EXACT_DERIVATION.md	parent overlap algebra	VERIFIED_WITH_CAVEATS_BOUNDED	load-bearing redefinition and orbit identities	physical gauge postulate
udt_global_phi_ownership_overlap_audit_2026-08-05/ROUTE_CLASSIFICATION.tsv	parent route census	VERIFIED_WITH_CAVEATS_BOUNDED	conditional reductions	new selector
udt_global_phi_ownership_overlap_audit_2026-08-05/STATUS_LEDGER.tsv	parent status ledger	VERIFIED_WITH_CAVEATS_BOUNDED	claim boundary	promotion
udt_canonical_geometry.md	historical pre-native compilation	HISTORY_ONLY_FIREWALLED	identify earlier assumptions failures or terminology	affirmative UDT ownership physics
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	direct founding preregistration	PROPOSED_FOUNDATIONAL_MAP	declared premises gates and source semantics	verified outcome by itself
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	direct founding derivation	LATER_VERIFIED_BOUNDED_WITH_STAMPS	direct algebra and explicit open profile	unique physical depth map
verify_udt_reciprocal_c_postulate.py	direct symbolic regression	REGRESSION_EVIDENCE	exact founding algebra checks	independent physical verification
verify_udt_reciprocal_c_postulate_out.txt	direct saved output	REGRESSION_EVIDENCE	29-of-29 historical replay record	current ownership verdict
