original_path	current_path	path_status	fixed_base_blob_oid	fixed_base_sha256
.gitattributes	.gitattributes	ROOT_RETAINED	2e810a2a1d6d67f31a8d79d534eac3d61d11969b	a4cdcf6629b5ad552561347e50db2447fa2cfef6f470ec63870e610d7733a2a0
.gitignore	.gitignore	ROOT_RETAINED	708a9e306702ffe3e5772c1e36b8453299460df2	712d784b9b436ed33876c127d8fbef9a2a772285edcf6ad05743d7efe3833dde
AGENTS.md	AGENTS.md	ROOT_RETAINED	41e463ca460ba50e3649d0ad8c30cd54dfa799cf	bf95a1ddfdfd3beb22d2bdc8387ee9604c99d0303335f2adf9525b7c647ff86a
AUDIT.md	AUDIT.md	ROOT_RETAINED	6246eafd70861645fce959b4e7fb9c66bae3f07e	0e36df7cbd2e2198fa1a9785f6c8d9b5054fc42b24a1dfb1a44244ca331942ec
A_pre_reconciliation_floored_glm.pt	A_pre_reconciliation_floored_glm.pt	ROOT_RETAINED	33ea887ebb485b7f4eee12163ee15ff37269ab43	91724059d2831328d133ddaedbf10fc2b87667ec0cebd07b892ca97823f92dbe
B_floored_glm.pt	B_floored_glm.pt	ROOT_RETAINED	e9c994c4cb72f96872d18171832f553b8d936ffe	41f569abad96a70bfbc51a76b706b03073a3a0ecb6879ce14e1897ce5e770a4b
CANON.md	CANON.md	ROOT_RETAINED	a67e518b623c8715679b26d5736c7409e3ffcae3	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314
CLAUDE.md	CLAUDE.md	ROOT_RETAINED	eae6e334fcf36c977ab571201ca9e2ed3a8d5020	25838399458a34573fb4bc9dd4a211de8142eabb682ba382822aad57ba019b45
CODEX_STARTUP_REHEARSAL_2026-07-17.md	CODEX_STARTUP_REHEARSAL_2026-07-17.md	ROOT_RETAINED	404039f1ae739de3ce2f35cca06a43d18af6044d	2b4af69fea9cdd6324309f258f6c109d227897e090b66cc9493fb686ea6848bd
COGNITIVE_CORRAL_TRIGGERS_SETUP.md	COGNITIVE_CORRAL_TRIGGERS_SETUP.md	ROOT_RETAINED	9989eaea43c64a5b900102e4c3a5dc5fe3bda8a3	0d5a008470726a54745f5e35f94e27ef0d40554a9569b89d2e99a9c4e45f9fda
CROSS_MODEL_VERIFY.md	CROSS_MODEL_VERIFY.md	ROOT_RETAINED	95b60c08e0d55dcf2c3104fb9f14a130752cbff3	417bb036579bf4a333dab6a3da4c8cae73d61bf49ae8fe0f74b46df86d05e6fa
D1_FIX_DESIGN.md	D1_FIX_DESIGN.md	ROOT_RETAINED	15004b41cbc2d51fde874d6234d57702d0f9e709	57a4d86c84f5a042a9ff1ed739440e2648aafae6b5f962377e9c57481d78d964
E2b_A1Z1_P2_C1_plateau.pt	E2b_A1Z1_P2_C1_plateau.pt	ROOT_RETAINED	5276211a68bc650fccc2b69f8587635b14f4142c	bb16a5bd47ff35e99f8bdb6e974c45a18cf4bc8d97a286f0644951ee480ad7dc
E2b_A1Z1_P2_C1_wall.pt	E2b_A1Z1_P2_C1_wall.pt	ROOT_RETAINED	53fb02b7ed6ee2fcebcae2a833d672c80784e29b	851c9a82fe106dc28d135b63820332ad723b6f5f5717b5780452f34a5f2a3d13
E2b_A1Z1_P2_C2_plateau.pt	E2b_A1Z1_P2_C2_plateau.pt	ROOT_RETAINED	ed494117bc3336ab89ed3236d031e6837929430c	70458f4923168a5062e515ea5309ec98e10bbf1eb75d85b58380f4bad9b4a9fb
E2b_A1Z1_P2_C2_wall.pt	E2b_A1Z1_P2_C2_wall.pt	ROOT_RETAINED	4ea2e9f453ce16fdd0a5bf37bd260d8668878aae	480a6d77eab88928476257cd4098231866fe76a5c26b10ed23d30dff5a152335
E2b_A1Z1_P2_W1_plateau.pt	E2b_A1Z1_P2_W1_plateau.pt	ROOT_RETAINED	0973821a5d9ae175683ec714f5b7a2dcf15c175f	955f4999147641042b20b377ecaa3a8ead5e6f8be43d58bebb76901ddddf79d8
E2b_A1Z1_P2_W1_wall.pt	E2b_A1Z1_P2_W1_wall.pt	ROOT_RETAINED	8a73606b6490acfc6a8c0f6005f477d26c0ddde0	5da63751643f3ca4a2b6b3604f22534cbb5baf93be33baa3988b8baef44f995d
E2b_A1Z1_P2_W2_plateau.pt	E2b_A1Z1_P2_W2_plateau.pt	ROOT_RETAINED	10203194f1bf9af58d8bdcb9ee22b80a7b8ad8a6	a4b3abbe23ea1ef39a996b323493ec45c4cb508e03226889cce51bffbde3c9be
E2b_A1Z1_P2_W2_wall.pt	E2b_A1Z1_P2_W2_wall.pt	ROOT_RETAINED	fb480bf394d27144f9e9a15597ff570c301dc317	08efbd42f2046c08f91cf31df921378d8f0391e81ccde7ca9f76d837f8f7d753
E2b_A1Z1_P2_W3_plateau.pt	E2b_A1Z1_P2_W3_plateau.pt	ROOT_RETAINED	1e69899d79b37eb800d1a5b5e3f9babd91eca68f	63168e5e4c46b2627513a0aa7732d9a27155a11d4887a1767dfbf2fd600c9d58
E2b_A1Z1_P2_W3_wall.pt	E2b_A1Z1_P2_W3_wall.pt	ROOT_RETAINED	1ac1a0e4a96ef31894e9a7fcea3fefd6721d9509	a84694e457e672d8600f7de2d381452ef98d18cb70a4ece06ba5ccc6cdbb7b1e
E2b_A1Z1_P2_W4_plateau.pt	E2b_A1Z1_P2_W4_plateau.pt	ROOT_RETAINED	f6c614170bad86e621e2d9ed08a26bf1968139f0	7ab7bad73a73fa6d6e5c3af43eb0af6a0de10d5cb1a5ec9780b9c8570ed1f555
E2b_A1Z1_P2_W4_wall.pt	E2b_A1Z1_P2_W4_wall.pt	ROOT_RETAINED	d75fd0ae2bb353bf3476164f11a397e5665b82f9	44b94b434600bdcdd04b39446dc2d9c8bf7b82b1703bceef90baa6476c2d7e5b
