path	sha256	git_blob	first_commit	first_date	last_commit	last_date	family	operator_provenance	physical_choices	current_disposition	current_background_solve_authorized	contains_einstein_token	contains_carrier_or_l2l4_token	contains_chosen_or_proxy_token	contains_boundary_pin_token
legacy/root_oneoffs_2026-07-01/coupled_tl_timelive.py	d4e768837eebfe66fd8828a783241709c58d8b1b7e1eac77b8dd9bf751ea411d	95a20e2d7bc5316c831427db2bc8939afeec983e	56f3532da17bbebdba4642f4a78d4fff67844b39	2026-06-19T15:38:53-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	F01_GR_S2_COUPLED	IMPORTED_GR_EINSTEIN_EOM_PLUS_POSIT_S2_L2L4_ACTION	harmonic_balance;S2_carrier;L2+L4;Einstein_closure;reduced_or_frozen_background	HISTORICAL_BLOCKED_CURRENT_NATIVE_BACKGROUND_SOLVE	NO	TRUE	TRUE	TRUE	TRUE
legacy/root_oneoffs_2026-07-01/dyn1_evolve.py	2bc408dae9cebc362196624dbb71aa8daf4eb2e65de13c06a8b4bead9d5e1ae6	120d60f0e1a1edb4032f43d72ce76e9b2fc7aa44	c9e59a4ba0aa16679c1e2b8174320e8cbaddc57f	2026-06-14T10:07:03-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	F02_LEGACY_SCALAR_SOURCE	LEGACY_INDEPENDENT_SCALAR_PROFILE_EQUATION_WITH_CHOSEN_SOURCE_POTENTIAL	independent_phi_or_v;two_exponential_source;radial_or_spherical_slice;Neumann_BC	HISTORICAL_BLOCKED_CURRENT_NATIVE_BACKGROUND_SOLVE	NO	FALSE	FALSE	FALSE	TRUE
legacy/root_oneoffs_2026-07-01/dyn1_evolve2.py	67c27e20094d01a818a292f6cb7bd9f01a2d0a33bc10c224da1af81ce9f364dc	3aa6abec6ee0f01d14f91d51170bfaa2816bbb6d	c9e59a4ba0aa16679c1e2b8174320e8cbaddc57f	2026-06-14T10:07:03-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	F02_LEGACY_SCALAR_SOURCE	LEGACY_INDEPENDENT_SCALAR_PROFILE_EQUATION_WITH_CHOSEN_SOURCE_POTENTIAL	independent_phi_or_v;two_exponential_source;radial_or_spherical_slice;Neumann_BC	HISTORICAL_BLOCKED_CURRENT_NATIVE_BACKGROUND_SOLVE	NO	FALSE	FALSE	FALSE	TRUE
legacy/root_oneoffs_2026-07-01/dyn1_evolve3.py	f0df9868b601ac88713250e3d1e0e2da2cf85a4649b9c35a1d2153c0156757a9	6b27ca962fd357abd9dc3f5d93607ad78d76d97a	c9e59a4ba0aa16679c1e2b8174320e8cbaddc57f	2026-06-14T10:07:03-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	F02_LEGACY_SCALAR_SOURCE	LEGACY_INDEPENDENT_SCALAR_PROFILE_EQUATION_WITH_CHOSEN_SOURCE_POTENTIAL	independent_phi_or_v;two_exponential_source;radial_or_spherical_slice;Neumann_BC	HISTORICAL_BLOCKED_CURRENT_NATIVE_BACKGROUND_SOLVE	NO	FALSE	FALSE	FALSE	TRUE
legacy/root_oneoffs_2026-07-01/dyn1_evolve_implicit.py	a4dcdbeff687fdb8847ab5796993d5f023604efc18bbfb5e033ad49fabcaebee	a1a02ecab084c595ee1a0c2031310a6088ed0e4e	c9e59a4ba0aa16679c1e2b8174320e8cbaddc57f	2026-06-14T10:07:03-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	F02_LEGACY_SCALAR_SOURCE	LEGACY_INDEPENDENT_SCALAR_PROFILE_EQUATION_WITH_CHOSEN_SOURCE_POTENTIAL	independent_phi_or_v;two_exponential_source;radial_or_spherical_slice;Neumann_BC	HISTORICAL_BLOCKED_CURRENT_NATIVE_BACKGROUND_SOLVE	NO	FALSE	FALSE	FALSE	TRUE
legacy/root_oneoffs_2026-07-01/native_matter_timelive_probe.py	15352bc1da91e00619d595f6395d5dbad428a9689e3f4a3e9756d92b9e2e6317	f454e7bcf005034987297fe6a75a99f66d2362a2	8dadd8ce7ec6151ad6c9761c953e26421771727e	2026-06-19T00:23:58-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	F03_S2_STRESS_PROBE	POSIT_S2_L2L4_STRESS_KINEMATICS	S2_hedgehog;L2+L4;diagonal_spherical_metric	RETAINED_CONDITIONAL_CARRIER_STRESS_CHECK_NOT_NATIVE_BACKGROUND	NO	FALSE	TRUE	FALSE	FALSE
legacy/root_oneoffs_2026-07-01/ns_scan_evolve.py	976f7cffafb9f1003fe79eabd10fdbb96013ca9b685c2efe59b2f72e23aa2ac5	cfe070a74968692bbf3e5e8ec6c507e4f2865d6a	7d6ea0af01dbe293e036ab8e0fd7395ab9c7056e	2026-06-13T17:42:15-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	F02_LEGACY_SCALAR_SOURCE	LEGACY_INDEPENDENT_SCALAR_PROFILE_EQUATION_WITH_CHOSEN_SOURCE_POTENTIAL	independent_phi_or_v;two_exponential_source;radial_or_spherical_slice;Neumann_BC	HISTORICAL_BLOCKED_CURRENT_NATIVE_BACKGROUND_SOLVE	NO	FALSE	TRUE	TRUE	TRUE
legacy/root_oneoffs_2026-07-01/p4_time_live.py	2f34c44921a31d5315f960b7cde8f55b9043b677e98e48ae4d5fa46c1747a8e8	507b681aa58ed0667c140c9d8b0638be8f3917b5	26d22eeb60e8ac6fee89c603fdee19421d93160c	2026-06-20T09:33:08-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	F01_GR_S2_COUPLED	IMPORTED_GR_EINSTEIN_EOM_PLUS_POSIT_S2_L2L4_ACTION	harmonic_balance;S2_carrier;L2+L4;Einstein_closure;reduced_or_frozen_background	HISTORICAL_BLOCKED_CURRENT_NATIVE_BACKGROUND_SOLVE	NO	TRUE	TRUE	FALSE	FALSE
legacy/root_oneoffs_2026-07-01/p5d_timelive.py	89e14355346169f9f55875c47e896540be30555e4a73ef2803211242330af71e	fea1f84730bf0bbf8f44c3a3388ef66d5dc66653	aab3b4d51f8828c626ca359da81d6f0c365e17a8	2026-06-20T22:03:00-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	F01_GR_S2_COUPLED	IMPORTED_GR_EINSTEIN_EOM_PLUS_POSIT_S2_L2L4_ACTION	harmonic_balance;S2_carrier;L2+L4;Einstein_closure;reduced_or_frozen_background	HISTORICAL_BLOCKED_CURRENT_NATIVE_BACKGROUND_SOLVE	NO	TRUE	TRUE	TRUE	FALSE
legacy/root_oneoffs_2026-07-01/timelive_nonround_numeric.py	fb6d6657092dd1b7d5e9a653f2be345951e4e3e74fccb5b115358f5cc6b02c04	726ef93ee00e1b3da0a5d10262498d1ba6d45c71	4632385bf35b63c7cec379553e903923e5176c3f	2026-06-19T09:29:37-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	F04_NONROUND_SL_PROXY	CHOSEN_SCALAR_STURM_LIOUVILLE_PROXY_AND_BOUNDARY_DATA	legacy_scalar_equation;linearization;chosen_profiles;Dirichlet_or_Neumann;finite_box	HISTORICAL_SCOPED_PROXY_NOT_CURRENT_NATIVE_BACKGROUND	NO	FALSE	FALSE	TRUE	TRUE
