candidate_id	candidate_type	ownership	accepts	accepted_count	identity_on_registered_complete_family	nonidentity_on_registered_complete_family	singleton_on_registered_complete_family	extra_burden	note
C01_ACTIVE_EQUATION	equation_identity	ACTIVE_BOUNDED_DERIVED	minkowski,positive_dS2_x_S2,round_dS_X1,round_dS_X2	4	True	False	False	none inside the admitted arena	Defines the arena and therefore accepts every registered complete solution.
C02_RECIPROCITY	owned_response_compatibility	OWNER_ADOPTED_PROVISIONAL	minkowski,positive_dS2_x_S2,round_dS_X1,round_dS_X2	4	True	False	False	none inside the admitted arena	Constrains response shape; G313 witnesses all remain reciprocal.
C03_NETWORK_RECONSTRUCTION	reconstruction_identity	DERIVED_CONDITIONAL	minkowski,positive_dS2_x_S2,round_dS_X1,round_dS_X2	4	True	False	False	none	The complete network reconstructs each supplied metric; it does not reject one.
C04_LOCAL_METRIC_SUFFICIENCY	response_constitution	OWNER_ADOPTED_PROVISIONAL	minkowski,positive_dS2_x_S2,round_dS_X1,round_dS_X2	4	True	False	False	none	Allows global metric selection but forbids hidden history-dependent local response.
C05_POSITIVE_LAMBDA	curvature_sign_predicate	NOT_OWNED_CANDIDATE_CONTROL	positive_dS2_x_S2,round_dS_X1,round_dS_X2	3	False	True	False	one sign premise	Rejects Minkowski but leaves round scales and the product history.
C06_COMPACT_CAUCHY	global_causal_topology_predicate	NOT_OWNED_CANDIDATE_CONTROL	positive_dS2_x_S2,round_dS_X1,round_dS_X2	3	False	True	False	one global compactness premise	Leaves both round scales and the S1xS2 product.
C07_WEYL_ZERO	curvature_predicate	NOT_OWNED_CANDIDATE_CONTROL	minkowski,round_dS_X1,round_dS_X2	3	False	True	False	one conformal-flatness premise	Leaves both round scales and Minkowski.
C08_S3_TOPOLOGY	topology_predicate	NOT_OWNED_CANDIDATE_CONTROL	round_dS_X1,round_dS_X2	2	False	True	False	one topology premise	Leaves both homothetic round histories; Berger data are not a complete-history row.
C09_FIXED_SCALE_X1	scale_predicate	NOT_OWNED_CANDIDATE_CONTROL	positive_dS2_x_S2,round_dS_X1	2	False	True	False	one numerical scale attachment	Leaves the round and product histories at the registered scale.
C10_POSITIVE_ROUND_S3	conjoined_branch_predicate	NOT_OWNED_CANDIDATE_CONTROL	round_dS_X1,round_dS_X2	2	False	True	False	positive sign plus conformal flatness plus round-S3 global branch	Leaves the two homothetic positive round histories; this is not maximal symmetry alone.
C11_ROUND_AND_SCALE	conjoined_selector_control	NOT_OWNED_CANDIDATE_CONTROL	round_dS_X1	1	False	True	True	positive round-S3 branch plus a numerical scale	Singleton only on the finite registered witnesses; not a full-arena uniqueness theorem.
C12_EXTREMAL_ACTION	variational_or_order_predicate	MISSING_NEW_STRUCTURE	NOT_EVALUATED	0	False	False	False	functional plus comparison order plus extremum rule	No active UDT functional or order is supplied, so no acceptance set is evaluated.
C13_OBSERVATIONAL_MATCH	downstream_discrimination	OBSERVED_INTERFACE_ONLY	NOT_EVALUATED	0	False	False	False	observation map data likelihood and decision rule	May discriminate a derived finite family; it is not a native admissibility law.
C14_POPULATION_MEASURE	actualization_or_population	MISSING_NEW_STRUCTURE	NOT_EVALUATED	0	False	False	False	choice map or normalized measure on accepted classes	Not an admissibility predicate and not supplied by current premises.
