object	status	note
G328 bounded question	PREREGISTERED	commit 96298482 before production
ten-component transverse linearization	PRODUCTION_DERIVED	90 exact assertions before hostile suite
independent ADM reconstruction	INDEPENDENT_VERIFIED	23 exact assertions before hostile suite
two physical mode families	DERIVED_CONDITIONAL	conditional on provisional bounded equation and G324 background
J0/Y0 and J3/Y3 bases	DERIVED_CONDITIONAL	exact nonzero Wronskians
past and future branch classification	DERIVED_CONDITIONAL	no endpoint branch selected
full linear stability	OPEN	not claimed
nonlinear stability	OPEN	not claimed
physical occupancy history scale Xmax	OPEN	not addressed
external review	PENDING	not yet transmitted
