id	object	status	role_in_audit	not_implied
P01	Reciprocal-c Identity	FOUNDING_OWNER_STATED	Current finite coequal conversion principle	No infinite bare conversion or selected value
P02	Dual UDT Reciprocity	FOUNDING	Internal K-pairing gives uv=1	Not derivable from a metric determinant-one representative alone
P03	Reciprocal exponential comparison	DERIVED_CONDITIONAL	Finite positive one-parameter comparisons	No singular endpoint or action
P04	Common-Scale Neutrality	FOUNDING	Quotients common positive calibration	No internal K-pairing or finite residual selection
P05	Lorentzian reciprocal metric block	CONDITIONAL_READOUT	Defines audited null slope after chosen slots/representative	Not full metric or spacetime realization
P06	Bare/regulator C	COUNTERFACTUAL_NOT_CURRENT_FIELD	Tests infinite-c interpretation	No ontology or observable meaning
P07	Effective c_eff	DEFINED_AUDIT_PARAMETER_CONDITIONAL_READOUT	Null slope C u/v in chosen reciprocal two-plane	No physical universality; numerical value; or universal coupling derived
P08	Literal C=infinity	COUNTERFACTUAL_H1	Tests same-layer compatibility	Not a real finite conversion isomorphism
P09	Finite regulator family C_L	COUNTERFACTUAL_H2	Tests projective limit	No physical endpoint or selected regulator
P10	Nonreciprocal positive calibration	LOGICAL_INDEPENDENCE_COUNTERMODEL_H3	Tests what CSN/metric alone establishes	Not admissible under current full dual-Reciprocity ledger
P11	Galilean/degenerate pregeometry	OPEN_NOT_ASSUMED_H4	Tests literal infinite causal accessibility	No current UDT foundation or emergence law
P12	Finite universal Lorentz cone	CURRENT_CONDITIONAL_READOUT	Effective causal comparison	No derivation from literal infinity
P13	Numerical value of c	UNIT_DEPENDENT	Prevents unit convention from selecting foundation	No dimensionless prediction
P14	Residual dilation psi	COUNTERFACTUAL_DECOMPOSITION	Separates divergent constant from finite field	No profile or dynamics
P15	Ordered spacetime line realization	OPEN	Prior selector gap held fixed	No solution from cone slope alone
P16	Universal matter coupling	OPEN_NOT_ASSUMED	Required by an emergent-cone replacement	No carrier/source
P17	Finite-cell/bootstrap selection of residual	OPEN	Potential global discriminator	No finite c_eff value or normalization
P18	Current owner foundation	IMMUTABLE_IN_THIS_AUDIT	Prevents silent demotion	No adoption of alternate theory
P19	Complete action; variation domain; source; boundary charge; mass	OPEN	Downstream firewall	No promotion from kinematic limit
P20	SymPy 1.13.1 CPU execution	CATEGORY_A_TECHNIQUE	Exact algebra and catches	No physics premise
P21	Layered atemporal-to-observational geometry	POST_PREREG_OWNER_CLARIFICATION_H5	Historical owner intuition: observational c over no-delay/global foundation	No derived emergence map; signalling channel; or C1 change
P22	Reciprocal causal endpoint flow	POST_PREREG_OWNER_CLARIFICATION_H6	Owner specifies c_eff as straight property of metric at asymptotic phi	No derived distance profile; CMB mapping; full cone; or local c variation
