candidate_id	object	home	status	derived_content	open_or_failed_joint	selection_risk
C01	metric_volume_4form	M4_top_form	DERIVED_NOT_CARRIER_CURRENT	parallel_and_top_degree_closed	no_3surface_flux_without_direction_and_density	top_degree_closedness_misread_as_current_conservation
C02	raw_coframe_triple	Omega3_M4	NOT_SELECTED_NOT_GENERALLY_CLOSED	complete_coframe_supplies_many_triples	Cartan_derivative_nonzero_in_exact_regular_witness	frame_choice_called_physical_cargo
C03	star_kflat	Omega3_M4_on_null_query	NOT_GENERALLY_CLOSED	d_star_kflat_equals_div_k_times_volume	outgoing_flat_null_congruence_has_div_k_equals_2_over_r	geodesic_called_divergence_free
C04	star_dphi	Omega3_M4_on_phi_presentation	CONDITIONAL_FIELD_EQUATION_REQUIRED	d_star_dphi_equals_box_phi_times_volume	phi_equals_t2_gives_box_phi_equals_minus2	wave_equation_called_identity
C05	Jacobi_ray_label_measure	query_tube_or_ray_label_bundle	VALID_QUERY_LABEL_BOOKKEEPING__TAUTOLOGICAL_PUSHFORWARD	fixed_source_label_form_pushes_to_unique_closed_3form_and_metric_supplies_density_Jacobi_representation	no_new_owner_beyond_query_typing__physical_cargo_zero_side_flux_and_global_caustic_continuation_open	geometric_ray_labels_called_physical_survival_UDT_dynamics_or_new_metric_conservation_law
C06	van_Vleck_density	regular_geodesic_branch	EQUIVALENT_FOCUSING_CLASS_CONDITIONAL	inverse_geodesic_spreading_satisfies_same_transport	base_branch_normalization_and_physical_field_open	propagator_amplitude_called_physical_field
C07	null_shell_measure	future_null_cotangent_shell	DERIVED_PRESERVED_PHASE_MEASURE	Hamiltonian_flow_preserves_canonical_regular_shell_measure	nonzero_source_specific_distribution_not_selected	preserved_empty_measure_called_population
C08	projective_null_contact	projectivized_future_null_cone	STRUCTURE_DERIVED_NORMALIZATION_OPEN	null_scaling_leaves_projective_or_contact_structure	shell_measure_scales_as_scale_squared_so_no_basic_normalized_measure	contact_distribution_called_normalized_carrier
C09	phase_distribution_f	future_null_cotangent_shell	INFINITE_FAMILY_NOT_SELECTED	any_transverse_initial_density_has_local_transport_and_constants_are_examples	metric_selects_no_nonzero_normalized_source_distribution	constant_or_delta_distribution_called_source
C10	screen_Hodge_response	Omega3_M4_on_conditional_SO2_reduction	DERIVED_CONDITIONAL_RESPONSE_NOT_CARGO	J3_equals_d_star_F_and_dJ3_equals_zero	physical_reduction_normalization_and_cargo_identification_open	response_or_source_called_cargo
C11	Abelian_Chern_Simons	Omega3_M4_locally	NOT_GENERALLY_CLOSED_OR_GAUGE_ABSOLUTE	d_A_wedge_F_equals_F_wedge_F	F_wedge_F_equals_2_volume_exact_witness	topological_density_called_null_flux
C12	curvature_Killing_Bianchi	branch_specific_current	SPECIAL_BRANCH_ONLY	conditional_conserved_geometric_currents_exist	no_universal_null_query_cargo_identification	special_symmetry_called_universal_radiation
C13	physical_closed_null_carrier	physical_query_bundle	OPEN_PHYSICAL_IDENTIFICATION_AND_ZERO_SIDE_FLUX_JOINT	C05_supplies_exact_query_bookkeeping_and_metric_density_readout_but_no_new_physical_owner	physical_carried_amount_not_identified_with_label_measure_and_physical_zero_side_flux_not_derived	target_assumed_in_definition
