route_id	object_or_question	candidate_outcomes	status_before_compute
R01	ordered_pair_projector_endomorphism	PAIR_FRAME_OBJECT_WELL_DEFINED;PAIR_FRAME_OBJECT_AMBIGUOUS	PREREGISTERED
R02	screen_SO2_quotient	AMBIGUITY_DROPS_OUT;AMBIGUITY_OBSTRUCTS	PREREGISTERED
R03	metric_path_transport	COVARIANT_CONJUGACY_FOR_ALL_LAMBDA;LAMBDA_RESTRICTED	PREREGISTERED
R04	pair_frame_path_groupoid_composition	EXACT_TYPED_COMPOSITION;MIDDLE_MISMATCH_REMAINS	PREREGISTERED
R05	pair_reset_at_intermediate_event	VERTICAL_ARROW_REQUIRED_AND_SUFFICIENT;INCONSISTENT	PREREGISTERED
R06	additive_path_depth	CONDITIONAL_FULL_COMPARISON_COCYCLE;DERIVED_FROM_TRANSPORT	PREREGISTERED
R07	endpoint_only_depth	POTENTIAL_DIFFERENCE;GENUINELY_BILOCAL_ADDITIVE_ENDPOINT_COCYCLE	PREREGISTERED
R08	path_integrated_depth	COMPOSES_FOR_ANY_ONE_FORM;PATH_INDEPENDENCE_REQUIRES_ZERO_PERIODS	PREREGISTERED
R09	reciprocal_loop_period	NONZERO_PERIOD_VISIBLE;NONZERO_PERIOD_ERASED	PREREGISTERED
R10	bare_event_collapse	REQUIRES_SECTION_OR_HOLONOMY_REDUCTION;AUTOMATIC	PREREGISTERED
R11	lambda_selection	NO_SELECTION;UNIQUE_LAMBDA	PREREGISTERED
R12	remaining_native_object	METRIC_NATIVE_DEPTH_COCYCLE;ENDPOINT_COFRAME;ACTION_OR_SOURCE	PREREGISTERED

