id	object	status	exact_scope_or_premises	what_is_established	what_is_not_claimed	next_falsifier_or_closure
G01	Four-dimensional arena	INHERITED	Current post-July selector record	Used as the shared comparison arena	No dimensional derivation	Native dimensional-selection theorem
G02	Diffeomorphism covariance	RETAIN_TRIAL_CONDITIONAL	Bulk coordinate-covariant actions; no bundled locality; fields; derivative order; action; boundary; source	Compatible with both paired bulk field censuses; no bulk contradiction found with Reciprocity or CSN	Not derived; not a field selector; full active finite-cell/mirror-preserving group is UNRESOLVED_TRIAL	Derive boundary group and generators; exhibit native noncovariant preferred structure; or affirmative UDT covariance theorem
G03	Unrestricted variation of declared fields	RETAIN_TRIAL	Every independent field declared within A or B is varied; boundary qualifications remain open	Normal and multiplier equations cannot be silently discarded	Does not select which fields should be declared	Native restriction/selection theorem plus equivalence audit
G04	Branch A metric-only census	UNRESOLVED_TRIAL	Metric sole independent off-shell field; unrestricted variation	Logically compatible with tested common premises	Not selected; not complete; not equivalent to generic constrained variation	Metric-only closure/exclusion theorem
G05	Branch B auxiliary-constraint census	UNRESOLVED_TRIAL	Metric plus non-ontic auxiliary multiplier; all declared fields varied	Logically compatible in covariant/CSN form; can carry a nonzero reaction	No native C[g]; no authority; no matter/carrier ontology	Derive C[g] and multiplier role or exhibit a foundation/boundary contradiction
G06	Paired selector result	BOTH_CONDITIONALLY_ADMISSIBLE	T1-T10 bounded trial; category-A witnesses share a trivial reciprocal finite-cell bulk root and are not complete universes	Current premises exclude neither field census; covariance selects neither	No complete competing theories; nontrivial realized universe; finite boundary completion; or promoted branch	Native off-shell field/constraint authority
G07	Generic multiplier equations	DERIVED_CATEGORY_A	S_B=S_0+lambda C; unrestricted x and lambda variation	grad S_0+lambda grad C=0 and C=0	Not affirmative UDT physics	Supply native functional and field domain
G08	Aligned constraint witness	DERIVED_CATEGORY_A	S_0=(x-1)^2+(y-2)^2; C=x+y-3	Shared root (1;2) with lambda=0	Does not prove off-shell equivalence	General redundancy theorem if equivalence is claimed
G09	Reactive constraint witness	DERIVED_CATEGORY_A	S_0=x^2+y^2; C=x+y-1	Constrained root (1/2;1/2;lambda=-1) differs from metric-only root (0;0)	Not a UDT action or universe	Native reactive constraint
G10	Finite penalty equivalence	REFUTED_FOR_FINITE_POSITIVE_ALPHA	S_alpha=x^2+y^2+alpha C^2/2	C=-1/(alpha+1); exact only in singular alpha-to-infinity limit	Does not rule out exact hard constraint or other derived elimination	Controlled singular-limit theorem if used
G11	Hard substitution as Branch A	REFUTED_GENERICALLY	y=1-x imposed before variation	It is tangent/restricted variation and recovers the constrained root	Not unrestricted variation of original metric variables	Equivalence theorem retaining normal equation
G12	Covariance selection of field census	REFUTED_AS_SUFFICIENT	Bulk diffeomorphism Noether identities for metric-only and metric-plus-scalar actions	Both censuses admit covariant identities; auxiliary-shell restores metric divergence identity	No claim that every C[g] is covariant or admissible	Independent native field selector
G13	CSN exclusion of multiplier	REFUTED_AS_GENERIC_EXCLUSION	Homogeneous constraint weight w_C in four dimensions	w_lambda=-4-w_C makes sqrt|g| lambda C weight zero	No constraint or multiplier is derived; inhomogeneous terms untested	Audit a concrete native C[g] under local CSN
G14	Finite-cell differentiable completion	OPEN	Native finite cell; exact lambda q-prime boundary anchor	Constraint term can add boundary variation	No boundary/corner action; data; reference; generator; charge	Complete variation of a selected native action
G15	Metric-is-the-theory exclusion of auxiliary bookkeeping	NOT_ESTABLISHED	Binding metric-led physical ontology plus current S10 open ledger	Independent physical mechanisms are excluded; auxiliary bookkeeping remains an unresolved interpretation	No license to add a multiplier and no metric-only off-shell rule	Owner/derived rule distinguishing physical ontology from allowed auxiliaries
G16	Bootstrap field-census selection	OPEN_NOT_SELECTED	Verified prior on-shell closure/admissibility result	Bootstrap currently selects neither A nor B	No off-shell constraint or selection map	Derive bootstrap off-shell role
G17	Locality	OPEN_NOT_ADOPTED	Held outside paired trial	Nothing new	No GR locality inheritance	Separate selector trial
G18	Derivative order and invariant inventory	OPEN_NOT_ADOPTED	Held outside paired trial	C2/EH statuses unchanged	No action promotion	Field/variation authority then separate selector trial
G19	Complete native action; source; boundary charge	OPEN	Final A/B/C adjudication unchanged	No existing open status was strengthened	No action; source; normalization; carrier; unconditional mass	Complete native construction
