id	claim	status	premise_stamp	evidence	remaining_open_scope
S01	The recorded CMB outer fold has phi=0, A=1, and rho_prime=0	DERIVED_CONDITIONAL	historical round-static Branch-P/G finite cell, mirror continuity, and recorded normalization	24/24 fold rerun; independent ledger checks	Complete action, variation ontology, global solution, and scale
S02	The recorded WR-L wall has phi tending to positive infinity and A tending to zero	DERIVED_METRIC_LIMIT	static reciprocal representative A=1-r/X with supplied X>0	24-check independent exact limit derivation	Whether this representative is the selected global universe
S03	The CMB fold and WR-L wall are distinct surfaces in the recorded models	DERIVED_CONDITIONAL	both recorded branches and their stated normalizations	phi, A, clock, ruler, and causal-character discriminants	A future complete embedding could relate them through an additional structure, but not identify the present surfaces
S04	The WR-L static region has finite proper radial reach 2X and volume 64*pi*X^3/15	DERIVED_METRIC_LIMIT	static slice 0<r<X	independent exact integration	The r=0 seat is curvature-singular under global extrapolation; a complete slice is open
S05	The WR-L wall has infinite optical reach	DERIVED_METRIC_LIMIT	same static representative	independent logarithmic limit	Does not imply infinite proper distance or terminal manifold boundary
S06	The WR-L wall has finite Ricci and Kretschmann invariants	DERIVED_METRIC_LIMIT	same static representative	direct independent Christoffel-Riemann contraction	Other invariants and a selected global completion
S07	The WR-L wall is a regular null causal horizon with an ingoing extension	DERIVED_METRIC_LIMIT	Lorentzian WR-L representative	regular Eddington-Finkelstein radial block and finite invariants	Whether UDT chooses crossing, quotient, identification, or a static observational domain
S08	The WR-L wall is a hard terminal edge of space	NOT_DERIVED	none	regular extension is a counterexample to terminality from the metric alone	Complete global domain and boundary ontology
S09	The WR-L parameter X equals global Xmax	OPEN	global Xmax is an unknown output; WR-L X is supplied	lineage and circularity audit	Global bootstrap/domain law selecting the metric surface and absolute scale
S10	The raw WR-L lapse flux at the wall is -2*pi*X	DERIVED_METRIC_LIMIT	static-slice lapse N=sqrt(A), outward unit normal, spherical area	independent symbolic derivation	Action normalization, generator, reference, orientation, and physical charge interpretation
S11	The raw lapse flux is native total mass	OPEN	complete differentiable native action absent	no current normalized generator; promotion catch-proof passes	Native action/source/boundary charge and mass definition
S12	The Misner-Sharp wall readout c_E^2 X/(2G_obs) is native UDT mass	CONDITIONAL	GR reference/readout only	exact algebra plus provenance audit	Native UDT mass structure; coefficient cannot be imported
S13	Mass dilation selects the terminal asymptote	OPEN	owner working picture	no post-firewall native derivation found	Complete time-live matter-bearing solution and normalized mass
S14	Observed c_E and G_obs calibrate physical mass against physical length	OBSERVED_CONDITIONAL	ordinary-regime anchors accepted by owner	dimensional rank audit	Native placement in the complete selected UDT solution
S15	Observed c_E and G_obs alone determine absolute M_tot and Xmax	NOT_DERIVED	none	two anchors yield the conversion c_E^2/G_obs with mass/length dimensions, not an absolute member of a homothetic family	An independent native scale eigenvalue or homothety-breaking equation
S16	A proper native mass structure plus boundary/bootstrap closure may jointly determine M_tot and Xmax from c_E and G_obs	WORKING	mass functional and closure must be independent and noncircular	equation/unknown rank audit shows the proposal is coherent	Derive the functional, dimensionless coefficient, boundary equation, isolated solution, and universality
S17	The CMB fold is the asymptotic time/mass-dilation boundary	NOT_DERIVED	recorded fold has ordinary lapse A=1	fold/wall discriminants	A different complete branch or embedding would need to derive such a relation
S18	The exact global boundary of the complete UDT universe is known	OPEN	complete action, source, time-live solution, and domain absent	eight-object lineage ledger	All complete-solution and matter-bearing closure work
