item	status	claim	limit
scalar_factorization	VERIFIED_LOCAL_EXACT	G166_G217_scalar_chain_factors_through_positive_clock_slope	G176_working_and_supplied_arrow
higher_germ_mutation	VERIFIED_LOCAL_EXACT	quadratic mutation changes second jet not anchored incidence_or_first_jet	one_anchor_local_germ
moving_null	DERIVED_CONDITIONAL	outgoing null slope exp_eta	flat_inertial_branch
A_Fermi	DERIVED_CONDITIONAL	slope sech_eta	A_defined_simultaneity
B_Fermi	DERIVED_CONDITIONAL	slope cosh_eta	B_defined_simultaneity
A_radar	DERIVED_CONDITIONAL	equals A_Fermi in this inertial flat control	no_universal_accelerated_claim
inverse_vs_return	VERIFIED_LOCAL_EXACT	inverse slope exp_minus_eta differs from future return exp_eta	coincides_only_eta_zero
protocol_ownership	OPEN	founding sources do not distinguish the surviving metric_queries	no_selection_inferred
full_dynamic_orchestra	OPEN	angular_screen_mixing_curvature_acceleration_not_entered	G219_is_one_bounded_tile
external_review	VERIFIED_WITH_REPAIRS	fresh_zero_context_review_reproduced_formulas_and_required_evidence_repairs	bounded_scope_and_caveats_retained
