item	status	maximum_conclusion	open_scope
three_function_coframe	CHOSE_MATHEMATICAL_FUNCTION_FAMILY	bounded_noncommuting_symmetric_extension	general_complete_metric_and_physical_history
regularity	DERIVED_CONDITIONAL	detE_equals_a4_and_detg_equals_minus_a8_for_a_positive	singular_and_global_strata
affine_frequency	DERIVED_CONDITIONAL	lambda_prime_equals_a2_and_Z_equals_one_over_a	physical_query_population_and_endpoint_intersection
matrix_tide	DERIVED_CONDITIONAL	tau0_I_plus_2Mprime_minus4M2_over_a4	other_mixing_channels_and_general_complete_coframes
noncommutativity	DERIVED_CONDITIONAL	changing_A_over_nu_has_no_fixed_diagonalizing_rotation	physical_history_selection
matrix_factorization	DERIVED_CONDITIONAL	D_equals_a_L_K_in_declared_family	antisymmetric_rotation_and_other_queries
caustics	DERIVED_CONDITIONAL__FAMILY_SCOPED	no_nonvertex_caustic_in_declared_family	arbitrary_complete_metrics_may_differ
screen_rotation	OBSERVED_AND_DERIVED_CONDITIONAL	noncommuting_control_has_nonsymmetric_D_and_finite_polar_rotation	physical_magnitude_or_sign
dA_of_Z	DERIVED_CONDITIONAL__BRANCH_LABELLED	local_where_a_prime_nonzero	turn_aggregation_and_transfer
independent_two_leg_replay	PASS__264_HISTORIES__3961_ASSERTIONS	metric_Riemann_spotchecks_plus_formula_driven_IVP__max_tide_1p14e_minus13_max_factor_1p97e_minus11	full_metric_to_Jacobi_interval_replay_and_wider_families
hostile_catches	PASS__15_OF_15	registered_mutations_go_red	wider_unregistered_mutation_space
external_review	G193_REPAIRS_ACCEPTED__BOUNDED_LANDING_RETAINED	bounded_landing_externally_reviewed_with_caveats	unchanged_open_scope
physical_history_transfer_Xmax	OPEN	none	all
