criterion	covered	dropped_or_open
fields	reciprocal_value_character_and_preregistered_static_phi_controls	complete_10_metric_dofs_and_matter
action_terms	none	action_boundary_source_and_carrier_open
full_equations	none	no_native_equation_or_realization_operator
domain_coordinates	static_mirror_controls_and_12_registered_completion_types	general_time_live_fields_and_arbitrary_covers
boundary_regularity	value_first_second_reciprocal_pullback_jets	cap_full_metric_and_connection_jets
topological_sector	all_12_registered_overlapping_taxonomy_rows	arbitrary_four_manifolds_and_unregistered_covers
dynamical_character	static_seam_identity_only	stationary_periodic_and_dynamic_equations
branch_bifurcation	classification_without_selection	complete_on_shell_branch_space
stability_spectrum	not_activated	all_stability_questions
regime_of_validity	finite_real_phi_and_supplied_reciprocal_normalizer_cocycle	singular_strata_and_unsupplied_physical_soldering
