source_id	path	role
S01	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	owner_bootstrap_semantics_and_no_local_insertion
S02	UDT_NATIVE_ACTION_COLD_PACKET.md	founded_reciprocity_finite_cell_density_and_action_status
S03	udt_common_scale_neutrality_provenance_audit_2026-07-24/AUDIT_REPORT.md	controlling_metric_ontology_fork_and_observed_anchor_status
S04	bootstrap_variation_selector_2026-07-18/DERIVATION_REPORT.md	on_shell_off_shell_and_fixed_placement_nonselection
S05	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EXACT_DERIVATION.md	density_volume_tracefree_and_simultaneous_closure_parent
S06	udt_free_global_seal_transversality_audit_2026-07-21/AUDIT_REPORT.md	moving_boundary_and_functional_dependence
S07	udt_post_july_offshell_response_availability_audit_2026-07-25/AUDIT_REPORT.md	complete_30_family_absence_and_missing_arrows
S08	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	response_one_form_and_downstream_action_contract
S09	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	conditional_action_source_mass_and_complete_action_status
S10	udt_bootstrap_to_local_response_map_audit_2026-07-25/PREREGISTRATION_CORRECTION_01.md	owner_multiobservable_bootstrap_clarification
S11	udt_bootstrap_to_local_response_map_audit_2026-07-25/PREREGISTERED_PARAMETER_CHANNELS.tsv	frozen_parameter_channel_universe
S12	udt_bootstrap_to_local_response_map_audit_2026-07-25/PREREGISTRATION_CORRECTION_02.md	owner_reciprocal_global_local_closure_hypothesis
S13	udt_bootstrap_to_local_response_map_audit_2026-07-25/GLOBAL_LOCAL_CLOSURE_LEDGER.tsv	frozen_two_arrow_and_optimization_distinction
S14	udt_bootstrap_to_local_response_map_audit_2026-07-25/PREREGISTRATION_CORRECTION_03.md	owner_tuning_semantics_clarification
S15	udt_bootstrap_to_local_response_map_audit_2026-07-25/OPTIMIZATION_SEMANTICS.tsv	frozen_tuning_versus_scalar_extremization_distinction
