id	object	status	exact_scope	what_is_not_claimed
S01	founded_abstract_pair	DERIVED_RETAINED	H_pair_diag_minus1_plus1_and_additive_phi	physical_solder_or_complete_lift
S02	universal_rank_two_reciprocal_subbundle	NOT_DERIVED_RETAINED	prior_exact_stabilizer_obstruction	kinematics_invalid
S03	metric_plus_scalar_lift	NO_COVARIANT_NONTRIVIAL_LIFT	full_local_Lorentz_commutant_scalar	no_future_global_data_can_select
S04	nonnul_one_line_commutant	DERIVED_DIMENSION_TWO	line_projector_and_complement_projector	ordered_pair
S05	timelike_democratic_1plus3_lift	UNIQUE_CONDITIONAL_LOCAL	line_is_clock_and_entire_positive_complement_carries_opposite_founded_character	global_temporal_phi_or physical_codomain selected
S06	spacelike_democratic_character_lift	ALGEBRAIC_CONDITIONAL	line_is_ruler_and_Lorentzian_complement_carries_opposite_character	clean_clock_vs_space ontology
S07	null_or_zero_lift	OBSTRUCTED_IN_BOUNDED_CLASS	null_commutant_I_plus_nilpotent_or_full_symmetry	universal_no_go_with_extra_data
S08	ordered_u_n_complete_lift	CONDITIONAL_ONE_PHYSICAL_MODULUS	lambda_screen_dilation_plus_pointwise_rotation_gauge	lambda selected or global observer pairing
S09	full_directional_family_generic	DERIVED_NINE_DIMENSIONAL_LOCAL_ALGEBRA	lambda_not_1_fixed_observer_all_unit_directions	curvature_force_holonomy_or_Hopf
S10	full_directional_family_lambda_one	DERIVED_COLLAPSE_TO_1PLUS3	one_direction_independent_generator_and_zero_commutator span	physical_selection of lambda_one
S11	spectator_lambda_zero	CONDITIONAL_NOT_SELECTED	selected by extra complete_determinant_one_or_screen_area_invariance	those premises derived
S12	plane_bivector_lift	PLANE_WITHOUT_FOUNDED_AXES	canonical_plane_boost_is_metric_gauge	physical reciprocal response
S13	second_jet_lift	CHOICE_DEPENDENT_AND_DEGENERACY_SENSITIVE	three simple_spectrum pairings and prior full_algebra controls	curvature priority
S14	c_E_G_obs_hbar	SCALAR_CALIBRATION_ONLY	zero directional selector rank	hbar rejected for downstream action calibration
S15	observer_pair_vs_single_metric_ontology	OPEN_TWO_CODOMAINS	one democratic endomorphism_or_pair_indexed_family	one chosen
S16	variation_action_source_boundary_mass	OPEN_UNCHANGED	outside local lift atlas	closure
S17	audit_grade	VERIFIED_WITH_CAVEATS_BOUNDED_LOCAL_LIFT_ATLAS	preregistered_exact_and_independent_no_fresh_external_model	global UDT theorem
S18	next_bounded_gate	OBSERVER_PAIR_FAMILY_CONSISTENCY_OR_CODOMAIN_ADJUDICATION	decide whether founded object_is_single_metric_lift_or_relational_pair_groupoid_before_dynamics	permission_to_choose
