source	owned_nonidentity_value_law	role	bounded_disposition
CURRENT_SCIENTIFIC_PREMISES.tsv	no	premise_registry	stamps_current_inputs_and_open_scope
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	no	founded_character	evaluates_supplied_ordered_depth
udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/EXACT_DERIVATION.md	no	primary_pair_pullback	evaluates_supplied_profile_and_pair_germ
udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/EXACT_DERIVATION.md	no	complete_pullback	joins_angular_data_before_readout
udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/EXACT_DERIVATION.md	no	working_completion	fixes_positive_pair_calibration_conditionally
udt_g201_primary_metric_phi_jet_regime_amplitude_2026-08-21/EXACT_DERIVATION.md	no	angular_jet_readout	maps_supplied_phi_jets_to_outputs
udt_g212_observer_equivalence_history_bridge_whiteboard_2026-08-22/EXACT_DERIVATION.md	no	equivalence_bridge	reconstructive_not_selective
udt_g214_completed_tuple_overlap_and_three_observer_carry_2026-08-22/EXACT_DERIVATION.md	no	overlap_and_carry	compatibility_of_supplied_states
udt_g215_completed_scalar_shared_clock_incidence_descent_2026-08-22/EXACT_DERIVATION.md	no	scalar_incidence	vertex_difference_representation
udt_g217_founded_depth_event_pair_first_jet_ownership_2026-08-22/EXACT_DERIVATION.md	no	first_jet_ownership	local_derivative_readout_on_supplied_germ
udt_g219_clock_arrow_dynamic_protocol_discrimination_2026-08-22/EXACT_DERIVATION.md	no	dynamic_protocol_discrimination	types_clock_arrow_without_value_propagation
udt_g233_primary_profile_cartan_closure_discriminator_2026-08-23/EXACT_DERIVATION.md	no	profile_closure_discriminator	rules_out_universal_finite_jet_closure_in_bounded_arena
udt_g235_rank_complete_matched_network_nonselection_2026-08-23/EXACT_DERIVATION.md	no	network_reconstruction	rank_complete_but_nonselective
udt_g249_reciprocal_angular_absolute_scale_ownership_2026-08-24/EXACT_DERIVATION.md	no	absolute_scale_audit	no_owned_absolute_scale_joint
udt_g254_complete_timelive_solver_closure_audit_2026-08-24/EXACT_DERIVATION.md	no	timelive_solver_gate	no_owned_ambient_residual
udt_g255_g165_g254_lost_closure_recovery_audit_2026-08-24/AUDIT_REPORT.md	no	lost_closure_audit	no_missed_owned_closure_in_bounded_arc
udt_g255_g165_g254_lost_closure_recovery_audit_2026-08-24/SCOPE_RECONCILIATION.md	no	scope_reconciliation	separates_primary_value_gate_from_arbitrary_metric_gate
udt_g255_g165_g254_lost_closure_recovery_audit_2026-08-24/DEPENDENCY_GRAPH.tsv	no	dependency_graph	maps_dependencies_without_generating_values
