sha256	path	role
3b7bef3e8027eb95dd9070cf8844bfbbba602d4a7ce30c1772bbc540f9e97bd7	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/AUDIT_REPORT.md	founded pair kernel status
9e985bbd73a2ffe099a57257ea51778fff9ec75eb48721565faafaafd14edc62	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/EXACT_DERIVATION.md	reversal and matched-depth composition
c1a1f722e393e431b1b0805a7e2d5ad8e27813c48db989f824b76898bc499593	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/AUDIT_REPORT.md	complete primary pair pullback status
e51704c01a72c546401e31f59ecf0b1881ee2c273324ccba2e4572fc7d01941d	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/EXACT_DERIVATION.md	angular pullback and terminal readout
24712719136b000e64367b6ebd234a2ef8d5b5f07ab493cfc4ea54e73b483ed9	udt_g168_ordered_copresent_pair_plane_ownership_2026-08-18/AUDIT_REPORT.md	current supplied-germ ownership grade
611928ca840624448cf3c22759ecc7e9582cba8ae2f2a10749aa2ea6b0cc1913	udt_g168_ordered_copresent_pair_plane_ownership_2026-08-18/EXACT_DERIVATION.md	plane theorem reversal boundary and counterfamily
08898cf1ac3c66a920009699744dd2f0706e2a481119235be8a5e9067b2d0fa1	udt_g139_endpoint_position_transport_join_2026-08-17/AUDIT_REPORT.md	provisional endpoint position and route separation
14498cb47337face0529524c83e0241a3124a50ff072aa760e2e2133513be843	udt_g156_three_observer_scale_carry_audit_2026-08-18/AUDIT_REPORT.md	scalar versus full carry closure
b1463e17f1ae796539f493448402cd038fb67bc3a7cc4953b5b6fd860a60e328	udt_g156_three_observer_scale_carry_audit_2026-08-18/EXACT_DERIVATION.md	exact determinant character composition
da7a358c5669e02b8004e496d25a2ac2f2a4cd8c2ccd52da27ceb5baafdb6aa7	udt_g160_three_observer_timelive_first_jet_carry_2026-08-18/AUDIT_REPORT.md	complete first-jet carry boundary
120ad8aa39a1f2dd805c208ce61e792640cd15d3932d6adb5c47a62bc10c4601	udt_g160_three_observer_timelive_first_jet_carry_2026-08-18/EXACT_DERIVATION.md	exact inverse composition and nonclosure witnesses
d109471ba7c9a4e7c1559a55b80a3ba84dfd9b0409ba8272cdca700a6255bbd0	CURRENT_SCIENTIFIC_PREMISES.md	current premise orientation
