family_id	match_kind	match_value	priority	disposition	dependency_type	family_ruling	reuse_gate
F01_CURRENT_CONTROLS	EXACT_SET	AGENTS.md;LIVE.md;HANDOFF.md;INDEX.md;README.md;MEMORY.md;CURRENT_SCIENTIFIC_PREMISES.md;CURRENT_SCIENTIFIC_PREMISES.tsv;UDT_SCIENTIFIC_FRONTIER_2026-07-19.md;NEGATIVES_REGISTRY.md;research/README.md;research/_registry/README.md	100	CONTROL_UPDATE_REQUIRED	CURRENT_SEMANTIC_ROUTING	Current controls must route founded reciprocal character on supplied ordered depth and must not retain pointwise-physical-phi wording as present authority.	Edit only present navigation/premise/negative status; preserve append-only prior blocks and historical evidence.
F02_CURRENT_PREMISE_VERIFIER	EXACT_SET	verify_current_scientific_premises.py	100	CONTROL_UPDATE_REQUIRED	CURRENT_FAIL_CLOSED_GUARD	The current semantic verifier encodes the superseded phrase derived additive logarithmic depth without the supplied-depth and presentation-potential distinctions.	Update the current guard and add mutation catches; do not rewrite the July 26 historical verifier.
F02A_CURRENT_FOUNDING_CHAIN	EXACT_SET	UDT_NATIVE_ACTION_COLD_PACKET.md;UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md;verify_udt_reciprocal_c_postulate.py	97	CONDITIONAL_REINTERPRETATION_ONLY	CURRENT_FOUNDING_CHAIN_WITH_SUPPLIED_DEPTH_CAVEAT	These three sources are current inputs or verification for the founding/action chain and cannot be called historically superseded solely from their introduction date. Their exact algebra survives with the relational supplied-depth, declared-readout, open-profile and open-action overlay.	Retain as current conditional evidence; never infer a universal pointwise owner, profile, action, source, or Xmax.
F03_OWNER_LOCAL_PHI_OVERREACH	PREFIX_SET	udt_premise_reset_audit_2026-07-19/;finite_cell_seal_boundary_phase_join_2026-07-20/;scale_breaking_closure_census_2026-07-20/;udt_phi_metric_ontology_audit_2026-07-22/;udt_reciprocal_c_metric_meaning_audit_2026-07-22/;udt_reciprocal_subbundle_ownership_audit_2026-07-22/;udt_two_frame_regime_metric_limit_audit_2026-07-22/	95	CONCLUSION_REGRADE_REQUIRED	POINTWISE_PHYSICAL_OWNER_ASSUMED	These families inherited or owner-locked phi(p) as a physical signed field belonging to a location. The founding record derives the reciprocal character only after ordered depth is supplied; pointwise phi is a presentation potential on the supplied factorization.	Retain exact conditional algebra, but cite the current overlay and never reuse the pointwise-owner assertion.
F04_EARLY_DIRECTION_PROJECTIVE_XMAX	PREFIX_SET	projective_position_direction_magnitude_correction_2026-07-19/;projective_position_join_audit_2026-07-19/;projective_transport_section_selector_2026-07-19/;reciprocal_c_clock_channel_correction_2026-07-19/;reciprocal_clock_optical_scale_selector_2026-07-19/;xmax_reciprocity_audit_2026-07-19/;xmax_full_frame_realization_2026-07-19/;xmax_dynamic_observer_frame_2026-07-19/;xmax_accelerating_finite_cell_cartan_2026-07-19/	90	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.
F05_FOUNDED_EXTENSION_AND_SEMANTIC_CORRECTION	PREFIX_SET	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/;udt_foundational_semantic_regression_correction_2026-07-26/;udt_global_functional_dof_constraint_rank_audit_2026-07-26/;udt_complete_relational_configuration_variation_domain_audit_2026-07-26/	90	CONDITIONAL_REINTERPRETATION_ONLY	ABSTRACT_CHARACTER_VERSUS_POINTWISE_REALIZATION	The no-double-count and extension-rank algebra survives. References to founded phi at each point must be read as a supplied endpoint-exact realization of the abstract character, not as universal pointwise physical ownership.	Retain algebra and negative double-count guard; update only current controls, not these fixed audit records.
F06_OBSERVER_PAIR_AND_STATIONARY_BRANCH	PREFIX_SET	udt_observer_pair_clock_operator_audit_2026-07-24/;udt_relational_pair_depth_realization_audit_2026-07-24/;udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/;udt_complete_physical_comparison_map_audit_2026-07-27/;udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/;udt_founding_observer_comparison_semantics_audit_2026-07-27/;udt_founding_reciprocity_object_audit_2026-07-27/;udt_native_reciprocal_comparison_bundle_audit_2026-07-27/	90	OPEN_DEPENDENCY_ALREADY_STAMPED	RELATIONAL_DEPTH_LAW_EXPLICITLY_OPEN	These families already distinguish the abstract character, supplied endpoint potentials, path arrows and the conditional stationary Killing owner. Their exact results survive with delta_K=log(Np/Nq).	Reuse within the stated typed/stationary scope; do not promote endpoint exactness universally.
F07_SCALAR_DIFFERENCE_NONSELECTION	PREFIX_SET	udt_relational_pair_depth_realization_audit_2026-07-24/;udt_global_phi_ownership_overlap_audit_2026-08-05/;udt_reciprocal_path_composition_residual_audit_2026-08-04/	92	UNCHANGED_NEGATIVE_NOW_EXPLANATORY	POTENTIAL_REPRESENTATION_NONSELECTION	The scalar-difference obstruction, endpoint-potential identity and factorization non-identifiability remain exact and now explain why one global physical point scalar was the wrong universal demand.	Use as scoped nonselection/explanatory evidence, never as a no-go for relational UDT kinematics.
F08_SNE_WRL_MACRO_READOUT	PREFIX_SET	udt_pair_space_metric_transform_sne_readout_audit_2026-07-24/;udt_registered_branch_distance_profile_compatibility_audit_2026-07-24/;SIMPLE_METRIC_MACRO.md;simple_metric_;macro_	88	CONDITIONAL_REINTERPRETATION_ONLY	SUPPLIED_STATIC_LAPSE_AND_OPTICAL_ASSEMBLY	The WR-L/SNe algebra and observed discriminator concern a supplied static lapse/areal/optical branch. They do not derive the general observer-pair depth owner.	Retain as conditional observational compatibility/readout evidence; no universal profile or Xmax inference.
F09_HOPF_CARRIER_STABILITY	PREFIX_SET	native_hopfion_topology_audit_2026-07-19/;hopfion_;phaseG_evidence_2026-07-16/;noNull_phaseG_mass.py;noNull_phaseG_mass_ALL.json;verify_noNull_phaseG_mass.py	88	UNCHANGED_NO_OWNERSHIP_DEPENDENCY	CARRIER_ACTION_FINITE_BOX_RESULT	The corrected full-3D Hopf-capable and finite-box stability result depends on its explicit S2 carrier, L2+L4 and boundary premises, not on universal pointwise phi ownership.	Retain all existing carrier/action/boundary/time-live caveats.
F10_P4_RESPONSE_MASS_FAMILIES	PREFIX_SET	udt_p4_;P4_ARC_SUMMARY_2026-07-31.md;PONDER_MATH_ELEGANCE_2026-07-31.md;ROADMAP_LINEAR_TIME_2026-07-31.md;INFLIGHT_STATE.md;udt_post_july_mass_branch_reconciliation_2026-08-01/;udt_f01_;udt_f02_	88	CONDITIONAL_REINTERPRETATION_ONLY	SUPPLIED_CONFIGURATION_RESPONSE_AND_MASS_READING	F01/F02 response, landing, mass-reading and restricted-stability algebra survives only on its declared supplied configuration/variation/completion premises. It never supplied the missing relational depth law or native ownership.	Retain F01/F02 as distinct conditional geometry-only mass-bearing families; no stable matter or species promotion.
