architecture_id	object	METRIC_LOCAL	METRIC_PLUS_ORIENTATION	OBSERVER_EVENT	OBSERVER_PAIR	PATH_OR_CONGRUENCE	CONNECTION_TRANSPORT	GAUGE_EQUIVALENCE	GLOBAL_HYPOTHESIS	DYNAMICS_AND_DATA	OPERATIONAL_POSTULATE	output_and_scope	source_ids
A01	causal_conformal_structure	1	1	0	0	0	0	1	0	0	0	Local null cones/conformal class; orientation distinguishes future from past	S07;S08
A02	observer_adapted_tetrad	1	1	1	0	0	0	1	0	0	0	A representative frame adapted to observer velocity and axes; not metric-unique	S04;S16
A03	observer_field_reduction	1	1	1	0	0	0	1	0	0	0	Lorentz-to-rotation reduction and field split with covariance retained	S16
A04	parallel_transport_functor	0	0	0	0	1	1	1	0	0	0	Thin-path-groupoid functor equivalent to bundle plus connection and descent data	S14
A05	holonomy_and_invariant_subspaces	0	0	0	0	1	1	1	1	0	0	Loop transport group/algebra generated by curvature data; invariant reductions may survive	S05;S10;S14
A06	world_function_two_point_geometry	1	0	0	1	1	0	0	1	0	0	Canonical two-point scalar only in a suitable unique-geodesic domain; path branch matters globally	S02;S13
A07	time_frequency_transfer	1	1	1	1	1	1	0	0	0	1	Endpoint clock/frequency comparison from supplied geometry and a selected null connection	S12;S13
A08	null_optical_comparison	1	1	1	1	1	1	0	0	0	1	Source-observer optical comparison through null-line/congruence geometry and curvature transport	S03;S06;S12
A09	constructive_spacetime_layers	0	0	1	1	1	0	1	0	0	1	Conformal then projective then Weyl then metric structure from light/free-fall and compatibility inputs	S07
A10	causal_reconstruction	0	1	0	1	1	0	1	1	0	1	Topology and conformal structure from causal curve relations under distinguishing hypotheses	S08
A11	maximal_cauchy_development	1	1	0	0	0	0	1	1	1	0	Metric solution class from constraint-satisfying initial data under Einstein dynamics	S09;S18
A12	observer_space_to_spacetime	0	1	1	0	1	1	1	1	0	0	Spacetime quotient only after integrability/completeness/free-proper-action gates	S15
A13	path_holonomy_reconstruction	0	0	0	0	1	1	1	1	0	0	Bundle and connection reconstructed from suitable path/holonomy structure	S10;S14
A14	relational_complete_observable	0	0	1	1	1	0	1	0	1	1	Gauge-invariant value relative to chosen clock/reference variables with orbit-uniqueness conditions	S17
A15	geodesic_deviation_readout	1	1	1	1	1	1	0	0	0	1	Relative acceleration of neighboring free-fall paths operationally reads curvature	S04
