item	status	role	maximum_consequence
complete Lorentzian metric	pinned-by-THEORY__G296_G312	primitive local geometry	data are metric hypersurface germs
Universal Reciprocity or DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G310	bounded response postulate	not derived and not canon
quiet GR principal-response overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	bounded response constitution	not a selected GR solution
Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	local finite-jet response	hidden remote-history local response excluded
Ric_ab=Lambda g_ab and dLambda=0	pinned-by-THEORY__BOUNDED_G312_G313	active conditional vacuum equation	one connected scalar sector and multibranch solutions
G315 spacelike and null constraints	DERIVED_CONDITIONAL	construction target	constrain supplied data without selecting them
conformal transverse-traceless decomposition	CONDITIONAL_IMPORTED_MATHEMATICAL_METHOD	constraint-surface chart	no new UDT physics or completeness theorem
compact boundaryless CMC controls	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	exact solvability witnesses	not a preferred topology or physical data class
conformal geometry TT tensor mean curvature	free-and-explored-seed-data	construction inputs	not lawful until solved constraints pass
positive conformal factor and longitudinal vector	SOLVED_IF_SOLVABLE	constraint unknowns	may fail existence or uniqueness
topology boundary asymptotics	FREE_OR_OMITTED_OPEN	global construction inputs	no global history verdict
null screen and two transverse sheets	CHOSE_CATEGORY_A_METHOD	corner gauge map	no preferred null population
null-normal boost	FREE_GAUGE_DATA	corner presentation	not a physical scale
Lambda	FREE_CONNECTED_CONSTANT_OR_INFERRED_FROM_LAWFUL_DATA	sector label	no calibrated magnitude scale or X_max
source matter mass action observation fit scale physical X_max	OMITTED_OPEN	forbidden inputs	no selection or calibration
protected local packages	OMITTED_PROTECTED	not inspected	no dependency
